ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2003,2003-10-19,6,23.249,PHI,@,NYG,W 14-10,,0,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2003,2003-10-26,7,23.256,PHI,,NYJ,W 24-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2003,2003-11-02,8,23.263,PHI,@,ATL,W 23-16,,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
4,2003,2003-11-10,9,23.271,PHI,@,GNB,W 17-14,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2003,2003-11-16,10,23.277,PHI,,NYG,W 28-10,,2,1,14,14.00,0,50.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
6,2003,2003-11-23,11,23.284,PHI,,NOR,W 33-20,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
7,2003,2003-11-30,12,23.291,PHI,@,CAR,W 25-16,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
8,2003,2003-12-07,13,23.298,PHI,,DAL,W 36-10,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2003,2003-12-15,14,23.306,PHI,@,MIA,W 34-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2003,2003-12-21,15,23.312,PHI,,SFO,L 28-31,,1,1,23,23.00,0,100.0%,23.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
11,2003,2003-12-27,16,23.318,PHI,@,WAS,W 31-7,,1,1,25,25.00,0,100.0%,25.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
12,2004,2004-09-12,1,24.213,PHI,,NYG,W 31-17,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2004,2004-09-20,2,24.221,PHI,,MIN,W 27-16,,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
14,2004,2004-09-26,3,24.227,PHI,@,DET,W 30-13,*,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
15,2004,2004-10-03,4,24.234,PHI,@,CHI,W 19-9,,1,0,0,,0,0.0%,0.00,1,11,11.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
16,2004,2004-10-17,5,24.248,PHI,,CAR,W 30-8,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
17,2004,2004-10-24,6,24.255,PHI,@,CLE,W 34-31,,1,1,24,24.00,0,100.0%,24.00,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
18,2004,2004-10-31,7,24.262,PHI,,BAL,W 15-10,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2004,2004-11-07,8,24.269,PHI,@,PIT,L 3-27,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2004,2004-11-15,9,24.277,PHI,@,DAL,W 49-21,*,2,1,13,13.00,0,50.0%,6.50,1,2,2.00,0,0,0,,0,0,0,,,,,,1,15,15.00,0,0,0,,0,0,0,0.0,,
21,2004,2004-11-21,10,24.283,PHI,,WAS,W 28-6,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2004,2004-11-28,11,24.290,PHI,@,NYG,W 27-6,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2004,2004-12-05,12,24.297,PHI,,GNB,W 47-17,*,3,2,25,12.50,0,66.7%,8.33,1,1,1.00,0,0,0,,0,0,0,,,,,,1,13,13.00,0,0,0,,0,0,0,0.0,,
24,2004,2004-12-12,13,24.304,PHI,@,WAS,W 17-14,,2,2,29,14.50,0,100.0%,14.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
25,2004,2004-12-19,14,24.311,PHI,,DAL,W 12-7,,3,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2004,2004-12-27,15,24.319,PHI,@,STL,L 7-20,,7,1,6,6.00,0,14.3%,0.86,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
27,2004,2005-01-02,16,24.325,PHI,,CIN,L 10-38,,11,6,53,8.83,0,54.5%,4.82,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
28,2005,2005-09-12,1,25.212,PHI,@,ATL,L 10-14,*,9,5,44,8.80,0,55.6%,4.89,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
29,2005,2005-09-18,2,25.218,PHI,,SFO,W 42-3,*,7,4,39,9.75,1,57.1%,5.57,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,,
30,2005,2005-09-25,3,25.225,PHI,,OAK,W 23-20,*,9,6,70,11.67,0,66.7%,7.78,1,8,8.00,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
31,2005,2005-10-02,4,25.232,PHI,@,KAN,W 37-31,*,6,3,50,16.67,0,50.0%,8.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
32,2005,2005-10-09,5,25.239,PHI,@,DAL,L 10-33,*,7,3,36,12.00,0,42.9%,5.14,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
33,2005,2005-10-23,6,25.253,PHI,,SDG,W 20-17,*,6,4,30,7.50,0,66.7%,5.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
34,2005,2005-10-30,7,25.260,PHI,@,DEN,L 21-49,*,4,1,15,15.00,0,25.0%,3.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
