ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,21.014,JAX,@,PHI,L 17-34,,3,1,0,0.00,0,33.3%,0.00,,0,0,0.0,0,0
2,2014,2014-09-14,2,21.021,JAX,@,WAS,L 10-41,,6,4,75,18.75,0,66.7%,12.50,,0,0,0.0,0,0
3,2014,2014-09-21,3,21.028,JAX,,IND,L 17-44,*,10,7,79,11.29,0,70.0%,7.90,,0,0,0.0,1,0
4,2014,2014-09-28,4,21.035,JAX,@,SDG,L 14-33,*,7,5,38,7.60,0,71.4%,5.43,,0,0,0.0,0,0
5,2014,2014-10-05,5,21.042,JAX,,PIT,L 9-17,*,11,5,51,10.20,0,45.5%,4.64,,0,0,0.0,1,0
6,2014,2014-10-12,6,21.049,JAX,@,TEN,L 14-16,*,9,8,68,8.50,0,88.9%,7.56,,0,0,0.0,0,0
7,2014,2014-10-19,7,21.056,JAX,,CLE,W 24-6,*,7,4,60,15.00,1,57.1%,8.57,,1,6,0.0,0,0
8,2014,2014-10-26,8,21.063,JAX,,MIA,L 13-27,*,10,5,82,16.40,1,50.0%,8.20,,1,6,0.0,0,0
9,2014,2014-11-02,9,21.070,JAX,@,CIN,L 23-33,*,8,4,35,8.75,0,50.0%,4.38,,0,0,0.0,0,0
10,2014,2014-11-09,10,21.077,JAX,,DAL,L 17-31,*,10,5,60,12.00,0,50.0%,6.00,1,0,2,0.0,0,0
11,2015,2015-09-13,1,22.020,JAX,,CAR,L 9-20,*,6,1,27,27.00,0,16.7%,4.50,,0,0,0.0,0,0
12,2015,2015-09-20,2,22.027,JAX,,MIA,W 23-20,*,12,6,155,25.83,2,50.0%,12.92,,2,12,0.0,0,0
13,2015,2015-09-27,3,22.034,JAX,@,NWE,L 17-51,*,9,4,68,17.00,0,44.4%,7.56,,0,0,0.0,0,0
14,2015,2015-10-04,4,22.041,JAX,@,IND,L 13-16,*,12,4,80,20.00,0,33.3%,6.67,,0,0,0.0,0,0
15,2015,2015-10-11,5,22.048,JAX,@,TAM,L 31-38,*,9,7,72,10.29,2,77.8%,8.00,,2,12,0.0,0,0
16,2015,2015-10-18,6,22.055,JAX,,HOU,L 20-31,*,12,6,86,14.33,1,50.0%,7.17,,1,6,0.0,0,0
17,2015,2015-10-25,7,22.062,JAX,,BUF,W 34-31,*,9,6,98,16.33,1,66.7%,10.89,,1,6,0.0,0,0
18,2015,2015-11-08,8,22.076,JAX,@,NYJ,L 23-28,*,11,6,121,20.17,0,54.5%,11.00,,0,0,0.0,0,0
19,2015,2015-11-15,9,22.083,JAX,@,BAL,W 22-20,*,11,5,51,10.20,1,45.5%,4.64,,1,6,0.0,0,0
20,2015,2015-11-19,10,22.087,JAX,,TEN,W 19-13,*,7,5,113,22.60,0,71.4%,16.14,,0,0,0.0,0,0
21,2015,2015-11-29,11,22.097,JAX,,SDG,L 25-31,*,11,5,56,11.20,1,45.5%,5.09,,1,6,0.0,0,0
22,2015,2015-12-06,12,22.104,JAX,@,TEN,L 39-42,*,15,10,153,15.30,3,66.7%,10.20,,3,18,0.0,0,0
23,2015,2015-12-13,13,22.111,JAX,,IND,W 51-16,*,4,1,4,4.00,1,25.0%,1.00,,1,6,0.0,0,0
24,2015,2015-12-20,14,22.118,JAX,,ATL,L 17-23,*,5,3,57,19.00,1,60.0%,11.40,,1,6,0.0,0,0
25,2015,2015-12-27,15,22.125,JAX,@,NOR,L 27-38,*,9,6,151,25.17,1,66.7%,16.78,,1,6,0.0,0,0
26,2015,2016-01-03,16,22.132,JAX,@,HOU,L 6-30,*,9,5,108,21.60,0,55.6%,12.00,,0,0,0.0,0,0
27,2016,2016-09-11,1,23.018,JAX,,GNB,L 23-27,*,15,6,72,12.00,0,40.0%,4.80,,0,0,0.0,0,0
28,2016,2016-09-18,2,23.025,JAX,@,SDG,L 14-38,*,5,3,54,18.00,0,60.0%,10.80,,0,0,0.0,0,0
29,2016,2016-09-25,3,23.032,JAX,,BAL,L 17-19,*,11,7,57,8.14,2,63.6%,5.18,,2,12,0.0,0,0
30,2016,2016-10-02,4,23.039,JAX,,IND,W 30-27,*,10,5,55,11.00,1,50.0%,5.50,,1,6,0.0,0,0
31,2016,2016-10-16,5,23.053,JAX,@,CHI,W 17-16,*,6,3,49,16.33,0,50.0%,8.17,,0,0,0.0,0,0
32,2016,2016-10-23,6,23.060,JAX,,OAK,L 16-33,*,8,2,9,4.50,0,25.0%,1.13,,0,0,0.0,0,0
33,2016,2016-10-27,7,23.064,JAX,@,TEN,L 22-36,*,15,6,70,11.67,0,40.0%,4.67,,0,0,0.0,0,0
34,2016,2016-11-06,8,23.074,JAX,@,KAN,L 14-19,*,12,7,76,10.86,1,58.3%,6.33,,1,6,0.0,0,0
35,2016,2016-11-13,9,23.081,JAX,,HOU,L 21-24,*,13,9,107,11.89,1,69.2%,8.23,1,1,8,0.0,0,0
36,2016,2016-11-20,10,23.088,JAX,@,DET,L 19-26,*,7,3,18,6.00,1,42.9%,2.57,,1,6,0.0,0,0
37,2016,2016-11-27,11,23.095,JAX,@,BUF,L 21-28,*,4,2,24,12.00,0,50.0%,6.00,,0,0,0.0,0,0
38,2016,2016-12-04,12,23.102,JAX,,DEN,L 10-20,*,10,3,31,10.33,0,30.0%,3.10,,0,0,0.0,0,0
39,2016,2016-12-11,13,23.109,JAX,,MIN,L 16-25,*,3,1,17,17.00,0,33.3%,5.67,,0,0,0.0,0,0
40,2016,2016-12-18,14,23.116,JAX,@,HOU,L 20-21,*,8,2,15,7.50,0,25.0%,1.88,,0,0,0.0,0,0
41,2016,2016-12-24,15,23.122,JAX,,TEN,W 38-17,*,12,9,147,16.33,0,75.0%,12.25,,0,0,0.0,0,0
42,2016,2017-01-01,16,23.130,JAX,@,IND,L 20-24,*,12,5,82,16.40,0,41.7%,6.83,,0,0,0.0,0,0
43,2017,2017-09-10,1,24.017,JAX,@,HOU,W 29-7,*,1,1,17,17.00,0,100.0%,17.00,,0,0,0.0,0,0
44,2018,2018-09-09,1,25.016,CHI,@,GNB,L 23-24,,7,4,61,15.25,0,57.1%,8.71,,0,0,0.0,0,0
45,2018,2018-09-17,2,25.024,CHI,,SEA,W 24-17,*,14,10,83,8.30,0,71.4%,5.93,,0,0,0.0,0,0
46,2018,2018-09-23,3,25.030,CHI,@,ARI,W 16-14,*,7,3,50,16.67,0,42.9%,7.14,,0,0,0.0,0,0
