ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks
1,1996,1996-09-02,1,21.329,DAL,@,CHI,L 6-22,,,,,,
2,1996,1996-09-08,2,21.335,DAL,,NYG,W 27-0,,,,,,
3,1996,1996-09-15,3,21.342,DAL,,IND,L 24-25,,,,,,
4,1996,1996-09-22,4,21.349,DAL,@,BUF,L 7-10,,,,,,
5,1996,1996-09-30,5,21.357,DAL,@,PHI,W 23-19,,,,,,
6,1996,1996-10-13,6,22.004,DAL,,ARI,W 17-3,,,,,,
7,1996,1996-10-20,7,22.011,DAL,,ATL,W 32-28,,,,,,
8,1996,1996-10-27,8,22.018,DAL,@,MIA,W 29-10,,,,,,
9,1996,1996-11-03,9,22.025,DAL,,PHI,L 21-31,,,,,,
10,1996,1996-11-18,11,22.040,DAL,,GNB,W 21-6,,,,,,
11,1996,1996-11-24,12,22.046,DAL,@,NYG,L 6-20,,,,,,
12,1996,1996-11-28,13,22.050,DAL,,WAS,W 21-10,,,,,,
13,1996,1996-12-08,14,22.060,DAL,@,ARI,W 10-6,,,,,,
14,1996,1996-12-15,15,22.067,DAL,,NWE,W 12-6,,,,,,
15,1996,1996-12-22,16,22.074,DAL,@,WAS,L 10-37,,,,,,
16,1997,1997-08-31,1,22.326,DAL,@,PIT,W 37-7,,0,0,,0,
17,1997,1997-09-07,2,22.333,DAL,@,ARI,L 22-25,,0,0,,0,
18,1997,1997-09-15,3,22.341,DAL,,PHI,W 21-20,,0,0,,0,
19,1997,1997-09-28,4,22.354,DAL,,CHI,W 27-3,,0,0,,0,
20,1997,1997-10-05,5,22.361,DAL,@,NYG,L 17-20,,0,0,,0,
21,1997,1997-10-19,7,23.010,DAL,,JAX,W 26-22,,0,0,,0,
22,1997,1997-10-26,8,23.017,DAL,@,PHI,L 12-13,,1,0,0.00,0,0.0
