ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1989,1989-09-10,1,21.310,PIT,,CLE,L 0-51,2,28,14.00,0,0,0,,0,0,0
2,1989,1989-09-17,2,21.317,PIT,@,CIN,L 10-41,1,7,7.00,1,0,0,,0,1,6
3,1989,1989-09-24,3,21.324,PIT,,MIN,W 27-14,0,0,,0,0,0,,0,,
4,1989,1989-10-01,4,21.331,PIT,@,DET,W 23-3,4,62,15.50,0,0,0,,0,0,0
5,1989,1989-10-08,5,21.338,PIT,,CIN,L 16-26,2,23,11.50,0,0,0,,0,0,0
6,1989,1989-10-15,6,21.345,PIT,@,CLE,W 17-7,1,12,12.00,0,3,20,6.67,0,0,0
7,1989,1989-10-22,7,21.352,PIT,@,HOU,L 0-27,1,17,17.00,0,0,0,,0,0,0
8,1989,1989-10-29,8,21.359,PIT,,KAN,W 23-17,2,48,24.00,0,0,0,,0,0,0
9,1989,1989-11-05,9,22.001,PIT,@,DEN,L 7-34,2,31,15.50,0,0,0,,0,0,0
10,1989,1989-11-12,10,22.008,PIT,,CHI,L 0-20,1,9,9.00,0,0,0,,0,0,0
11,1989,1989-11-19,11,22.015,PIT,,SDG,W 20-17,2,21,10.50,0,2,2,1.00,0,0,0
12,1989,1989-11-26,12,22.022,PIT,@,MIA,W 34-14,3,93,31.00,0,0,0,,0,0,0
13,1989,1989-12-03,13,22.029,PIT,,HOU,L 16-23,2,22,11.00,0,0,0,,0,0,0
14,1989,1989-12-10,14,22.036,PIT,@,NYJ,W 13-0,3,36,12.00,0,0,0,,0,0,0
15,1989,1989-12-17,15,22.043,PIT,,NWE,W 28-10,1,33,33.00,0,0,0,,0,0,0
16,1989,1989-12-24,16,22.050,PIT,@,TAM,W 31-22,1,13,13.00,0,0,0,,0,0,0
17,1990,1990-09-09,1,22.309,PIT,@,CLE,L 3-13,1,17,17.00,0,0,0,,0,0,0
18,1990,1990-09-16,2,22.316,PIT,,HOU,W 20-9,3,26,8.67,0,0,0,,0,0,0
19,1990,1990-09-23,3,22.323,PIT,@,RAI,L 3-20,3,22,7.33,0,0,0,,0,0,0
20,1990,1990-09-30,4,22.330,PIT,,MIA,L 6-28,2,36,18.00,0,0,0,,0,0,0
21,1990,1990-10-07,5,22.337,PIT,,SDG,W 36-14,2,22,11.00,0,1,0,0.00,0,0,0
22,1990,1990-10-14,6,22.344,PIT,@,DEN,W 34-17,0,0,,0,0,0,,0,,
23,1990,1990-10-21,7,22.351,PIT,@,SFO,L 7-27,1,4,4.00,0,0,0,,0,0,0
24,1990,1990-10-29,8,22.359,PIT,,RAM,W 41-10,2,23,11.50,0,0,0,,0,0,0
25,1990,1990-11-04,9,23.000,PIT,,ATL,W 21-9,1,66,66.00,0,0,0,,0,0,0
26,1990,1990-11-18,10,23.014,PIT,@,CIN,L 3-27,0,0,,0,0,0,,0,,
27,1990,1990-11-25,11,23.021,PIT,@,NYJ,W 24-7,0,0,,0,0,0,,0,,
28,1990,1990-12-02,12,23.028,PIT,,CIN,L 12-16,3,46,15.33,0,0,0,,0,0,0
29,1990,1990-12-09,13,23.035,PIT,,NWE,W 24-3,2,38,19.00,0,0,0,,0,0,0
30,1990,1990-12-16,14,23.042,PIT,@,NOR,W 9-6,1,11,11.00,0,0,0,,0,0,0
31,1990,1990-12-23,15,23.049,PIT,,CLE,W 35-0,1,6,6.00,0,0,0,,0,0,0
32,1990,1990-12-30,16,23.056,PIT,@,HOU,L 14-34,3,74,24.67,0,0,0,,0,0,0
