ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1987,1987-09-13,1,22.296,PIT,,SFO,W 30-17,0,0,,0,,,,
2,1987,1987-09-20,2,22.303,PIT,@,CLE,L 10-34,0,0,,0,,,,
3,1987,1987-10-25,6,22.338,PIT,,CIN,W 23-20,4,22,5.50,0,0.0,0,0,0
4,1987,1987-11-01,7,22.345,PIT,@,MIA,L 24-35,0,0,,0,,,,
5,1987,1987-11-08,8,22.352,PIT,@,KAN,W 17-16,0,0,,0,0.0,1,1,0
6,1987,1987-11-15,9,22.359,PIT,,HOU,L 3-23,0,0,,0,,,,
7,1987,1987-11-22,10,23.001,PIT,@,CIN,W 30-16,0,0,,0,0.0,2,21,0
8,1987,1987-11-29,11,23.008,PIT,,NOR,L 16-20,0,0,,0,,,,
9,1987,1987-12-06,12,23.015,PIT,,SEA,W 13-9,0,0,,0,,,,
10,1987,1987-12-13,13,23.022,PIT,@,SDG,W 20-16,0,0,,0,,,,
11,1987,1987-12-20,14,23.029,PIT,@,HOU,L 16-24,0,0,,0,,,,
12,1987,1987-12-26,15,23.035,PIT,,CLE,L 13-19,0,0,,0,,,,
13,1988,1988-09-04,1,23.288,PIT,,DAL,W 24-21,0,0,,0,0.0,1,10,0
14,1988,1988-09-11,2,23.295,PIT,@,WAS,L 29-30,,,,,,,,
15,1988,1988-09-25,4,23.309,PIT,@,BUF,L 28-36,,,,,,,,
16,1988,1988-10-02,5,23.316,PIT,,CLE,L 9-23,0,0,,0,0.0,1,29,0
17,1988,1988-10-09,6,23.323,PIT,@,PHO,L 14-31,,,,,,,,
18,1988,1988-10-16,7,23.330,PIT,,HOU,L 14-34,,,,,,,,
19,1988,1988-10-23,8,23.337,PIT,,DEN,W 39-21,,,,,,,,
20,1988,1988-10-30,9,23.344,PIT,@,NYJ,L 20-24,,,,,,,,
21,1988,1988-11-06,10,23.351,PIT,@,CIN,L 7-42,,,,,,,,
22,1988,1988-11-13,11,23.358,PIT,,PHI,L 26-27,0,0,,0,0.0,1,-8,0
23,1988,1988-11-20,12,23.365,PIT,@,CLE,L 7-27,,,,,,,,
24,1988,1988-12-04,14,24.013,PIT,@,HOU,W 37-34,,,,,,,,
25,1988,1988-12-11,15,24.020,PIT,@,SDG,L 14-20,,,,,,,,
26,1988,1988-12-18,16,24.027,PIT,,MIA,W 40-24,,,,,,,,
27,1989,1989-09-10,1,24.293,PIT,,CLE,L 0-51,,,,,,,,
28,1989,1989-09-17,2,24.300,PIT,@,CIN,L 10-41,,,,,,,,
29,1989,1989-09-24,3,24.307,PIT,,MIN,W 27-14,0,0,,0,0.0,1,4,0
30,1989,1989-10-01,4,24.314,PIT,@,DET,W 23-3,,,,,,,,
31,1989,1989-10-08,5,24.321,PIT,,CIN,L 16-26,,,,,,,,
32,1989,1989-10-15,6,24.328,PIT,@,CLE,W 17-7,0,0,,0,0.0,1,32,0
33,1989,1989-10-22,7,24.335,PIT,@,HOU,L 0-27,,,,,,,,
34,1989,1989-10-29,8,24.342,PIT,,KAN,W 23-17,,,,,,,,
35,1989,1989-11-05,9,24.349,PIT,@,DEN,L 7-34,,,,,,,,
36,1989,1989-11-12,10,24.356,PIT,,CHI,L 0-20,,,,,,,,
37,1989,1989-11-19,11,24.363,PIT,,SDG,W 20-17,,,,,,,,
38,1989,1989-11-26,12,25.005,PIT,@,MIA,W 34-14,0,0,,0,0.0,1,32,0
39,1989,1989-12-03,13,25.012,PIT,,HOU,L 16-23,,,,,,,,
40,1989,1989-12-10,14,25.019,PIT,@,NYJ,W 13-0,,,,,,,,
41,1989,1989-12-17,15,25.026,PIT,,NWE,W 28-10,,,,,,,,
42,1989,1989-12-24,16,25.033,PIT,@,TAM,W 31-22,,,,,,,,
43,1990,1990-09-09,1,25.292,PIT,@,CLE,L 3-13,,,,,,,,
44,1990,1990-09-23,3,25.306,PIT,@,RAI,L 3-20,,,,,,,,
45,1990,1990-09-30,4,25.313,PIT,,MIA,L 6-28,,,,,,,,
46,1990,1990-10-07,5,25.320,PIT,,SDG,W 36-14,,,,,,,,
47,1990,1990-10-14,6,25.327,PIT,@,DEN,W 34-17,,,,,,,,
48,1990,1990-10-21,7,25.334,PIT,@,SFO,L 7-27,0,0,,0,0.0,1,0,0
49,1990,1990-10-29,8,25.342,PIT,,RAM,W 41-10,0,0,,0,0.0,1,2,0
50,1990,1990-11-04,9,25.348,PIT,,ATL,W 21-9,,,,,,,,
51,1990,1990-11-18,10,25.362,PIT,@,CIN,L 3-27,0,0,,0,0.0,1,0,0
52,1990,1990-11-25,11,26.004,PIT,@,NYJ,W 24-7,,,,,,,,
53,1990,1990-12-02,12,26.011,PIT,,CIN,L 12-16,,,,,,,,
54,1990,1990-12-09,13,26.018,PIT,,NWE,W 24-3,,,,,,,,
55,1990,1990-12-16,14,26.025,PIT,@,NOR,W 9-6,,,,,,,,
56,1990,1990-12-23,15,26.032,PIT,,CLE,W 35-0,,,,,,,,
57,1990,1990-12-30,16,26.039,PIT,@,HOU,L 14-34,,,,,,,,
58,1991,1991-09-01,1,26.284,PIT,,SDG,W 26-20,,,,,,,,
59,1991,1991-09-08,2,26.291,PIT,@,BUF,L 34-52,,,,,,,,
60,1991,1991-09-15,3,26.298,PIT,,NWE,W 20-6,0,0,,0,0.0,1,27,0
61,1991,1991-09-22,4,26.305,PIT,@,PHI,L 14-23,,,,,,,,
