ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1992,1992-09-06,1,23.040,NYG,,SFO,L 14-31,,,,,,
2,1992,1992-09-13,2,23.047,NYG,,DAL,L 28-34,,,,,,
3,1992,1992-09-21,3,23.055,NYG,@,CHI,W 27-14,,,,,,
4,1992,1992-10-04,4,23.068,NYG,@,RAI,L 10-13,,,,,,
5,1992,1992-10-11,5,23.075,NYG,,PHO,W 31-21,,,,,,
6,1992,1992-10-18,6,23.082,NYG,@,RAM,L 17-38,,,,,,
7,1992,1992-10-25,7,23.089,NYG,,SEA,W 23-10,,,,,,
8,1992,1992-11-01,8,23.096,NYG,@,WAS,W 24-7,,,,,,
9,1992,1992-11-08,9,23.103,NYG,,GNB,W 27-7,,,,,,
10,1992,1992-11-15,10,23.110,NYG,@,DEN,L 13-27,,,,,,
11,1992,1992-11-22,11,23.117,NYG,,PHI,L 34-47,,,,,,
12,1992,1992-11-26,12,23.121,NYG,@,DAL,L 3-30,,,,,,
13,1992,1992-12-06,13,23.131,NYG,,WAS,L 10-28,,,,,,
14,1992,1992-12-12,14,23.137,NYG,@,PHO,L 0-19,,,,,,
15,1992,1992-12-19,15,23.144,NYG,,KAN,W 35-21,,,,,,
16,1992,1992-12-27,16,23.152,NYG,@,PHI,L 10-20,0,0,1.0,0,0,0
17,1993,1993-09-05,1,24.039,NYG,@,CHI,W 26-20,,,,,,
18,1993,1993-09-12,2,24.046,NYG,,TAM,W 23-7,,,,,,
19,1993,1993-09-19,3,24.053,NYG,,RAM,W 20-10,,,,,,
20,1993,1993-10-03,4,24.067,NYG,@,BUF,L 14-17,,,,,,
21,1993,1993-10-10,5,24.074,NYG,@,WAS,W 41-7,,,,,,
22,1993,1993-10-17,6,24.081,NYG,,PHI,W 21-10,,,,,,
23,1993,1993-10-31,7,24.095,NYG,,NYJ,L 6-10,,,,,,
24,1993,1993-11-07,8,24.102,NYG,@,DAL,L 9-31,,,,,,
25,1993,1993-11-14,9,24.109,NYG,,WAS,W 20-6,,,,,,
26,1993,1993-11-21,10,24.116,NYG,@,PHI,W 7-3,0,0,0.0,1,0,0
27,1993,1993-11-28,11,24.123,NYG,,PHO,W 19-17,0,0,0.0,1,11,0
28,1993,1993-12-05,12,24.130,NYG,@,MIA,W 19-14,,,,,,
29,1993,1993-12-12,13,24.137,NYG,,IND,W 20-6,,,,,,
30,1993,1993-12-20,14,24.145,NYG,@,NOR,W 24-14,,,,,,
31,1993,1993-12-26,15,24.151,NYG,@,PHO,L 6-17,,,,,,
32,1993,1994-01-02,16,24.158,NYG,,DAL,L 13-16,,,,,,
33,1994,1994-09-04,1,25.038,NYG,,PHI,W 28-23,,,,,,
34,1994,1994-09-11,2,25.045,NYG,@,ARI,W 20-17,,,,,,
35,1994,1994-09-18,3,25.052,NYG,,WAS,W 31-23,,,,,,
36,1994,1994-10-02,4,25.066,NYG,@,NOR,L 22-27,,,,,,
37,1994,1994-10-10,5,25.074,NYG,,MIN,L 10-27,,,,,,
38,1994,1994-10-16,6,25.080,NYG,@,RAM,L 10-17,,,,,,
39,1994,1994-10-23,7,25.087,NYG,,PIT,L 6-10,,,,,,
40,1994,1994-10-30,8,25.094,NYG,,DET,L 25-28,0,0,0.0,1,0,0
41,1994,1994-11-07,9,25.102,NYG,@,DAL,L 10-38,,,,,,
42,1994,1994-11-13,10,25.108,NYG,,ARI,L 9-10,,,,,,
43,1994,1994-11-21,11,25.116,NYG,@,HOU,W 13-10,,,,,,
44,1994,1994-11-27,12,25.122,NYG,@,WAS,W 21-19,,,,,,
45,1994,1994-12-04,13,25.129,NYG,@,CLE,W 16-13,,,,,,
46,1994,1994-12-11,14,25.136,NYG,,CIN,W 27-20,,,,,,
47,1994,1994-12-18,15,25.143,NYG,@,PHI,W 16-13,,,,,,
48,1994,1994-12-24,16,25.149,NYG,,DAL,W 15-10,,,,,,
49,1995,1995-09-03,1,26.037,DET,@,PIT,L 20-23,0,0,0.0,1,0,0
50,1995,1995-09-10,2,26.044,DET,@,MIN,L 10-20,,,,,,
51,1995,1995-09-17,3,26.051,DET,,ARI,L 17-20,,,,,,
52,1995,1995-09-25,4,26.059,DET,,SFO,W 27-24,,,,,,
53,1995,1995-10-08,5,26.072,DET,,CLE,W 38-20,,,,,,
54,1995,1995-10-15,6,26.079,DET,@,GNB,L 21-30,,,,,,
55,1995,1995-10-22,7,26.086,DET,@,WAS,L 30-36,,,,,,
56,1995,1995-10-29,8,26.093,DET,,GNB,W 24-16,0,0,0.0,1,0,0
57,1995,1995-11-05,9,26.100,DET,@,ATL,L 22-34,0,0,1.0,0,0,0
58,1995,1995-11-12,10,26.107,DET,,TAM,W 27-24,,,,,,
59,1995,1995-11-19,11,26.114,DET,@,CHI,W 24-17,0,0,0.0,1,0,0
60,1995,1995-11-23,12,26.118,DET,,MIN,W 44-38,0,0,0.0,1,15,0
61,1995,1995-12-04,13,26.129,DET,,CHI,W 27-7,,,,,,
62,1995,1995-12-10,14,26.135,DET,@,HOU,W 24-17,,,,,,
63,1995,1995-12-17,15,26.142,DET,,JAX,W 44-0,0,0,1.0,1,18,0
64,1995,1995-12-23,16,26.148,DET,@,TAM,W 37-10,0,0,0.0,1,11,0
65,1996,1996-09-01,1,27.035,DET,@,MIN,L 13-17,,,,,,
66,1996,1996-09-08,2,27.042,DET,,TAM,W 21-6,1,6,0.0,1,24,1
67,1996,1996-09-15,3,27.049,DET,@,PHI,L 17-24,,,,,,
68,1996,1996-09-22,4,27.056,DET,,CHI,W 35-16,,,,,,
69,1996,1996-09-29,5,27.063,DET,@,TAM,W 27-0,,,,,,
70,1996,1996-10-06,6,27.070,DET,,ATL,W 28-24,,,,,,
71,1996,1996-10-13,7,27.077,DET,@,OAK,L 21-37,,,,,,
72,1996,1996-11-11,10,27.106,DET,@,SDG,L 21-27,,,,,,
73,1996,1996-11-17,11,27.112,DET,,SEA,W 17-16,,,,,,
74,1996,1996-11-24,12,27.119,DET,@,CHI,L 14-31,,,,,,
75,1996,1996-11-28,13,27.123,DET,,KAN,L 24-28,,,,,,
76,1996,1996-12-08,14,27.133,DET,,MIN,L 22-24,,,,,,
77,1996,1996-12-23,16,27.148,DET,@,SFO,L 14-24,,,,,,
