ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1989,1989-09-10,1,23.165,KAN,@,DEN,L 20-34,,1,2,2.00,0,,,0,0,,0,0,0
2,1989,1989-09-17,2,23.172,KAN,,RAI,W 24-19,,2,15,7.50,0,,,0,0,,0,0,0
3,1989,1989-09-24,3,23.179,KAN,@,SDG,L 6-21,,1,7,7.00,0,,,0,0,,0,0,0
4,1989,1989-10-01,4,23.186,KAN,,CIN,L 17-21,,3,23,7.67,1,,,0,0,,0,1,6
5,1989,1989-10-08,5,23.193,KAN,@,SEA,W 20-16,,0,0,,0,,,,,,,,
6,1989,1989-10-15,6,23.200,KAN,@,RAI,L 14-20,,1,11,11.00,1,,,0,0,,0,1,6
7,1989,1989-10-22,7,23.207,KAN,,DAL,W 36-28,,0,0,,0,,,,,,,,
8,1989,1989-12-24,16,23.270,KAN,@,MIA,W 27-24,,0,0,,0,,,,,,,,
9,1990,1990-09-09,1,24.164,KAN,,MIN,W 24-21,,3,41,13.67,0,,,0,0,,0,0,0
10,1990,1990-09-17,2,24.172,KAN,@,DEN,L 23-24,,2,36,18.00,0,,,0,0,,0,0,0
11,1990,1990-09-23,3,24.178,KAN,@,GNB,W 17-3,,2,38,19.00,0,,,0,0,,0,0,0
12,1990,1990-09-30,4,24.185,KAN,,CLE,W 34-0,,1,47,47.00,1,,,0,0,,0,1,6
13,1990,1990-10-07,5,24.192,KAN,@,IND,L 19-23,,2,30,15.00,1,,,0,0,,0,1,6
14,1990,1990-10-14,6,24.199,KAN,,DET,W 43-24,,0,0,,0,,,,,,,,
15,1990,1990-10-21,7,24.206,KAN,@,SEA,L 7-19,,4,33,8.25,0,,,0,0,,0,0,0
16,1990,1990-11-04,8,24.220,KAN,,RAI,W 9-7,,0,0,,0,,,,,,,,
17,1990,1990-11-11,9,24.227,KAN,,SEA,L 16-17,,7,53,7.57,0,,,0,0,,0,0,0
18,1990,1990-11-18,10,24.234,KAN,,SDG,W 27-10,,1,11,11.00,0,,,0,0,,0,0,0
19,1990,1990-11-25,11,24.241,KAN,@,RAI,W 27-24,,2,10,5.00,0,,,0,0,,0,0,0
20,1990,1990-12-02,12,24.248,KAN,@,NWE,W 37-7,,2,37,18.50,1,,,0,0,,0,1,6
21,1990,1990-12-09,13,24.255,KAN,,DEN,W 31-20,,4,61,15.25,1,,,0,0,,0,1,6
22,1990,1990-12-16,14,24.262,KAN,,HOU,L 10-27,,5,63,12.60,0,,,0,0,,0,0,0
23,1990,1990-12-23,15,24.269,KAN,@,SDG,W 24-21,,3,31,10.33,0,,,0,0,,0,0,0
24,1990,1990-12-29,16,24.275,KAN,@,CHI,W 21-10,,3,54,18.00,0,,,0,0,,0,0,0
25,1991,1991-09-01,1,25.156,KAN,,ATL,W 14-3,,1,13,13.00,0,,,0,0,,0,0,0
26,1991,1991-09-08,2,25.163,KAN,,NOR,L 10-17,,5,52,10.40,0,,,0,0,,0,0,0
27,1991,1991-09-16,3,25.171,KAN,@,HOU,L 7-17,,0,0,,0,,,,,,,,
28,1991,1991-09-22,4,25.177,KAN,,SEA,W 20-13,,4,57,14.25,0,,,0,0,,0,0,0
29,1991,1991-09-29,5,25.184,KAN,@,SDG,W 14-13,,1,11,11.00,1,,,0,0,,0,1,6
30,1991,1991-10-07,6,25.192,KAN,,BUF,W 33-6,,4,55,13.75,0,,,0,0,,0,0,0
31,1991,1991-10-13,7,25.198,KAN,,MIA,W 42-7,,4,42,10.50,0,,,0,0,,0,0,0
32,1991,1991-10-20,8,25.205,KAN,@,DEN,L 16-19,,3,27,9.00,0,,,0,0,,0,0,0
33,1991,1991-10-28,9,25.213,KAN,,RAI,W 24-21,,3,36,12.00,0,,,0,0,,0,0,0
34,1991,1991-11-10,10,25.226,KAN,@,RAM,W 27-20,,6,38,6.33,0,,,0,0,,0,0,0
35,1991,1991-11-17,11,25.233,KAN,,DEN,L 20-24,,7,89,12.71,0,,,0,0,,0,0,0
36,1991,1991-12-01,13,25.247,KAN,@,SEA,W 19-6,,0,0,,0,,,,,,,,
37,1991,1991-12-08,14,25.254,KAN,,SDG,W 20-17,,2,35,17.50,0,,,0,0,,0,0,0
38,1991,1991-12-14,15,25.260,KAN,@,SFO,L 14-28,,0,0,,0,,,,,,,,
39,1991,1991-12-22,16,25.268,KAN,@,RAI,W 27-21,,3,40,13.33,0,,,0,0,,0,0,0
40,1992,1992-09-13,2,26.168,SEA,@,KAN,L 7-26,,0,0,,0,0.0%,,0,0,,0,0,
41,1992,1992-09-20,3,26.175,SEA,@,NWE,W 10-6,2,0,0,,0,0.0%,0.00,0,0,,0,0,
42,1992,1992-09-27,4,26.182,SEA,,MIA,L 17-19,1,0,0,,0,0.0%,0.00,0,0,,0,0,
43,1992,1992-10-04,5,26.189,SEA,@,SDG,L 6-17,1,0,0,,0,0.0%,0.00,0,0,,0,0,
44,1992,1992-10-11,6,26.196,SEA,@,DAL,L 0-27,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0
45,1992,1992-10-18,7,26.203,SEA,,RAI,L 0-19,4,2,17,8.50,0,50.0%,4.25,1,-1,-1.00,0,0,0
46,1992,1992-10-25,8,26.210,SEA,@,NYG,L 10-23,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0
47,1992,1992-11-08,9,26.224,SEA,,WAS,L 3-16,3,2,27,13.50,0,66.7%,9.00,0,0,,0,0,0
48,1992,1992-11-15,10,26.231,SEA,@,RAI,L 3-20,,0,0,,0,0.0%,,0,0,,0,0,
49,1992,1992-11-22,11,26.238,SEA,,KAN,L 14-24,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0
50,1992,1992-11-30,12,26.246,SEA,,DEN,W 16-13,1,1,31,31.00,0,100.0%,31.00,0,0,,0,0,0
51,1992,1992-12-06,13,26.252,SEA,@,PIT,L 14-20,,0,0,,0,0.0%,,0,0,,0,0,
52,1992,1992-12-13,14,26.259,SEA,,PHI,L 17-20,,0,0,,0,0.0%,,0,0,,0,0,
53,1992,1992-12-20,15,26.266,SEA,@,DEN,L 6-10,,0,0,,0,0.0%,,0,0,,0,0,
54,1992,1992-12-27,16,26.273,SEA,,SDG,L 14-31,,0,0,,0,0.0%,,0,0,,0,0,
55,1993,1993-09-05,1,27.160,SEA,@,SDG,L 12-18,,0,0,,0,0.0%,,,,,,,
56,1993,1993-09-12,2,27.167,SEA,,RAI,L 13-17,,0,0,,0,0.0%,,,,,,,
57,1993,1993-09-19,3,27.174,SEA,@,NWE,W 17-14,,0,0,,0,0.0%,,,,,,,
58,1993,1993-09-26,4,27.181,SEA,@,CIN,W 19-10,,0,0,,0,0.0%,,,,,,,
59,1993,1993-10-03,5,27.188,SEA,,SDG,W 31-14,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0
60,1993,1993-10-17,6,27.202,SEA,@,DET,L 10-30,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0
61,1993,1993-10-24,7,27.209,SEA,,NWE,W 10-9,,0,0,,0,0.0%,,,,,,,
62,1993,1993-10-31,8,27.216,SEA,@,DEN,L 17-28,1,0,0,,0,0.0%,0.00,,,,,,
63,1993,1993-11-07,9,27.223,SEA,@,HOU,L 14-24,,0,0,,0,0.0%,,,,,,,
64,1993,1993-11-14,10,27.230,SEA,,CLE,W 22-5,,0,0,,0,0.0%,,,,,,,
65,1993,1993-11-28,11,27.244,SEA,,DEN,L 9-17,,0,0,,0,0.0%,,,,,,,
66,1993,1993-12-05,12,27.251,SEA,,KAN,L 16-31,,0,0,,0,0.0%,,,,,,,
67,1993,1993-12-12,13,27.258,SEA,@,RAI,L 23-27,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
68,1993,1993-12-19,14,27.265,SEA,,PHO,L 27-30,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0
69,1993,1993-12-26,15,27.272,SEA,,PIT,W 16-6,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0
70,1993,1994-01-02,16,27.279,SEA,@,KAN,L 24-34,,0,0,,0,0.0%,,,,,,,
71,1994,1994-09-04,1,28.159,SEA,@,WAS,W 28-7,,0,0,,0,0.0%,,,,,,,
72,1994,1994-09-11,2,28.166,SEA,@,RAI,W 38-9,0,0,0,,0,0.0%,,,,,,,
73,1994,1994-09-18,3,28.173,SEA,,SDG,L 10-24,,0,0,,0,0.0%,,,,,,,
74,1994,1994-09-25,4,28.180,SEA,,PIT,W 30-13,,0,0,,0,0.0%,,,,,,,
75,1994,1994-10-02,5,28.187,SEA,@,IND,L 15-17,,0,0,,0,0.0%,,,,,,,
76,1994,1994-10-09,6,28.194,SEA,,DEN,L 9-16,,0,0,,0,0.0%,,,,,,,
77,1994,1994-10-23,7,28.208,SEA,@,KAN,L 23-38,,0,0,,0,0.0%,,,,,,,
78,1994,1994-10-30,8,28.215,SEA,@,SDG,L 15-35,,0,0,,0,0.0%,,,,,,,
