ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2018,2018-09-09,1,22.321,SFO,@,MIN,L 16-24,,5,2,61,30.50,1,40.0%,12.20,2,14,7.00,0,1,6
2,2018,2018-09-16,2,22.328,SFO,,DET,W 30-27,*,2,1,35,35.00,0,50.0%,17.50,2,14,7.00,0,0,0
3,2018,2018-09-23,3,22.335,SFO,@,KAN,L 27-38,,0,0,0,,0,0.0%,,1,1,1.00,0,0,0
