ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1994,1994-12-04,13,23.221,RAM,,NOR,L 15-31,,0,0,,0,0.0%,,,,,,,,,,,,,,,
2,1994,1994-12-11,14,23.228,RAM,@,TAM,L 14-24,3,0,0,,0,0.0%,0.00,,,,,,,,,,,,,,
3,1994,1994-12-18,15,23.235,RAM,@,CHI,L 13-27,,0,0,,0,0.0%,,,,,,,,,,,,,,,
4,1994,1994-12-24,16,23.241,RAM,,WAS,L 21-24,1,1,36,36.00,1,100.0%,36.00,0,0,,0,0,0,,0,0,0,,0,1,6
5,1996,1996-09-01,1,25.127,STL,,CIN,W 26-16,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,0,
6,1996,1996-09-08,2,25.134,STL,@,SFO,L 0-34,3,1,13,13.00,0,33.3%,4.33,0,0,,0,0,0,,0,0,0,,0,0,0
7,1996,1996-09-22,3,25.148,STL,,WAS,L 10-17,3,0,0,,0,0.0%,0.00,1,3,3.00,1,0,0,,0,0,0,,0,1,6
8,1996,1996-09-29,4,25.155,STL,@,ARI,L 28-31,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,0
9,1996,1996-10-06,5,25.162,STL,,SFO,L 11-28,2,1,20,20.00,0,50.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,0
10,1996,1996-10-13,6,25.169,STL,@,CAR,L 13-45,3,1,28,28.00,0,33.3%,9.33,0,0,,0,0,0,,0,0,0,,0,0,0
11,1996,1996-10-20,7,25.176,STL,,JAX,W 17-14,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0,,0,0,0
12,1996,1996-10-27,8,25.183,STL,@,BAL,L 31-37,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,0,0,0,,0,0,0
13,1996,1996-11-03,9,25.190,STL,@,PIT,L 6-42,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,0,
14,1996,1996-11-10,10,25.197,STL,,ATL,W 59-16,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,0,,0,0,0
15,1996,1996-11-24,12,25.211,STL,,GNB,L 9-24,1,0,0,,0,0.0%,0.00,0,0,,0,,,,,,,,,0,
16,1996,1996-12-01,13,25.218,STL,@,NOR,W 26-10,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,0,0,,0,0,0
17,1996,1996-12-08,14,25.225,STL,@,CHI,L 9-35,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0,0,,0,0,0
18,1996,1996-12-15,15,25.232,STL,@,ATL,W 34-27,2,2,20,10.00,0,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,0
19,1996,1996-12-21,16,25.238,STL,,NOR,W 14-13,,0,0,,0,0.0%,,0,0,,0,,,,,,,,,0,
20,1997,1997-08-31,1,26.126,STL,,NOR,W 38-24,,0,0,,0,0.0%,,,,,,0,0,,0,0,0,,0,,
21,1997,1997-09-07,2,26.133,STL,,SFO,L 12-15,3,1,9,9.00,0,33.3%,3.00,0,0,,0,2,59,29.50,0,2,12,6.00,0,0,0
22,1997,1997-09-14,3,26.140,STL,@,DEN,L 14-35,4,1,14,14.00,0,25.0%,3.50,0,0,,0,3,47,15.67,0,0,0,,0,0,0
23,1997,1997-09-21,4,26.147,STL,,NYG,W 13-3,5,1,14,14.00,0,20.0%,2.80,0,0,,0,1,24,24.00,0,0,0,,0,0,0
