ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1960,1960-09-09,1,24.071,DEN,@,BOS,W 13-10,2,7,3.50,0,0,0,,0,0,0,,0
2,1960,1960-09-18,2,24.080,DEN,@,BUF,W 27-21,5,21,4.20,0,0,0,,0,0,0,,0
3,1960,1960-09-23,3,24.085,DEN,@,NYT,L 24-28,1,-4,-4.00,0,1,11,11.00,0,0,0,,0
4,1960,1960-10-02,4,24.094,DEN,,OAK,W 31-14,1,-3,-3.00,0,0,0,,0,0,0,,0
5,1960,1960-10-23,6,24.115,DEN,,BOS,W 31-24,2,3,1.50,0,0,0,,0,0,0,,0
6,1960,1960-10-30,7,24.122,DEN,,DTX,L 14-17,0,0,,0,1,-3,-3.00,0,0,0,,0
7,1960,1960-11-06,8,24.129,DEN,,HOU,L 25-45,2,12,6.00,0,0,0,,0,1,38,38.00,0
8,1960,1960-11-13,9,24.136,DEN,@,DTX,L 7-34,3,1,0.33,0,1,3,3.00,0,0,0,,0
9,1960,1960-11-20,10,24.143,DEN,@,HOU,L 10-20,7,27,3.86,0,0,0,,0,0,0,,0
10,1960,1960-11-27,11,24.150,DEN,,BUF,T 38-38,5,14,2.80,0,0,0,,0,0,0,,0
11,1960,1960-12-04,12,24.157,DEN,,NYT,L 27-30,0,0,,0,0,0,,0,2,46,23.00,0
12,1960,1960-12-10,13,24.163,DEN,@,LAC,L 33-41,0,0,,0,0,0,,0,2,37,18.50,0
13,1960,1960-12-17,14,24.170,DEN,@,OAK,L 10-48,0,0,,0,0,0,,0,2,32,16.00,0
