ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks
1,1972,1972-09-17,1,23.067,GNB,@,CLE,W 26-10,,,,,,,,,
2,1972,1972-09-24,2,23.074,GNB,,OAK,L 14-20,,,,,,,,,
3,1972,1972-10-01,3,23.081,GNB,,DAL,W 16-13,,,,,,,,,
4,1972,1972-10-08,4,23.088,GNB,,CHI,W 20-17,,,,,,,,,
5,1972,1972-10-16,5,23.096,GNB,@,DET,W 24-23,,,,,,,,,
6,1972,1972-10-22,6,23.102,GNB,,ATL,L 9-10,,,,,,,,,
7,1972,1972-10-29,7,23.109,GNB,,MIN,L 13-27,,,,,,,,,
8,1972,1972-11-05,8,23.116,GNB,,SFO,W 34-24,,,,,,,,,
9,1972,1972-11-12,9,23.123,GNB,@,CHI,W 23-17,,,,,,,,,
10,1972,1972-11-19,10,23.130,GNB,@,HOU,W 23-10,,,,,,,,,
11,1972,1972-11-26,11,23.137,GNB,@,WAS,L 16-21,,,,,,,,,
12,1972,1972-12-03,12,23.144,GNB,,DET,W 33-7,,,,,,,,,
13,1972,1972-12-10,13,23.151,GNB,@,MIN,W 23-7,,,,,,,,,
14,1972,1972-12-17,14,23.158,GNB,@,NOR,W 30-20,,,,,,,,,
15,1973,1973-09-17,1,24.067,GNB,,NYJ,W 23-7,,,,,,,,,
16,1973,1973-09-23,2,24.073,GNB,,DET,T 13-13,,,,,,,,,
17,1973,1973-10-07,4,24.087,GNB,@,NYG,W 16-14,,,,,,,,,
18,1973,1973-10-14,5,24.094,GNB,,KAN,T 10-10,,,,,,,,,
19,1973,1973-10-21,6,24.101,GNB,@,RAM,L 7-24,,,,,,,,,
20,1973,1973-10-28,7,24.108,GNB,@,DET,L 0-34,,,,,,,,,
21,1973,1973-11-04,8,24.115,GNB,,CHI,L 17-31,,,,,,,,,
22,1973,1973-11-11,9,24.122,GNB,,STL,W 25-21,,,,,,,,,
23,1973,1973-11-18,10,24.129,GNB,@,NWE,L 24-33,,,,,,,,,
24,1973,1973-11-26,11,24.137,GNB,@,SFO,L 6-20,,,,,,,,,
25,1973,1973-12-02,12,24.143,GNB,,NOR,W 30-10,,,,,,,,,
26,1973,1973-12-08,13,24.149,GNB,,MIN,L 7-31,,,,,,,,,
27,1973,1973-12-16,14,24.157,GNB,@,CHI,W 21-0,,,,,,,,,
28,1974,1974-09-15,1,25.065,GNB,,MIN,L 17-32,,,,,,,,,
29,1974,1974-09-22,2,25.072,GNB,@,BAL,W 20-13,,,,,,,,,
30,1974,1974-09-29,3,25.079,GNB,,DET,W 21-19,,,,,,,,,
31,1974,1974-10-06,4,25.086,GNB,,BUF,L 7-27,,,,,,,,,
32,1974,1974-10-13,5,25.093,GNB,,RAM,W 17-6,,,,,,,,,
33,1974,1974-10-21,6,25.101,GNB,@,CHI,L 9-10,,,,,,,,,
34,1974,1974-11-03,8,25.114,GNB,,WAS,L 6-17,,,,,,,,,
35,1974,1974-11-10,9,25.121,GNB,,CHI,W 20-3,,,,,,,,,
36,1974,1974-11-17,10,25.128,GNB,@,MIN,W 19-7,,,,,,,,,
37,1974,1974-11-24,11,25.135,GNB,,SDG,W 34-0,,,,,,,,,
38,1974,1974-12-01,12,25.142,GNB,@,PHI,L 14-36,,,,,,,,,
39,1974,1974-12-08,13,25.149,GNB,@,SFO,L 6-7,,,,,,,,,
40,1974,1974-12-15,14,25.156,GNB,@,ATL,L 3-10,,,,,,,,,
41,1975,1975-09-21,1,26.071,GNB,,DET,L 16-30,1,2,50.0,,,,0,1,
42,1975,1975-09-29,2,26.079,GNB,@,DEN,L 13-23,1,2,50.0,,,,0,1,
43,1975,1975-10-05,3,26.085,GNB,,MIA,L 7-31,,,,,,,,,
44,1975,1975-10-12,4,26.092,GNB,@,NOR,L 19-20,,,,,,,,,
45,1975,1975-10-19,5,26.099,GNB,@,DAL,W 19-17,,,,,,,,,
46,1975,1975-10-26,6,26.106,GNB,,PIT,L 13-16,,,,,,,,,
47,1975,1975-11-02,7,26.113,GNB,,MIN,L 17-28,,,,,,,,,
48,1975,1975-11-09,8,26.120,GNB,@,CHI,L 14-27,,,,,,,,,
49,1975,1975-11-16,9,26.127,GNB,@,DET,L 10-13,,,,,,,,,
50,1975,1975-11-23,10,26.134,GNB,,NYG,W 40-14,,,,,,,,,
51,1975,1975-11-30,11,26.141,GNB,,CHI,W 28-7,,,,,,,,,
52,1975,1975-12-07,12,26.148,GNB,@,MIN,L 3-24,,,,,,,,,
53,1975,1975-12-14,13,26.155,GNB,@,RAM,L 5-22,,,,,,,,,
54,1975,1975-12-21,14,26.162,GNB,,ATL,W 22-13,,,,,,,,,
55,1976,1976-09-12,1,27.062,GNB,,SFO,L 14-26,,,,,,,,,
56,1976,1976-09-19,2,27.069,GNB,@,STL,L 0-29,,,,,,,,,
57,1976,1976-09-26,3,27.076,GNB,@,CIN,L 7-28,,,,,,,,,
58,1976,1976-10-17,6,27.097,GNB,,PHI,W 28-13,,,,,,,,,
59,1976,1976-10-24,7,27.104,GNB,@,OAK,L 14-18,,,,,,,,,
60,1976,1976-10-31,8,27.111,GNB,@,DET,L 6-27,,,,,,,,,
61,1976,1976-11-07,9,27.118,GNB,,NOR,W 32-27,,,,,,,,,
62,1976,1976-11-14,10,27.125,GNB,@,CHI,L 13-24,,,,,,,,,
63,1976,1976-11-21,11,27.132,GNB,,MIN,L 10-17,,,,,,,,,
64,1976,1976-11-28,12,27.139,GNB,,CHI,L 10-16,,,,,,,,,
65,1976,1976-12-05,13,27.146,GNB,@,MIN,L 9-20,,,,,,,,,
66,1976,1976-12-12,14,27.153,GNB,@,ATL,W 24-20,,,,,,,,,
67,1977,1977-09-18,1,28.068,GNB,@,NOR,W 24-20,,,,,,,,,
68,1977,1977-09-25,2,28.075,GNB,,HOU,L 10-16,,,,,,,,,
69,1977,1977-10-02,3,28.082,GNB,@,MIN,L 7-19,,,,,,,,,
70,1977,1977-10-09,4,28.089,GNB,,CIN,L 7-17,,,,,,,,,
71,1977,1977-10-16,5,28.096,GNB,@,DET,L 6-10,,,,,,,,,
72,1977,1977-10-23,6,28.103,GNB,@,TAM,W 13-0,,,,,,,,,
73,1977,1977-10-30,7,28.110,GNB,,CHI,L 0-26,,,,,,,,,
74,1977,1977-11-06,8,28.117,GNB,@,KAN,L 10-20,,,,,,,,,
75,1977,1977-11-13,9,28.124,GNB,,RAM,L 6-24,,,,,,,,,
76,1977,1977-11-21,10,28.132,GNB,@,WAS,L 9-10,,,,,,,,,
77,1977,1977-11-27,11,28.138,GNB,,MIN,L 6-13,,,,,,,,,
78,1977,1977-12-11,13,28.152,GNB,@,CHI,L 10-21,,,,,,,,,
79,1978,1978-09-03,1,29.053,CIN,,KAN,L 23-24,,,,,,,,,
80,1978,1978-09-10,2,29.060,CIN,@,CLE,L 10-13,,,,,,,,,
81,1978,1978-09-17,3,29.067,CIN,,PIT,L 3-28,,,,,,,,,
82,1978,1978-09-24,4,29.074,CIN,,NOR,L 18-20,,,,,,,,,
83,1978,1978-10-01,5,29.081,CIN,@,SFO,L 12-28,,,,,,,,,
84,1978,1978-10-09,6,29.089,CIN,@,MIA,L 0-21,,,,,,,,,
