ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2003,2003-09-07,1,22.314,ARI,@,DET,L 24-42,*,,,,,,,,
2,2003,2003-09-14,2,22.321,ARI,,SEA,L 0-38,*,,,,,,,,
3,2003,2003-09-21,3,22.328,ARI,,GNB,W 20-13,*,,,,,,,,
4,2003,2003-09-28,4,22.335,ARI,@,STL,L 13-37,*,,,,,,,,
5,2003,2003-10-05,5,22.342,ARI,@,DAL,L 7-24,*,,,,,,,,
6,2003,2003-10-12,6,22.349,ARI,,BAL,L 18-26,*,,,,,,,,
7,2003,2003-10-26,7,22.363,ARI,,SFO,W 16-13,*,0,0,1.0,,,0,0,0
8,2003,2003-11-02,8,23.005,ARI,,CIN,W 17-14,*,,,,,,,,
9,2003,2003-11-09,9,23.012,ARI,@,PIT,L 15-28,*,,,,,,,,
10,2003,2003-11-16,10,23.019,ARI,@,CLE,L 6-44,*,,,,,,,,
11,2003,2003-11-23,11,23.026,ARI,,STL,L 27-30,*,,,,,,,,
12,2003,2003-11-30,12,23.033,ARI,@,CHI,L 3-28,*,,,,,,,,
13,2003,2003-12-07,13,23.040,ARI,@,SFO,L 14-50,*,,,,,,,,
14,2003,2003-12-14,14,23.047,ARI,,CAR,L 17-20,*,,,,,,,,
15,2003,2003-12-21,15,23.054,ARI,@,SEA,L 10-28,*,,,,,,,,
16,2003,2003-12-28,16,23.061,ARI,,MIN,W 18-17,*,,,,,,,,
17,2004,2004-09-12,1,23.320,ARI,@,STL,L 10-17,,,,,,,,,
18,2004,2004-09-19,2,23.327,ARI,,NWE,L 12-23,,,,,,,,,
19,2004,2004-09-26,3,23.334,ARI,@,ATL,L 3-6,,0,0,1.0,,,0,0,0
20,2004,2004-10-03,4,23.341,ARI,,NOR,W 34-10,,0,0,1.0,,,0,0,0
21,2004,2004-10-10,5,23.348,ARI,@,SFO,L 28-31,,0,0,2.0,,,0,0,0
22,2004,2004-10-24,6,23.362,ARI,,SEA,W 25-17,,,,,,,,,
23,2004,2004-10-31,7,24.003,ARI,@,BUF,L 14-38,,,,,,,,,
24,2004,2004-11-07,8,24.010,ARI,@,MIA,W 24-23,,,,,,,,,
25,2004,2004-11-14,9,24.017,ARI,,NYG,W 17-14,,,,,,,,,
26,2004,2004-11-21,10,24.024,ARI,@,CAR,L 10-35,,,,,,,,,
27,2004,2004-11-28,11,24.031,ARI,,NYJ,L 3-13,,0,0,0.5,,,0,0,0
28,2004,2004-12-05,12,24.038,ARI,@,DET,L 12-26,,,,,,,,,
29,2004,2004-12-12,13,24.045,ARI,,SFO,L 28-31,,,,,,,,,
30,2004,2005-01-02,16,24.066,ARI,,TAM,W 12-7,,,,,,,,,
31,2005,2005-09-11,1,24.318,ARI,@,NYG,L 19-42,,,,,,,,,
32,2005,2005-09-18,2,24.325,ARI,,STL,L 12-17,,,,,,,,,
33,2005,2005-09-25,3,24.332,ARI,@,SEA,L 12-37,,,,,,,,,
34,2005,2005-10-02,4,24.339,ARI,,SFO,W 31-14,,0,0,1.0,,,0,0,0
35,2005,2005-10-09,5,24.346,ARI,,CAR,L 20-24,*,,,,,,,,
