ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1968,1968-09-06,1,22.004,SDG,,CIN,W 29-13,0,0,,0,2,4,50.0,1,3,33.3,0,5,2,117,58.50,0
2,1968,1968-09-21,2,22.019,SDG,,HOU,W 30-14,0,0,,0,3,3,100.0,3,3,100.0,0,12,2,107,53.50,0
3,1968,1968-09-29,3,22.027,SDG,@,CIN,W 31-10,0,0,,0,4,4,100.0,1,3,33.3,0,7,3,153,51.00,0
4,1968,1968-10-05,4,22.033,SDG,@,NYJ,L 20-23,0,0,,0,2,3,66.7,,1,0.0,0,2,6,225,37.50,0
5,1968,1968-10-13,5,22.041,SDG,@,OAK,W 23-14,0,0,,0,2,2,100.0,3,5,60.0,0,11,6,233,38.83,0
6,1968,1968-10-20,6,22.048,SDG,,DEN,W 55-24,0,0,,0,7,7,100.0,2,3,66.7,0,13,3,149,49.67,0
7,1968,1968-10-27,7,22.055,SDG,@,KAN,L 20-27,0,0,,0,2,2,100.0,2,2,100.0,0,8,2,72,36.00,0
8,1968,1968-11-03,8,22.062,SDG,,MIA,W 34-28,0,0,,0,4,4,100.0,2,3,66.7,0,10,1,40,40.00,0
9,1968,1968-11-10,9,22.069,SDG,@,BOS,W 27-17,0,0,,0,3,3,100.0,2,2,100.0,0,9,7,217,31.00,0
10,1968,1968-11-17,10,22.076,SDG,@,BUF,W 21-6,0,0,,0,3,3,100.0,,,,0,3,5,178,35.60,0
11,1968,1968-11-24,11,22.083,SDG,,NYJ,L 15-37,0,0,,0,1,1,100.0,,,,0,1,8,347,43.38,0
12,1968,1968-12-01,12,22.090,SDG,@,DEN,W 47-23,0,0,,0,6,6,100.0,1,1,100.0,0,9,3,101,33.67,0
13,1968,1968-12-08,13,22.097,SDG,,KAN,L 3-40,0,0,,0,,,,1,1,100.0,0,3,3,128,42.67,0
14,1968,1968-12-15,14,22.104,SDG,,OAK,L 27-34,0,0,,0,1,1,100.0,4,5,80.0,0,13,5,214,42.80,0
15,1969,1969-09-14,1,23.012,SDG,,KAN,L 9-27,0,0,,0,,,,1,1,100.0,0,3,7,333,47.57,0
16,1969,1969-09-21,2,23.019,SDG,@,CIN,L 20-34,0,0,,0,2,2,100.0,2,4,50.0,0,8,5,235,47.00,0
17,1969,1969-09-28,3,23.026,SDG,,NYJ,W 34-27,0,0,,0,4,4,100.0,2,3,66.7,0,10,5,225,45.00,0
