ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
35,1986,1986-09-28,4,24.163,CHI,@,CIN,W 44-7,0,0,,0,0,0,,0,0,0,0.0,1,5,0
36,1986,1986-10-05,5,24.170,CHI,,MIN,W 23-0,,,,,,,,,,,,,,
37,1986,1986-10-12,6,24.177,CHI,@,HOU,W 20-7,0,0,,0,0,0,,0,0,0,0.0,1,4,0
38,1986,1986-10-19,7,24.184,CHI,@,MIN,L 7-23,,,,,,,,,,,,,,
39,1986,1986-10-26,8,24.191,CHI,,DET,W 13-7,0,0,,0,0,0,,0,0,0,1.0,0,0,0
40,1986,1986-11-03,9,24.199,CHI,,RAM,L 17-20,,,,,,,,,,,,,,
41,1986,1986-11-09,10,24.205,CHI,@,TAM,W 23-3,,,,,,,,,,,,,,
42,1986,1986-11-16,11,24.212,CHI,@,ATL,W 13-10,0,0,,0,0,0,,0,0,0,0.5,0,0,0
43,1986,1986-11-23,12,24.219,CHI,,GNB,W 12-10,0,0,,0,0,0,,0,0,0,0.0,1,0,0
44,1986,1986-11-30,13,24.226,CHI,,PIT,W 13-10,0,0,,0,0,0,,0,0,0,1.0,0,0,0
45,1986,1986-12-07,14,24.233,CHI,,TAM,W 48-14,,,,,,,,,,,,,,
46,1986,1986-12-15,15,24.241,CHI,@,DET,W 16-13,0,0,,0,0,0,,0,0,0,2.0,0,0,0
47,1986,1986-12-21,16,24.247,CHI,@,DAL,W 24-10,0,0,,0,0,0,,0,0,0,1.0,1,1,0
48,1987,1987-09-14,1,25.149,CHI,,NYG,W 34-19,0,0,,0,0,0,,0,0,0,3.0,0,0,0
49,1987,1987-09-20,2,25.155,CHI,,TAM,W 20-3,0,0,,0,,,,,,,,,,
50,1987,1987-10-25,6,25.190,CHI,@,TAM,W 27-26,0,0,,0,0,0,,0,0,0,1.0,0,0,0
51,1987,1987-11-01,7,25.197,CHI,,KAN,W 31-28,0,0,,0,0,0,,0,0,0,1.0,0,0,0
52,1987,1987-11-08,8,25.204,CHI,@,GNB,W 26-24,0,0,,0,,,,,,,,,,
53,1987,1987-11-16,9,25.212,CHI,@,DEN,L 29-31,0,0,,0,,,,,,,,,,
54,1987,1987-11-22,10,25.218,CHI,,DET,W 30-10,1,1,1.00,0,0,0,,0,0,0,0.0,0,0,0
55,1987,1987-11-29,11,25.225,CHI,,GNB,W 23-10,0,0,,0,,,,,,,,,,
56,1987,1987-12-06,12,25.232,CHI,@,MIN,W 30-24,0,0,,0,,,,,,,,,,
57,1987,1987-12-14,13,25.240,CHI,@,SFO,L 0-41,0,0,,0,,,,,,,,,,
58,1987,1987-12-20,14,25.246,CHI,,SEA,L 21-34,0,0,,0,,,,,,,,,,
59,1987,1987-12-27,15,25.253,CHI,@,RAI,W 6-3,0,0,,0,,,,,,,,,,
60,1988,1988-09-05,1,26.140,WAS,@,NYG,L 20-27,,,,,,,,,,,,,,
61,1988,1988-09-11,2,26.146,WAS,,PIT,W 30-29,,,,,,,,,,,,,,
62,1988,1988-09-18,3,26.153,WAS,,PHI,W 17-10,,,,,,,,,,,,,,
63,1988,1988-09-25,4,26.160,WAS,@,PHO,L 21-30,0,0,,0,0,0,,0,0,0,1.0,1,12,0
64,1988,1988-10-02,5,26.167,WAS,,NYG,L 23-24,0,0,,0,0,0,,0,0,0,1.0,1,6,0
65,1988,1988-10-09,6,26.174,WAS,@,DAL,W 35-17,0,0,,0,0,0,,0,0,0,0.0,1,43,0
66,1988,1988-10-16,7,26.181,WAS,,PHO,W 33-17,0,0,,0,0,0,,0,0,0,1.0,0,0,0
67,1988,1988-10-23,8,26.188,WAS,@,GNB,W 20-17,,,,,,,,,,,,,,
68,1988,1988-10-30,9,26.195,WAS,@,HOU,L 17-41,,,,,,,,,,,,,,
69,1988,1988-11-06,10,26.202,WAS,,NOR,W 27-24,,,,,,,,,,,,,,
70,1988,1988-11-13,11,26.209,WAS,,CHI,L 14-34,,,,,,,,,,,,,,
71,1988,1988-11-21,12,26.217,WAS,@,SFO,L 21-37,,,,,,,,,,,,,,
72,1988,1988-11-27,13,26.223,WAS,,CLE,L 13-17,0,0,,0,0,0,,0,0,0,1.0,0,0,0
73,1988,1988-12-04,14,26.230,WAS,@,PHI,W 20-19,,,,,,,,,,,,,,
74,1988,1988-12-11,15,26.237,WAS,,DAL,L 17-24,,,,,,,,,,,,,,
75,1988,1988-12-17,16,26.243,WAS,@,CIN,L 17-20,,,,,,,,,,,,,,
76,1989,1989-09-11,1,27.146,WAS,,NYG,L 24-27,,,,,,,,,,,,,,
77,1989,1989-09-17,2,27.152,WAS,,PHI,L 37-42,,,,,,,,,,,,,,
78,1989,1989-09-24,3,27.159,WAS,@,DAL,W 30-7,0,0,,0,0,0,,0,0,0,1.0,1,18,0
79,1989,1989-10-01,4,27.166,WAS,@,NOR,W 16-14,,,,,,,,,,,,,,
80,1989,1989-10-08,5,27.173,WAS,,PHO,W 30-28,,,,,,,,,,,,,,
81,1989,1989-10-15,6,27.180,WAS,@,NYG,L 17-20,,,,,,,,,,,,,,
82,1989,1989-10-22,7,27.187,WAS,,TAM,W 32-28,,,,,,,,,,,,,,
83,1989,1989-10-29,8,27.194,WAS,@,RAI,L 24-37,,,,,,,,,,,,,,
84,1989,1989-11-05,9,27.201,WAS,,DAL,L 3-13,,,,,,,,,,,,,,
85,1989,1989-11-12,10,27.208,WAS,@,PHI,W 10-3,0,0,,0,0,0,,0,0,0,1.0,0,0,0
86,1989,1989-11-20,11,27.216,WAS,,DEN,L 10-14,,,,,,,,,,,,,,
87,1989,1989-11-26,12,27.222,WAS,,CHI,W 38-14,,,,,,,,,,,,,,
88,1989,1989-12-03,13,27.229,WAS,@,PHO,W 29-10,0,0,,0,0,0,,0,0,0,1.0,0,0,0
89,1989,1989-12-10,14,27.236,WAS,,SDG,W 26-21,,,,,,,,,,,,,,
90,1989,1989-12-17,15,27.243,WAS,@,ATL,W 31-30,0,0,,0,0,0,,0,0,0,1.0,0,0,0
91,1989,1989-12-23,16,27.249,WAS,@,SEA,W 29-0,,,,,,,,,,,,,,
92,1990,1990-09-09,1,28.144,WAS,,PHO,W 31-0,0,0,,0,0,0,,0,0,0,1.0,0,0,0
93,1990,1990-09-16,2,28.151,WAS,@,SFO,L 13-26,,,,,,,,,,,,,,
94,1990,1990-09-23,3,28.158,WAS,,DAL,W 19-15,0,0,,0,0,0,,0,0,0,1.0,0,0,0
95,1990,1990-09-30,4,28.165,WAS,@,PHO,W 38-10,0,0,,0,0,0,,0,0,0,1.0,0,0,0
96,1990,1990-10-14,5,28.179,WAS,,NYG,L 20-24,,,,,,,,,,,,,,
97,1990,1990-10-21,6,28.186,WAS,,PHI,W 13-7,,,,,,,,,,,,,,
98,1990,1990-10-28,7,28.193,WAS,@,NYG,L 10-21,,,,,,,,,,,,,,
99,1990,1990-11-04,8,28.200,WAS,@,DET,W 41-38,,,,,,,,,,,,,,
100,1990,1990-11-12,9,28.208,WAS,@,PHI,L 14-28,0,0,,0,0,0,,0,0,0,1.0,0,0,0
101,1990,1990-11-18,10,28.214,WAS,,NOR,W 31-17,,,,,,,,,,,,,,
102,1990,1990-11-22,11,28.218,WAS,@,DAL,L 17-27,0,0,,0,0,0,,0,0,0,0.0,1,6,0
103,1990,1990-12-02,12,28.228,WAS,,MIA,W 42-20,,,,,,,,,,,,,,
104,1990,1990-12-09,13,28.235,WAS,,CHI,W 10-9,,,,,,,,,,,,,,
105,1990,1990-12-15,14,28.241,WAS,@,NWE,W 25-10,,,,,,,,,,,,,,
106,1990,1990-12-22,15,28.248,WAS,@,IND,L 28-35,,,,,,,,,,,,,,
107,1990,1990-12-30,16,28.256,WAS,,BUF,W 29-14,0,0,,0,0,0,,0,0,0,1.0,0,0,0
108,1991,1991-09-01,1,29.136,WAS,,DET,W 45-0,,,,,,,,,,,,,,
109,1991,1991-09-09,2,29.144,WAS,@,DAL,W 33-31,,,,,,,,,,,,,,
110,1991,1991-09-15,3,29.150,WAS,,PHO,W 34-0,0,0,,0,0,0,,0,1,6,0.0,2,61,1
111,1991,1991-09-22,4,29.157,WAS,@,CIN,W 34-27,,,,,,,,,,,,,,
112,1991,1991-09-30,5,29.165,WAS,,PHI,W 23-0,0,0,,0,0,0,,0,0,0,0.5,0,0,0
113,1991,1991-10-06,6,29.171,WAS,@,CHI,W 20-7,0,0,,0,0,0,,0,0,0,0.0,1,0,0
114,1991,1991-10-13,7,29.178,WAS,,CLE,W 42-17,0,0,,0,0,0,,0,0,0,1.0,1,16,0
115,1991,1991-10-27,8,29.192,WAS,@,NYG,W 17-13,0,0,,0,0,0,,0,0,0,0.0,1,-2,0
116,1991,1991-11-03,9,29.199,WAS,,HOU,W 16-13,,,,,,,,,,,,,,
117,1991,1991-11-10,10,29.206,WAS,,ATL,W 56-17,0,0,,0,0,0,,0,0,0,1.0,0,0,0
118,1991,1991-11-17,11,29.213,WAS,@,PIT,W 41-14,,,,,,,,,,,,,,
119,1991,1991-11-24,12,29.220,WAS,,DAL,L 21-24,0,0,,0,0,0,,0,0,0,2.0,0,0,0
120,1991,1991-12-01,13,29.227,WAS,@,RAM,W 27-6,,,,,,,,,,,,,,
121,1991,1991-12-08,14,29.234,WAS,@,PHO,W 20-14,,,,,,,,,,,,,,
122,1991,1991-12-15,15,29.241,WAS,,NYG,W 34-17,,,,,,,,,,,,,,
123,1991,1991-12-22,16,29.248,WAS,@,PHI,L 22-24,0,0,,0,0,0,,0,0,0,1.0,0,0,0
124,1992,1992-09-07,1,30.142,WAS,@,DAL,L 10-23,,,,,,,,,,,,,,
125,1992,1992-09-13,2,30.148,WAS,,ATL,W 24-17,,,,,,,,,,,,,,
126,1992,1992-09-20,3,30.155,WAS,,DET,W 13-10,,,,,,,,,,,,,,
127,1992,1992-10-04,4,30.169,WAS,@,PHO,L 24-27,0,0,,0,0,0,,0,0,0,1.0,0,0,0
128,1992,1992-10-12,5,30.177,WAS,,DEN,W 34-3,0,0,,0,0,0,,0,1,6,1.0,1,20,1
129,1992,1992-10-18,6,30.183,WAS,,PHI,W 16-12,0,0,,0,0,0,,0,0,0,1.0,0,0,0
130,1992,1992-10-25,7,30.190,WAS,@,MIN,W 15-13,0,0,,0,0,0,,0,0,0,1.0,0,0,0
131,1992,1992-11-01,8,30.197,WAS,,NYG,L 7-24,,,,,,,,,,,,,,
132,1992,1992-11-08,9,30.204,WAS,@,SEA,W 16-3,0,0,,0,0,0,,0,0,0,1.0,1,0,0
133,1992,1992-11-15,10,30.211,WAS,@,KAN,L 16-35,,,,,,,,,,,,,,
134,1992,1992-11-23,11,30.219,WAS,@,NOR,L 3-20,,,,,,,,,,,,,,
135,1992,1992-11-29,12,30.225,WAS,,PHO,W 41-3,,,,,,,,,,,,,,
136,1992,1992-12-06,13,30.232,WAS,@,NYG,W 28-10,,,,,,,,,,,,,,
137,1992,1992-12-13,14,30.239,WAS,,DAL,W 20-17,,,,,,,,,,,,,,
138,1992,1992-12-20,15,30.246,WAS,@,PHI,L 13-17,,,,,,,,,,,,,,
139,1992,1992-12-26,16,30.252,WAS,,RAI,L 20-21,0,0,,0,0,0,,0,0,0,1.0,0,0,0
140,1993,1993-09-19,3,31.154,HOU,@,SDG,L 17-18,,,,,,,,,,,,,,
141,1993,1993-09-26,4,31.161,HOU,,RAM,L 13-28,,,,,,,,,,,,,,
142,1993,1993-10-11,5,31.176,HOU,@,BUF,L 7-35,,,,,,,,,,,,,,
143,1993,1993-11-21,10,31.217,HOU,@,CLE,W 27-20,,,,,,,,,,,,,,
144,1993,1993-11-28,11,31.224,HOU,,PIT,W 23-3,,,,,,,,,,,,,,
145,1993,1993-12-05,12,31.231,HOU,,ATL,W 33-17,,,,,,,,,,,,,,
146,1993,1993-12-12,13,31.238,HOU,,CLE,W 19-17,0,0,,0,0,0,,0,0,0,1.0,0,0,0
147,1993,1993-12-19,14,31.245,HOU,@,PIT,W 26-17,0,0,,0,0,0,,0,0,0,1.0,0,0,0
148,1993,1993-12-25,15,31.251,HOU,@,SFO,W 10-7,,,,,,,,,,,,,,
149,1993,1994-01-02,16,31.259,HOU,,NYJ,W 24-0,,,,,,,,,,,,,,
150,1994,1994-09-04,1,32.139,ARI,@,RAM,L 12-14,,,,,,,,,,,,,,
151,1994,1994-09-11,2,32.146,ARI,,NYG,L 17-20,,,,,,,,,,,,,,
152,1994,1994-09-18,3,32.153,ARI,@,CLE,L 0-32,,,,,,,,,,,,,,
153,1994,1994-10-02,4,32.167,ARI,,MIN,W 17-7,,,,,,,,,,,,0,13,0
154,1994,1994-10-09,5,32.174,ARI,@,DAL,L 3-38,,,,,,,,,,,,,,
155,1994,1994-10-16,6,32.181,ARI,@,WAS,W 19-16,,,,,,,,,,,,,,
156,1994,1994-10-23,7,32.188,ARI,,DAL,L 21-28,,,,,,,,,,,,,,
157,1994,1994-10-30,8,32.195,ARI,,PIT,W 20-17,,,,,,,,,,,,,,
158,1994,1994-11-06,9,32.202,ARI,@,PHI,L 7-17,,,,,,,,,,,,,,
159,1994,1994-11-13,10,32.209,ARI,@,NYG,W 10-9,,,,,,,,,,,,,,
160,1994,1994-11-20,11,32.216,ARI,,PHI,W 12-6,,,,,,,,,,,,,,
161,1994,1994-11-27,12,32.223,ARI,,CHI,L 16-19,,,,,,,,,,,,,,
162,1994,1994-12-04,13,32.230,ARI,@,HOU,W 30-12,0,0,,0,0,0,,0,0,0,1.0,0,0,0
163,1994,1994-12-11,14,32.237,ARI,,WAS,W 17-15,,,,,,,,,,,,,,
164,1994,1994-12-18,15,32.244,ARI,,CIN,W 28-7,,,,,,,,,,,,,,
165,1995,1995-09-03,1,33.138,NYJ,@,MIA,L 14-52,0,0,,0,0,0,,0,0,0,0.0,1,0,0
166,1995,1995-09-10,2,33.145,NYJ,,IND,L 24-27,,,,,,,,,,,,,,
167,1995,1995-09-17,3,33.152,NYJ,,JAX,W 27-10,,,,,,,,,,,,,,
168,1995,1995-09-24,4,33.159,NYJ,@,ATL,L 3-13,,,,,,,,,,,,,,
169,1995,1995-10-01,5,33.166,NYJ,,OAK,L 10-47,0,0,,0,0,0,,0,0,0,1.0,0,0,0
170,1995,1995-10-08,6,33.173,NYJ,@,BUF,L 10-29,0,0,,0,0,0,,0,0,0,0.0,1,20,0
171,1995,1995-10-15,7,33.180,NYJ,@,CAR,L 15-26,,,,,,,,,,,,,,
172,1995,1995-10-22,8,33.187,NYJ,,MIA,W 17-16,,,,,,,,,,,,,,
173,1995,1995-10-29,9,33.194,NYJ,@,IND,L 10-17,,,,,,,,,,,,,,
174,1995,1995-11-05,10,33.201,NYJ,,NWE,L 7-20,,,,,,,,,,,,,,
175,1995,1995-11-19,11,33.215,NYJ,,BUF,L 26-28,,,,,,,,,,,,,,
176,1995,1995-12-03,13,33.229,NYJ,,STL,L 20-23,,,,,,,,,,,,,,
177,1995,1995-12-10,14,33.236,NYJ,@,NWE,L 28-31,,,,,,,,,,,,,,
178,1995,1995-12-17,15,33.243,NYJ,@,HOU,L 6-23,,,,,,,,,,,,,,
179,1995,1995-12-24,16,33.250,NYJ,,NOR,L 0-12,,,,,,,,,,,,,,
