ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1984,1984-09-02,1,22.137,CHI,,TAM,W 34-14,,,,,,,,,,,,,,
2,1984,1984-09-09,2,22.144,CHI,,DEN,W 27-0,,,,,,,,,,,,,,
3,1984,1984-09-16,3,22.151,CHI,@,GNB,W 9-7,,,,,,,,,,,,,,
4,1984,1984-09-23,4,22.158,CHI,@,SEA,L 9-38,,,,,,,,,,,,,,
5,1984,1984-09-30,5,22.165,CHI,,DAL,L 14-23,,,,,,,,,,,,,,
6,1984,1984-10-07,6,22.172,CHI,,NOR,W 20-7,,,,,,,,,,,,,,
7,1984,1984-10-21,8,22.186,CHI,@,TAM,W 44-9,,,,,,,,,,,,,,
8,1984,1984-10-28,9,22.193,CHI,,MIN,W 16-7,,,,,,,,,,,,,,
9,1984,1984-11-04,10,22.200,CHI,,RAI,W 17-6,,,,,,,,,,,,,,
10,1984,1984-11-11,11,22.207,CHI,@,RAM,L 13-29,,,,,,,,,,,,,,
11,1984,1984-11-18,12,22.214,CHI,,DET,W 16-14,,,,,,,,,,,,,,
12,1984,1984-11-25,13,22.221,CHI,@,MIN,W 34-3,,,,,,,,,,,,,,
13,1984,1984-12-03,14,22.229,CHI,@,SDG,L 7-20,,,,,,,,,,,,,,
14,1984,1984-12-09,15,22.235,CHI,,GNB,L 14-20,,,,,,,,,,,,,,
15,1984,1984-12-16,16,22.242,CHI,@,DET,W 30-13,,,,,,,,,,,,,,
16,1985,1985-09-08,1,23.143,CHI,,TAM,W 38-28,,,,,0,0,,0,,,,,,
17,1985,1985-09-15,2,23.150,CHI,,NWE,W 20-7,0,0,,0,0,0,,0,0,0,1.0,0,0,0
18,1985,1985-09-19,3,23.154,CHI,@,MIN,W 33-24,0,0,,0,0,0,,0,0,0,0.0,1,14,0
19,1985,1985-09-29,4,23.164,CHI,,WAS,W 45-10,0,0,,0,0,2,,0,0,0,1.0,0,0,0
20,1985,1985-10-06,5,23.171,CHI,@,TAM,W 27-19,,,,,0,0,,0,,,,,,
21,1985,1985-10-13,6,23.178,CHI,@,SFO,W 26-10,0,0,,0,0,0,,0,0,0,2.0,0,0,0
22,1985,1985-10-21,7,23.186,CHI,,GNB,W 23-7,0,0,,0,0,0,,0,0,0,0.0,1,2,0
23,1985,1985-10-27,8,23.192,CHI,,MIN,W 27-9,0,0,,0,0,0,,0,0,0,0.0,2,7,0
24,1985,1985-11-03,9,23.199,CHI,@,GNB,W 16-10,,,,,0,0,,0,,,,,,
25,1985,1985-11-10,10,23.206,CHI,,DET,W 24-3,0,0,,0,0,0,,0,0,0,1.0,0,0,0
26,1985,1985-11-17,11,23.213,CHI,@,DAL,W 44-0,,,,,0,0,,0,,,,,,
27,1985,1985-11-24,12,23.220,CHI,,ATL,W 36-0,,,,,0,0,,0,,,,,,
28,1985,1985-12-02,13,23.228,CHI,@,MIA,L 24-38,,,,,0,0,,0,,,,,,
29,1985,1985-12-08,14,23.234,CHI,,IND,W 17-10,,,,,0,0,,0,,,,,,
30,1985,1985-12-14,15,23.240,CHI,@,NYJ,W 19-6,,,,,0,0,,0,,,,,,
31,1985,1985-12-22,16,23.248,CHI,@,DET,W 37-17,0,0,,0,0,0,,0,0,0,1.0,0,0,0
32,1986,1986-09-07,1,24.142,CHI,,CLE,W 41-31,0,0,,0,0,0,,0,1,6,0.0,1,58,1
33,1986,1986-09-14,2,24.149,CHI,,PHI,W 13-10,,,,,,,,,,,,,,
34,1986,1986-09-22,3,24.157,CHI,@,GNB,W 25-12,,,,,,,,,,,,,,
