ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1979,1979-09-02,1,22.351,CLE,@,NYJ,W 25-22,,,,,,,,,,,,
2,1979,1979-09-09,2,22.358,CLE,@,KAN,W 27-24,,,,,,,,,,,,
3,1979,1979-09-16,3,23.000,CLE,,BAL,W 13-10,,,,,,,,,,,,
4,1979,1979-09-24,4,23.008,CLE,,DAL,W 26-7,,,,,,,,,,,,
5,1979,1979-09-30,5,23.014,CLE,@,HOU,L 10-31,1,14,14.00,0,0,0,,0,0.0,0,0,0
6,1979,1979-10-07,6,23.021,CLE,,PIT,L 35-51,,,,,,,,,,,,
7,1979,1979-10-14,7,23.028,CLE,,WAS,L 9-13,,,,,,,,,,,,
8,1979,1979-10-21,8,23.035,CLE,,CIN,W 28-27,,,,,,,,,,,,
9,1979,1979-10-28,9,23.042,CLE,@,STL,W 38-20,,,,,,,,,,,,
10,1979,1979-11-04,10,23.049,CLE,@,PHI,W 24-19,,,,,,,,,,,,
11,1979,1979-11-11,11,23.056,CLE,,SEA,L 24-29,0,0,,0,1,0,0.00,0,0.0,0,0,0
12,1979,1979-11-18,12,23.063,CLE,,MIA,W 30-24,,,,,,,,,,,,
13,1979,1979-11-25,13,23.070,CLE,@,PIT,L 30-33,,,,,,,,,,,,
14,1979,1979-12-02,14,23.077,CLE,,HOU,W 14-7,,,,,,,,,,,,
15,1979,1979-12-09,15,23.084,CLE,@,OAK,L 14-19,,,,,,,,,,,,
16,1979,1979-12-16,16,23.091,CLE,@,CIN,L 12-16,,,,,,,,,,,,
17,1980,1980-09-07,1,23.357,CLE,@,NWE,L 17-34,,,,,,,,,,,,
18,1980,1980-09-15,2,23.365,CLE,,HOU,L 7-16,,,,,,,,,,,,
19,1980,1980-11-03,9,24.048,CLE,,CHI,W 27-21,,,,,,,,,,,,
20,1980,1980-11-09,10,24.054,CLE,@,BAL,W 28-27,,,,,,,,,,,,
21,1980,1980-11-16,11,24.061,CLE,@,PIT,L 13-16,,,,,,,,,,,,
22,1980,1980-11-23,12,24.068,CLE,,CIN,W 31-7,,,,,,,,,,,,
23,1980,1980-11-30,13,24.075,CLE,@,HOU,W 17-14,,,,,,,,,,,,
24,1980,1980-12-07,14,24.082,CLE,,NYJ,W 17-14,,,,,,,,,,,,
25,1980,1980-12-14,15,24.089,CLE,@,MIN,L 23-28,,,,,,,,,,,,
26,1980,1980-12-21,16,24.096,CLE,@,CIN,W 27-24,,,,,,,,,,,,
27,1981,1981-09-07,1,24.356,CLE,,SDG,L 14-44,,,,,,,,,,,,
28,1981,1981-09-13,2,24.362,CLE,,HOU,L 3-9,,,,,,,,,,,,
29,1981,1981-09-20,3,25.004,CLE,@,CIN,W 20-17,,,,,,,,,,,,
30,1981,1981-09-27,4,25.011,CLE,,ATL,W 28-17,,,,,,,,,,,,
31,1981,1981-10-04,5,25.018,CLE,@,RAM,L 16-27,,,,,,,,,,,,
32,1981,1981-10-11,6,25.025,CLE,@,PIT,L 7-13,,,,,,,,,,,,
33,1981,1981-10-18,7,25.032,CLE,,NOR,W 20-17,,,,,,,,,,,,
34,1981,1981-10-25,8,25.039,CLE,,BAL,W 42-28,,,,,,,,,,,,
35,1981,1981-11-01,9,25.046,CLE,@,BUF,L 13-22,,,,,,,,,,,,
36,1981,1981-11-08,10,25.053,CLE,@,DEN,L 20-23,,,,,,,,,,,,
37,1981,1981-11-15,11,25.060,CLE,@,SFO,W 15-12,,,,,,,,,,,,
38,1981,1981-11-22,12,25.067,CLE,,PIT,L 10-32,,,,,,,,,,,,
39,1981,1981-11-29,13,25.074,CLE,,CIN,L 21-41,,,,,,,,,,,,
40,1982,1982-11-21,3,26.066,CLE,,NWE,W 10-7,,,,,,,,,,,,
41,1982,1982-11-25,4,26.070,CLE,@,DAL,L 14-31,,,,,,,,,,,,
42,1982,1982-12-05,5,26.080,CLE,,SDG,L 13-30,,,,,,,,,,,,
43,1982,1982-12-12,6,26.087,CLE,@,CIN,L 10-23,,,,,,,,,,,,
44,1982,1982-12-19,7,26.094,CLE,,PIT,W 10-9,,,,,,,,,,,,
45,1982,1982-12-26,8,26.101,CLE,@,HOU,W 20-14,,,,,,,,,,,,
46,1982,1983-01-02,9,26.108,CLE,@,PIT,L 21-37,0,0,,0,0,0,,0,1.0,0,0,0
47,1983,1983-09-04,1,26.353,CLE,,MIN,L 21-27,,,,,,,,,,,,
48,1983,1983-09-11,2,26.360,CLE,@,DET,W 31-26,,,,,,,,,,,,
49,1983,1983-09-15,3,26.364,CLE,,CIN,W 17-7,,,,,,,,,,,,
50,1983,1983-09-25,4,27.009,CLE,@,SDG,W 30-24,,,,,,,,,,,,
51,1983,1983-10-02,5,27.016,CLE,,SEA,L 9-24,,,,,,,,,,,,
52,1983,1983-10-09,6,27.023,CLE,,NYJ,W 10-7,,,,,,,,,,,,
53,1983,1983-10-16,7,27.030,CLE,@,PIT,L 17-44,,,,,,,,,,,,
54,1983,1983-10-23,8,27.037,CLE,@,CIN,L 21-28,,,,,,,,,,,,
55,1983,1983-10-30,9,27.044,CLE,,HOU,W 25-19,,,,,,,,,,,,
56,1983,1983-11-06,10,27.051,CLE,@,GNB,L 21-35,,,,,,,,,,,,
57,1983,1983-11-13,11,27.058,CLE,,TAM,W 20-0,,,,,,,,,,,,
58,1983,1983-11-20,12,27.065,CLE,@,NWE,W 30-0,,,,,,,,,,,,
59,1983,1983-11-27,13,27.072,CLE,,BAL,W 41-23,,,,,,,,,,,,
60,1983,1983-12-04,14,27.079,CLE,@,DEN,L 6-27,,,,,,,,,,,,
61,1983,1983-12-11,15,27.086,CLE,@,HOU,L 27-34,,,,,,,,,,,,
62,1983,1983-12-18,16,27.093,CLE,,PIT,W 30-17,,,,,,,,,,,,
63,1984,1984-09-03,1,27.353,CLE,@,SEA,L 0-33,,,,,,,,,,,,
64,1984,1984-09-09,2,27.359,CLE,@,RAM,L 17-20,,,,,,,,,,,,
65,1984,1984-09-16,3,28.000,CLE,,DEN,L 14-24,,,,,,,,,,,,
