ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1984,1984-09-02,1,22.302,CHI,,TAM,W 34-14,0,0,,0,2,37,18.50,0
2,1984,1984-09-09,2,22.309,CHI,,DEN,W 27-0,0,0,,0,0,0,,0
3,1984,1984-09-16,3,22.316,CHI,@,GNB,W 9-7,0,0,,0,1,15,15.00,0
4,1984,1984-09-23,4,22.323,CHI,@,SEA,L 9-38,0,0,,0,4,63,15.75,0
5,1984,1984-09-30,5,22.330,CHI,,DAL,L 14-23,0,0,,0,1,40,40.00,0
6,1984,1984-10-07,6,22.337,CHI,,NOR,W 20-7,0,0,,0,0,0,,0
7,1984,1984-10-14,7,22.344,CHI,@,STL,L 21-38,0,0,,0,4,86,21.50,0
8,1984,1984-10-21,8,22.351,CHI,@,TAM,W 44-9,0,0,,0,1,22,22.00,0
9,1984,1984-10-28,9,22.358,CHI,,MIN,W 16-7,0,0,,0,1,20,20.00,0
10,1984,1984-11-04,10,22.365,CHI,,RAI,W 17-6,0,0,,0,0,0,,0
11,1984,1984-11-11,11,23.006,CHI,@,RAM,L 13-29,0,0,,0,2,36,18.00,0
12,1984,1984-11-18,12,23.013,CHI,,DET,W 16-14,0,0,,0,2,25,12.50,0
13,1984,1984-11-25,13,23.020,CHI,@,MIN,W 34-3,1,13,13.00,0,2,55,27.50,0
14,1984,1984-12-03,14,23.028,CHI,@,SDG,L 7-20,0,0,,0,1,17,17.00,0
15,1984,1984-12-09,15,23.034,CHI,,GNB,L 14-20,0,0,,0,3,29,9.67,0
16,1984,1984-12-16,16,23.041,CHI,@,DET,W 30-13,0,0,,0,2,40,20.00,0
