ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-09-12,1,21.340,DAL,@,MIN,L 17-35,,2,46,23.00,0,0,0,0.0,,,0,0,0
2,2004,2004-09-19,2,21.347,DAL,,CLE,W 19-12,,1,22,22.00,0,0,0,0.0,,,0,0,0
3,2004,2004-09-27,3,21.355,DAL,@,WAS,W 21-18,,2,41,20.50,0,0,0,0.0,,,0,0,0
4,2004,2004-10-10,4,22.002,DAL,,NYG,L 10-26,*,,,,,,,,,,,,
5,2004,2004-10-17,5,22.009,DAL,,PIT,L 20-24,,2,35,17.50,0,0,0,0.0,,,0,0,0
6,2004,2004-10-24,6,22.016,DAL,@,GNB,L 20-41,,2,11,5.50,0,0,0,0.0,,,0,0,0
7,2004,2004-11-07,8,22.030,DAL,@,CIN,L 3-26,,,,,,,,,,,,,
8,2004,2004-11-15,9,22.038,DAL,,PHI,L 21-49,,,,,,,,,,,,,
9,2004,2004-11-21,10,22.044,DAL,@,BAL,L 10-30,,,,,,,,,,,,,
10,2004,2004-11-25,11,22.048,DAL,,CHI,W 21-7,,,,,,,,,,,,,
11,2004,2004-12-06,12,22.059,DAL,@,SEA,W 43-39,,,,,,,,,,,,,
12,2004,2004-12-12,13,22.065,DAL,,NOR,L 13-27,,,,,,,,,,,,,
13,2004,2004-12-19,14,22.072,DAL,@,PHI,L 7-12,,,,,,,,,,,,,
14,2004,2004-12-26,15,22.079,DAL,,WAS,W 13-10,,1,19,19.00,0,0,0,0.0,,,0,0,0
15,2004,2005-01-02,16,22.086,DAL,@,NYG,L 24-28,,3,25,8.33,0,0,0,0.0,,,0,0,0
16,2005,2005-09-11,1,22.338,DAL,@,SDG,W 28-24,,,,,,,,,,,,,
17,2005,2005-09-19,2,22.346,DAL,,WAS,L 13-14,,,,,,,,,,,,,
18,2005,2005-09-25,3,22.352,DAL,@,SFO,W 34-31,,,,,,,,,,,,,
19,2005,2005-10-02,4,22.359,DAL,@,OAK,L 13-19,,,,,,,,,,,,,
20,2005,2005-10-09,5,23.001,DAL,,PHI,W 33-10,,,,,,,,,,,,,
21,2005,2005-10-16,6,23.008,DAL,,NYG,W 16-13,,,,,,,,,,,,,
22,2005,2005-10-23,7,23.015,DAL,@,SEA,L 10-13,,,,,,,,,,,,,
23,2005,2005-10-30,8,23.022,DAL,,ARI,W 34-13,,,,,,,,,,,,,
24,2005,2005-11-14,9,23.037,DAL,@,PHI,W 21-20,,,,,,,,,,,,,
25,2005,2005-11-20,10,23.043,DAL,,DET,W 20-7,,,,,,,,,,,,,
26,2005,2005-11-24,11,23.047,DAL,,DEN,L 21-24,,,,,,,,,,,,,
27,2005,2005-12-04,12,23.057,DAL,@,NYG,L 10-17,,,,,,,,,,,,,
28,2005,2005-12-11,13,23.064,DAL,,KAN,W 31-28,,,,,,,,,,,,,
29,2005,2005-12-18,14,23.071,DAL,@,WAS,L 7-35,,,,,,,,,,,,,
30,2005,2005-12-24,15,23.077,DAL,@,CAR,W 24-20,,,,,,,,,,,,,
31,2005,2006-01-01,16,23.085,DAL,,STL,L 10-20,,,,,,,,,,,,,
32,2006,2006-09-10,1,23.337,DAL,@,JAX,L 17-24,,,,,,,,,,,,,
33,2006,2006-09-17,2,23.344,DAL,,WAS,W 27-10,,,,,,,,,,,,,
34,2006,2006-10-01,3,23.358,DAL,@,TEN,W 45-14,,,,,,,,,,,,,
35,2006,2006-10-08,4,24.000,DAL,@,PHI,L 24-38,,,,,,,,,,,,,
36,2006,2006-10-15,5,24.007,DAL,,HOU,W 34-6,,,,,,,,,,,,,
