ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2016,2016-09-11,1,22.172,CLE,@,PHI,L 10-29,,0,0,0,,0,0.0%,,0,0,,0
2,2016,2016-09-18,2,22.179,CLE,,BAL,L 20-25,,0,0,0,,0,0.0%,,0,0,,0
3,2016,2016-09-25,3,22.186,CLE,@,MIA,L 24-30,*,4,3,40,13.33,0,75.0%,10.00,0,0,,0
4,2016,2016-10-02,4,22.193,CLE,@,WAS,L 20-31,*,5,3,28,9.33,0,60.0%,5.60,0,0,,0
5,2016,2016-10-09,5,22.200,CLE,,NWE,L 13-33,,5,2,13,6.50,0,40.0%,2.60,0,0,,0
6,2016,2016-10-16,6,22.207,CLE,@,TEN,L 26-28,,9,5,65,13.00,0,55.6%,7.22,0,0,,0
7,2016,2016-10-23,7,22.214,CLE,@,CIN,L 17-31,*,3,1,5,5.00,0,33.3%,1.67,0,0,,0
8,2016,2016-10-30,8,22.221,CLE,,NYJ,L 28-31,,7,2,32,16.00,0,28.6%,4.57,1,24,24.00,0
9,2016,2016-11-06,9,22.228,CLE,,DAL,L 10-35,,0,0,0,,0,0.0%,,2,34,17.00,0
10,2016,2016-11-10,10,22.232,CLE,@,BAL,L 7-28,,0,0,0,,0,0.0%,,0,0,,0
11,2016,2016-11-20,11,22.242,CLE,,PIT,L 9-24,,0,0,0,,0,0.0%,,0,0,,0
12,2016,2016-11-27,12,22.249,CLE,,NYG,L 13-27,,0,0,0,,0,0.0%,,2,45,22.50,0
13,2016,2016-12-11,13,22.263,CLE,,CIN,L 10-23,,0,0,0,,0,0.0%,,4,61,15.25,0
14,2016,2016-12-18,14,22.270,CLE,@,BUF,L 13-33,,0,0,0,,0,0.0%,,0,0,,0
15,2016,2016-12-24,15,22.276,CLE,,SDG,W 20-17,,0,0,0,,0,0.0%,,0,0,,0
16,2016,2017-01-01,16,22.284,CLE,@,PIT,L 24-27,,2,2,22,11.00,0,100.0%,11.00,0,0,,0
17,2017,2017-09-10,1,23.171,CLE,,PIT,L 18-21,,3,2,32,16.00,0,66.7%,10.67,0,0,,0
18,2017,2017-09-17,2,23.178,CLE,@,BAL,L 10-24,,2,2,27,13.50,0,100.0%,13.50,0,0,,0
19,2017,2017-09-24,3,23.185,CLE,@,IND,L 28-31,*,6,1,10,10.00,0,16.7%,1.67,0,0,,0
20,2017,2017-10-01,4,23.192,CLE,,CIN,L 7-31,*,9,5,64,12.80,0,55.6%,7.11,0,0,,0
21,2017,2017-10-08,5,23.199,CLE,,NYJ,L 14-17,*,8,5,71,14.20,0,62.5%,8.88,0,0,,0
22,2017,2017-10-15,6,23.206,CLE,@,HOU,L 17-33,*,7,3,25,8.33,0,42.9%,3.57,0,0,,0
23,2017,2017-10-22,7,23.213,CLE,,TEN,L 9-12,*,4,3,21,7.00,0,75.0%,5.25,0,0,,0
24,2017,2017-10-29,8,23.220,CLE,,MIN,L 16-33,*,6,2,42,21.00,0,33.3%,7.00,0,0,,0
25,2017,2017-11-12,9,23.234,CLE,@,DET,L 24-38,*,6,2,15,7.50,0,33.3%,2.50,0,0,,0
26,2017,2017-11-19,10,23.241,CLE,,JAX,L 7-19,*,4,1,15,15.00,0,25.0%,3.75,0,0,,0
27,2017,2017-11-26,11,23.248,CLE,@,CIN,L 16-30,*,2,0,0,,0,0.0%,0.00,0,0,,0
28,2017,2017-12-03,12,23.255,CLE,@,LAC,L 10-19,,0,0,0,,0,0.0%,,0,0,,0
29,2017,2017-12-10,13,23.262,CLE,,GNB,L 21-27,,0,0,0,,0,0.0%,,0,0,,0
30,2017,2017-12-17,14,23.269,CLE,,BAL,L 10-27,,1,0,0,,0,0.0%,0.00,0,0,,0
31,2017,2017-12-24,15,23.276,CLE,@,CHI,L 3-20,,1,1,35,35.00,0,100.0%,35.00,0,0,,0
32,2017,2017-12-31,16,23.283,CLE,@,PIT,L 24-28,,2,0,0,,0,0.0%,0.00,0,0,,0
