ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1995,1995-12-03,13,24.209,CAR,,IND,W 13-10,,,,,,,0.0%,,,,,,,,,
2,2000,2000-09-17,3,29.132,SDG,@,KAN,L 10-42,,,,,,,0.0%,,,,,,,,,
3,2000,2000-09-24,4,29.139,SDG,,SEA,L 12-20,,3,2,15,7.50,0,66.7%,5.00,0,0,,0,0,0,,0
4,2000,2000-10-01,5,29.146,SDG,@,STL,L 31-57,*,10,5,67,13.40,0,50.0%,6.70,0,0,,0,0,0,,0
5,2000,2000-10-08,6,29.153,SDG,,DEN,L 7-21,*,11,7,101,14.43,0,63.6%,9.18,0,0,,0,0,0,,0
6,2000,2000-10-15,7,29.160,SDG,@,BUF,L 24-27,,3,2,20,10.00,0,66.7%,6.67,0,0,,0,0,0,,0
7,2000,2000-10-29,8,29.174,SDG,,OAK,L 13-15,,4,4,35,8.75,0,100.0%,8.75,0,0,,0,2,18,9.00,0
8,2000,2000-11-05,9,29.181,SDG,@,SEA,L 15-17,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,1,0,0.00,0
9,2000,2000-11-12,10,29.188,SDG,,MIA,L 7-17,,4,1,4,4.00,0,25.0%,1.00,0,0,,0,1,8,8.00,0
10,2000,2000-12-10,14,29.216,SDG,@,BAL,L 3-24,,,,,,,0.0%,,,,,,,,,
11,2000,2000-12-17,15,29.223,SDG,@,CAR,L 22-30,,0,0,0,,0,0.0%,,1,11,11.00,0,1,3,3.00,0
12,2000,2000-12-24,16,29.230,SDG,,PIT,L 21-34,,1,0,0,,0,0.0%,0.00,0,0,,0,4,24,6.00,0
13,2001,2001-09-09,1,30.124,SDG,,WAS,W 30-3,,,,,,,0.0%,,,,,,,,,
14,2001,2001-09-23,2,30.138,SDG,@,DAL,W 32-21,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,0
15,2001,2001-09-30,3,30.145,SDG,,CIN,W 28-14,,,,,,,0.0%,,,,,,,,,
16,2001,2001-10-07,4,30.152,SDG,@,CLE,L 16-20,,,,,,,0.0%,,,,,,,,,
17,2001,2001-10-14,5,30.159,SDG,@,NWE,L 26-29,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,0
18,2001,2001-10-21,6,30.166,SDG,,DEN,W 27-10,,,,,,,0.0%,,,,,,,,,
19,2001,2001-10-28,7,30.173,SDG,,BUF,W 27-24,,,,,,,0.0%,,,,,,,,,
20,2001,2001-11-04,8,30.180,SDG,,KAN,L 20-25,,2,,,,,0.0%,,,,,,,,,
21,2001,2001-11-11,9,30.187,SDG,@,DEN,L 16-26,,5,3,11,3.67,0,60.0%,2.20,4,126,31.50,0,3,5,1.67,0
