ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1972,1972-09-17,1,22.355,CHI,,ATL,L 21-37,3,11,3.67,0,1,17,17.00,0,0,0
2,1972,1972-09-24,2,22.362,CHI,,RAM,T 13-13,5,5,1.00,0,0,0,,0,0,0
3,1972,1972-10-01,3,23.003,CHI,,DET,L 24-38,,,,,,,,,,
4,1972,1972-10-08,4,23.010,CHI,@,GNB,L 17-20,0,0,,0,2,32,16.00,0,0,0
5,1972,1972-10-15,5,23.017,CHI,@,CLE,W 17-0,1,7,7.00,0,0,0,,0,0,0
6,1972,1972-10-29,7,23.031,CHI,@,STL,W 27-10,3,9,3.00,0,1,-2,-2.00,0,0,0
7,1972,1972-11-05,8,23.038,CHI,@,DET,L 0-14,,,,,,,,,,
8,1972,1972-11-12,9,23.045,CHI,,GNB,L 17-23,,,,,,,,,,
9,1972,1972-11-19,10,23.052,CHI,,SFO,L 21-34,,,,,,,,,,
10,1972,1972-11-26,11,23.059,CHI,,CIN,L 3-13,0,0,,0,3,71,23.67,0,0,0
11,1972,1972-12-10,13,23.073,CHI,@,PHI,W 21-12,8,40,5.00,1,0,0,,0,1,6
12,1972,1972-12-17,14,23.080,CHI,@,OAK,L 21-28,13,34,2.62,0,1,2,2.00,0,0,0
13,1973,1973-10-14,5,24.016,CHI,@,ATL,L 6-46,,,,,,,,,,
14,1973,1973-10-21,6,24.023,CHI,,NWE,L 10-13,,,,,,,,,,
15,1973,1973-10-28,7,24.030,CHI,,HOU,W 35-14,5,11,2.20,0,0,0,,0,0,0
16,1973,1973-11-04,8,24.037,CHI,@,GNB,W 31-17,0,0,,0,2,18,9.00,0,0,0
17,1973,1973-11-12,9,24.045,CHI,@,KAN,L 7-19,1,4,4.00,0,1,0,0.00,0,0,0
18,1973,1973-11-18,10,24.051,CHI,,DET,L 7-30,2,3,1.50,0,1,3,3.00,0,0,0
19,1973,1973-11-25,11,24.058,CHI,@,MIN,L 13-31,0,0,,0,1,6,6.00,0,0,0
20,1973,1973-12-02,12,24.065,CHI,,RAM,L 0-26,1,-2,-2.00,0,1,10,10.00,0,0,0
21,1973,1973-12-09,13,24.072,CHI,@,DET,L 7-40,2,15,7.50,0,2,2,1.00,0,0,0
22,1973,1973-12-16,14,24.079,CHI,,GNB,L 0-21,13,39,3.00,0,1,21,21.00,0,0,0
