ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1970,1970-09-20,1,23.335,OAK,@,CIN,L 21-31,,,,,,,
2,1970,1970-09-27,2,23.342,OAK,@,SDG,T 27-27,,,,,,,
3,1970,1970-10-03,3,23.348,OAK,@,MIA,L 13-20,,,,,,,
4,1970,1970-12-06,12,24.047,OAK,@,NYJ,W 14-13,1,12,12.00,0,0,0,0
5,1970,1970-12-12,13,24.053,OAK,,KAN,W 20-6,,,,,,,
6,1970,1970-12-20,14,24.061,OAK,,SFO,L 7-38,1,18,18.00,0,0,0,0
7,1971,1971-09-19,1,24.334,OAK,@,NWE,L 6-20,,,,,,,
8,1971,1971-09-26,2,24.341,OAK,@,SDG,W 34-0,,,,,,,
9,1971,1971-10-04,3,24.349,OAK,@,CLE,W 34-20,,,,,,,
10,1971,1971-10-10,4,24.355,OAK,@,DEN,W 27-16,,,,,,,
11,1971,1971-10-17,5,24.362,OAK,,PHI,W 34-10,,,,,,,
12,1971,1971-10-24,6,25.004,OAK,,CIN,W 31-27,,,,,,,
13,1971,1971-10-31,7,25.011,OAK,,KAN,T 20-20,,,,,,,
14,1971,1971-11-07,8,25.018,OAK,@,NOR,T 21-21,,,,,,,
15,1971,1971-11-14,9,25.025,OAK,,HOU,W 41-21,,,,,,,
16,1971,1971-11-21,10,25.032,OAK,,SDG,W 34-33,,,,,,,
17,1971,1971-11-28,11,25.039,OAK,,BAL,L 14-37,,,,,,,
18,1971,1971-12-05,12,25.046,OAK,@,ATL,L 13-24,,,,,,,
19,1971,1971-12-12,13,25.053,OAK,@,KAN,L 14-16,,,,,,,
20,1971,1971-12-19,14,25.060,OAK,,DEN,W 21-13,,,,,,,
21,1972,1972-09-17,1,25.333,OAK,@,PIT,L 28-34,,,,,,,
22,1972,1972-09-24,2,25.340,OAK,@,GNB,W 20-14,,,,,,,
23,1972,1972-10-01,3,25.347,OAK,,SDG,T 17-17,,,,,,,
24,1972,1972-10-09,4,25.355,OAK,@,HOU,W 34-0,0,0,,0,1,0,0
25,1972,1972-10-15,5,25.361,OAK,,BUF,W 28-16,,,,,,,
26,1972,1972-10-22,6,26.002,OAK,,DEN,L 23-30,,,,,,,
27,1972,1972-10-29,7,26.009,OAK,,RAM,W 45-17,,,,,,,
28,1972,1972-11-05,8,26.016,OAK,@,KAN,L 14-27,,,,,,,
29,1972,1972-11-12,9,26.023,OAK,@,CIN,W 20-14,,,,,,,
30,1972,1972-11-19,10,26.030,OAK,@,DEN,W 37-20,,,,,,,
31,1972,1972-11-26,11,26.037,OAK,,KAN,W 26-3,,,,,,,
32,1972,1972-12-03,12,26.044,OAK,@,SDG,W 21-19,,,,,,,
