ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1988,1988-09-04,1,23.263,PHO,@,CIN,L 14-21,,0,0,,0,,,0,0,,0,1,10,10.00,0,0,0,,0,0,0
2,1988,1988-09-12,2,23.271,PHO,,DAL,L 14-17,,1,11,11.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
3,1988,1988-09-18,3,23.277,PHO,@,TAM,W 30-24,,1,25,25.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
4,1988,1988-09-25,4,23.284,PHO,,WAS,W 30-21,,0,0,,0,,,,,,,0,0,,0,,,,,,
5,1988,1988-10-02,5,23.291,PHO,@,RAM,W 41-27,,1,11,11.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
6,1988,1988-10-09,6,23.298,PHO,,PIT,W 31-14,,0,0,,0,,,,,,,0,0,,0,,,,,,
7,1988,1988-10-16,7,23.305,PHO,@,WAS,L 17-33,,2,35,17.50,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
8,1988,1988-10-23,8,23.312,PHO,,CLE,L 21-29,,0,0,,0,,,0,0,,0,3,29,9.67,0,0,0,,0,0,0
9,1988,1988-10-30,9,23.319,PHO,@,DAL,W 16-10,,2,51,25.50,0,,,0,0,,0,1,20,20.00,0,0,0,,0,0,0
10,1988,1988-11-06,10,23.326,PHO,,SFO,W 24-23,,4,61,15.25,1,,,0,0,,0,1,22,22.00,0,0,0,,0,1,6
11,1988,1988-11-13,11,23.333,PHO,,NYG,W 24-17,,2,36,18.00,0,,,0,0,,0,1,16,16.00,0,0,0,,0,0,0
12,1988,1988-11-20,12,23.340,PHO,@,HOU,L 20-38,,2,36,18.00,1,,,0,0,,0,4,50,12.50,0,0,0,,0,1,6
13,1988,1988-11-27,13,23.347,PHO,@,PHI,L 21-31,,1,19,19.00,0,,,0,0,,0,0,0,,0,0,0,,0,0,0
