ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-11-30,12,22.001,OAK,@,STL,L 0-52,,0,0,,0,3,47,15.67,0,0,0,0.0,0,0
2,2014,2014-12-07,13,22.008,OAK,,SFO,W 24-13,,0,0,,0,0,0,,0,0,0,0.0,1,0
3,2014,2014-12-14,14,22.015,OAK,@,KAN,L 13-31,,,,,,,,,,,,,,
4,2014,2014-12-21,15,22.022,OAK,,BUF,W 26-24,,0,0,,0,1,21,21.00,0,0,0,0.0,0,0
5,2014,2014-12-28,16,22.029,OAK,@,DEN,L 14-47,,0,0,,0,3,66,22.00,0,0,0,0.0,0,0
6,2016,2016-09-11,1,23.287,CLE,@,PHI,L 10-29,,0,0,,0,0,0,,0,0,0,0.0,0,0
7,2016,2016-09-18,2,23.294,CLE,,BAL,L 20-25,,0,0,,0,1,13,13.00,0,0,0,0.0,0,0
8,2016,2016-09-25,3,23.301,CLE,@,MIA,L 24-30,,0,0,,0,1,21,21.00,0,0,0,0.0,0,0
9,2016,2016-10-02,4,23.308,CLE,@,WAS,L 20-31,,0,0,,0,1,17,17.00,0,0,0,0.0,0,0
10,2016,2016-10-09,5,23.315,CLE,,NWE,L 13-33,,0,0,,0,0,0,,0,0,0,0.0,0,0
11,2016,2016-10-16,6,23.322,CLE,@,TEN,L 26-28,,0,0,,0,1,19,19.00,0,0,0,0.0,0,0
12,2016,2016-10-23,7,23.329,CLE,@,CIN,L 17-31,,0,0,,0,0,0,,0,0,0,0.0,0,0
13,2016,2016-10-30,8,23.336,CLE,,NYJ,L 28-31,,0,0,,0,1,15,15.00,0,0,0,0.0,0,0
14,2016,2016-11-06,9,23.343,CLE,,DAL,L 10-35,,0,0,,0,1,19,19.00,0,0,0,0.0,0,0
15,2016,2016-11-10,10,23.347,CLE,@,BAL,L 7-28,,0,0,,0,0,0,,0,0,0,0.0,0,0
16,2016,2016-11-20,11,23.357,CLE,,PIT,L 9-24,,0,0,,0,2,33,16.50,0,0,0,0.0,0,0
17,2016,2016-11-27,12,23.364,CLE,,NYG,L 13-27,,0,0,,0,0,0,,0,0,0,0.0,0,0
18,2016,2016-12-11,13,24.012,CLE,,CIN,L 10-23,,0,0,,0,0,0,,0,0,0,0.0,0,0
19,2016,2016-12-18,14,24.019,CLE,@,BUF,L 13-33,,0,0,,0,0,0,,0,0,0,0.0,0,0
20,2016,2016-12-24,15,24.025,CLE,,SDG,W 20-17,,0,0,,0,0,0,,0,0,0,0.0,0,0
21,2016,2017-01-01,16,24.033,CLE,@,PIT,L 24-27,,7,34,4.86,1,0,0,,0,1,6,0.0,0,0
