ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1971,1971-09-19,1,22.342,DEN,,MIA,T 10-10,2,42,21.00,1,1,9,9.00,0,0,0,,0,1,6,0,0,0
2,1971,1971-09-26,2,22.349,DEN,@,GNB,L 13-34,4,31,7.75,0,0,0,,0,0,0,,0,0,0,0,0,0
3,1971,1971-10-03,3,22.356,DEN,,KAN,L 3-16,2,29,14.50,0,0,0,,0,0,0,,0,0,0,0,0,0
4,1971,1971-10-17,5,23.005,DEN,,SDG,W 20-16,0,0,,0,1,16,16.00,0,0,0,,0,0,0,0,0,0
5,1971,1971-10-24,6,23.012,DEN,@,CLE,W 27-0,,,,,,,,,,,,,,,,,
6,1971,1971-10-31,7,23.019,DEN,@,PHI,L 16-17,3,32,10.67,0,1,2,2.00,0,0,0,,0,0,0,0,0,0
7,1971,1971-11-07,8,23.026,DEN,,DET,L 20-24,4,47,11.75,0,1,1,1.00,0,0,0,,0,0,0,0,0,0
8,1971,1971-11-14,9,23.033,DEN,,CIN,L 10-24,2,61,30.50,1,0,0,,0,0,0,,0,1,6,0,0,0
9,1971,1971-11-21,10,23.040,DEN,@,KAN,L 10-28,,,,,,,,,,,,,,,,,
10,1971,1971-12-19,14,23.068,DEN,@,OAK,L 13-21,2,23,11.50,0,1,8,8.00,0,0,0,,0,0,0,0,0,0
11,1972,1972-09-17,1,23.341,DEN,,HOU,W 30-17,,,,,,,,,,,,,,,,,
12,1972,1972-10-08,4,23.362,DEN,@,CIN,L 10-21,0,0,,0,1,9,9.00,0,0,0,,0,0,0,0,0,0
13,1972,1972-11-05,8,24.024,BUF,,MIA,L 16-30,1,16,16.00,0,0,0,,0,0,0,,0,0,0,0,0,0
14,1972,1972-11-12,9,24.031,BUF,@,NYJ,L 3-41,,,,,,,,,,,,,,,,,
15,1972,1972-11-19,10,24.038,BUF,@,NWE,W 27-24,,,,,,,,,,,,,,,,,
16,1972,1972-11-26,11,24.045,BUF,@,CLE,L 10-27,,,,,,,,,,,,,,,,,
17,1972,1972-12-03,12,24.052,BUF,@,BAL,L 7-35,,,,,,,,,,,,,,,,,
18,1972,1972-12-10,13,24.059,BUF,,DET,T 21-21,0,0,,0,0,0,,0,1,2,2.00,0,0,0,0,0,0
19,1972,1972-12-17,14,24.066,BUF,@,WAS,W 24-17,,,,,,,,,,,,,,,,,
20,1973,1973-09-16,1,24.339,BUF,@,NWE,W 31-13,,,,,,,,,,,,,,,,,
21,1973,1973-09-23,2,24.346,BUF,@,SDG,L 7-34,,,,,,,,,,,,,,,,,
22,1973,1973-09-30,3,24.353,BUF,,NYJ,W 9-7,,,,,,,,,,,,,,,,,
23,1973,1973-10-07,4,24.360,BUF,,PHI,W 27-26,,,,,,,,,,,,,,,,,
24,1973,1973-10-14,5,25.002,BUF,,BAL,W 31-13,0,0,,0,0,0,,0,0,0,,0,0,0,1,2,0
25,1973,1973-10-21,6,25.009,BUF,@,MIA,L 6-27,0,0,,0,0,0,,0,0,0,,0,0,0,1,38,0
26,1973,1973-10-29,7,25.017,BUF,,KAN,W 23-14,,,,,,,,,,,,,,,,,
27,1973,1973-11-04,8,25.023,BUF,@,NOR,L 0-13,,,,,,,,,,,,,,,,,
28,1973,1973-11-11,9,25.030,BUF,,CIN,L 13-16,0,0,,0,0,0,,0,0,0,,0,0,0,2,46,0
29,1973,1973-11-18,10,25.037,BUF,,MIA,L 0-17,,,,,,,,,,,,,,,,,
30,1973,1973-11-25,11,25.044,BUF,@,BAL,W 24-17,0,0,,0,0,0,,0,0,0,,0,1,6,1,31,1
31,1973,1973-12-02,12,25.051,BUF,@,ATL,W 17-6,,,,,,,,,,,,,,,,,
32,1973,1973-12-09,13,25.058,BUF,,NWE,W 37-13,,,,,,,,,,,,,,,,,
33,1973,1973-12-16,14,25.065,BUF,@,NYJ,W 34-14,,,,,,,,,,,,,,,,,
34,1974,1974-09-16,1,25.339,BUF,,OAK,W 21-20,,,,,,,,,,,,,,,,,
35,1974,1974-09-22,2,25.345,BUF,,MIA,L 16-24,0,0,,0,0,0,,0,0,0,,0,0,0,1,24,0
36,1974,1974-09-29,3,25.352,BUF,,NYJ,W 16-12,,,,,,,,,,,,,,,,,
37,1974,1974-10-06,4,25.359,BUF,@,GNB,W 27-7,,,,,,,,,,,,,,,,,
38,1974,1974-10-13,5,26.001,BUF,@,BAL,W 27-14,,,,,,,,,,,,,,,,,
39,1974,1974-10-20,6,26.008,BUF,,NWE,W 30-28,,,,,,,,,,,,,,,,,
40,1974,1974-11-03,8,26.022,BUF,@,NWE,W 29-28,,,,,,,,,,,,,,,,,
41,1974,1974-11-10,9,26.029,BUF,,HOU,L 9-21,,,,,,,,,,,,,,,,,
42,1974,1974-11-17,10,26.036,BUF,@,MIA,L 28-35,,,,,,,,,,,,,,,,,
43,1974,1974-11-24,11,26.043,BUF,@,CLE,W 15-10,,,,,,,,,,,,,,,,,
44,1974,1974-12-01,12,26.050,BUF,,BAL,W 6-0,,,,,,,,,,,,,,,,,
