ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1994,1994-10-30,8,24.089,RAI,,HOU,W 17-14,,,,,,,,,,0.0%,
2,1994,1994-11-06,9,24.096,RAI,@,KAN,L 3-13,,,,,,,,,,0.0%,
3,1994,1994-11-13,10,24.103,RAI,@,RAM,W 20-17,,,,,,,,,,0.0%,
4,1994,1994-11-20,11,24.110,RAI,,NOR,W 24-19,,,,,,,,,,0.0%,
5,1994,1994-11-27,12,24.117,RAI,,PIT,L 3-21,,,,,,,,,,0.0%,
6,1994,1994-12-05,13,24.125,RAI,@,SDG,W 24-17,0,0,,0,2,2,14,7.00,0,100.0%,7.00
7,1994,1994-12-11,14,24.131,RAI,,DEN,W 23-13,,,,,,,,,,0.0%,
8,1994,1994-12-18,15,24.138,RAI,@,SEA,W 17-16,,,,,,,,,,0.0%,
9,1994,1994-12-24,16,24.144,RAI,,KAN,L 9-19,,,,,,,,,,0.0%,
10,1997,1997-08-31,1,27.029,NOR,@,STL,L 24-38,0,0,,0,,,,,,0.0%,
11,1997,1997-09-07,2,27.036,NOR,,SDG,L 6-20,0,0,,0,1,,,,,0.0%,
12,1997,1997-09-14,3,27.043,NOR,@,SFO,L 7-33,3,8,2.67,0,0,0,0,,0,0.0%,
13,1997,1997-09-21,4,27.050,NOR,,DET,W 35-17,0,0,,0,0,,,,,0.0%,
14,1997,1997-09-28,5,27.057,NOR,@,NYG,L 9-14,0,0,,0,,,,,,0.0%,
15,1997,1997-10-05,6,27.064,NOR,@,CHI,W 20-17,0,0,,0,0,,,,,0.0%,
16,1997,1997-10-12,7,27.071,NOR,,ATL,L 17-23,1,1,1.00,0,0,0,0,,0,0.0%,
17,1997,1997-10-19,8,27.078,NOR,,CAR,L 0-13,0,0,,0,,,,,,0.0%,
18,1997,1997-10-26,9,27.085,NOR,,SFO,L 0-23,1,0,0.00,0,3,0,0,,0,0.0%,0.00
19,1997,1997-12-14,15,27.134,NOR,,ARI,W 27-10,0,0,,0,,,,,,0.0%,
20,1997,1997-12-21,16,27.141,NOR,@,KAN,L 13-25,0,0,,0,,,,,,0.0%,
