ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-09-17,1,28.277,SFO,,NYY,L 17-21,14,99,7.07,0,0,0,,0
2,1950,1950-09-24,2,28.284,SFO,,CHI,L 20-32,12,69,5.75,0,2,10,5.00,0
3,1950,1950-10-01,3,28.291,SFO,,RAM,L 14-35,9,39,4.33,0,2,11,5.50,0
4,1950,1950-10-08,4,28.298,SFO,@,DET,L 7-24,8,23,2.88,0,3,34,11.33,0
5,1950,1950-10-12,5,28.302,SFO,@,NYY,L 24-29,7,15,2.14,0,6,69,11.50,1
6,1950,1950-10-22,6,28.312,SFO,,DET,W 28-27,15,67,4.47,0,3,32,10.67,0
7,1950,1950-10-29,7,28.319,SFO,,BAL,W 17-14,17,68,4.00,0,1,-4,-4.00,0
8,1950,1950-11-05,8,28.326,SFO,@,RAM,L 21-28,8,41,5.13,0,2,7,3.50,0
9,1950,1950-11-12,9,28.333,SFO,@,CLE,L 14-34,14,69,4.93,0,2,5,2.50,0
10,1950,1950-11-19,10,28.340,SFO,@,CHI,L 0-17,8,21,2.63,0,1,8,8.00,0
11,1950,1950-11-26,11,28.347,SFO,@,GNB,L 21-25,13,51,3.92,1,1,8,8.00,0
12,1950,1950-12-10,12,28.361,SFO,,GNB,W 30-14,11,50,4.55,1,1,7,7.00,0
13,1951,1951-10-14,3,29.304,SFO,@,PIT,W 28-24,3,7,2.33,0,1,5,5.00,0
14,1951,1951-10-21,4,29.311,SFO,@,CHI,L 7-13,9,22,2.44,0,2,16,8.00,0
15,1951,1951-10-28,5,29.318,SFO,,RAM,W 44-17,12,43,3.58,1,0,0,,0
16,1951,1951-11-04,6,29.325,SFO,@,RAM,L 16-23,4,13,3.25,0,1,9,9.00,0
17,1951,1951-11-11,7,29.332,SFO,,NYY,W 19-14,12,45,3.75,0,4,40,10.00,0
18,1951,1951-11-18,8,29.339,SFO,,CRD,L 21-27,5,10,2.00,0,1,8,8.00,0
19,1951,1951-11-25,9,29.346,SFO,@,NYY,T 10-10,16,82,5.13,1,1,11,11.00,0
20,1951,1951-12-02,10,29.353,SFO,@,DET,W 20-10,7,24,3.43,1,1,10,10.00,0
21,1951,1951-12-09,11,29.360,SFO,,GNB,W 31-19,7,25,3.57,0,0,0,,0
22,1951,1951-12-16,12,30.002,SFO,,DET,W 21-17,6,25,4.17,0,1,6,6.00,0
23,1952,1952-10-05,2,30.296,SFO,@,DTX,W 37-14,4,22,5.50,0,0,0,,0
24,1952,1952-10-12,3,30.303,SFO,@,DET,W 28-0,3,6,2.00,0,0,0,,0
25,1952,1952-10-19,4,30.310,SFO,@,CHI,W 40-16,2,1,0.50,0,0,0,,0
26,1952,1952-11-09,7,30.331,SFO,@,NYG,L 14-23,1,2,2.00,0,1,4,4.00,0
27,1952,1952-12-14,12,31.000,SFO,,GNB,W 24-14,6,22,3.67,0,0,0,,0
