ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1974,1974-09-15,1,24.254,BAL,@,PIT,L 0-30,,,,
2,1974,1974-09-22,2,24.261,BAL,,GNB,L 13-20,,,,
3,1974,1974-09-29,3,24.268,BAL,@,PHI,L 10-30,,,,
4,1974,1974-10-06,4,24.275,BAL,@,NWE,L 3-42,,,,
5,1974,1974-10-13,5,24.282,BAL,,BUF,L 14-27,,,,
6,1974,1974-10-20,6,24.289,BAL,@,NYJ,W 35-20,,,,
7,1974,1974-10-27,7,24.296,BAL,@,MIA,L 7-17,,,,
8,1974,1974-11-03,8,24.303,BAL,,CIN,L 14-24,,,,
9,1974,1974-11-10,9,24.310,BAL,,DEN,L 6-17,,,,
10,1974,1974-11-17,10,24.317,BAL,@,ATL,W 17-7,,,,
11,1974,1974-11-24,11,24.324,BAL,,NWE,L 17-27,,,,
12,1974,1974-12-01,12,24.331,BAL,@,BUF,L 0-6,1,0,0.00,0
13,1974,1974-12-08,13,24.338,BAL,,MIA,L 16-17,,,,
14,1974,1974-12-15,14,24.345,BAL,,NYJ,L 38-45,,,,
