ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2001,2001-09-10,1,24.138,NYG,@,DEN,L 20-31,,0,0,,0,8,441,55.13,0
2,2001,2001-09-23,2,24.151,NYG,@,KAN,W 13-3,,0,0,,0,4,175,43.75,0
3,2001,2001-09-30,3,24.158,NYG,,NOR,W 21-13,,0,0,,0,8,372,46.50,0
4,2001,2001-10-07,4,24.165,NYG,,WAS,W 23-9,,0,0,,0,4,172,43.00,0
5,2001,2001-10-14,5,24.172,NYG,@,STL,L 14-15,,0,0,,0,8,319,39.88,0
6,2001,2001-10-22,6,24.180,NYG,,PHI,L 9-10,,0,0,,0,6,256,42.67,0
7,2001,2001-10-28,7,24.186,NYG,@,WAS,L 21-35,,0,0,,0,6,221,36.83,0
8,2001,2001-11-04,8,24.193,NYG,,DAL,W 27-24,,0,0,,0,5,256,51.20,0
9,2001,2001-11-19,10,24.208,NYG,@,MIN,L 16-28,,0,0,,0,3,149,49.67,0
10,2001,2001-11-25,11,24.214,NYG,,OAK,L 10-28,,0,0,,0,6,236,39.33,0
11,2001,2001-12-09,12,24.228,NYG,@,DAL,L 13-20,,1,5,5.00,0,7,279,39.86,0
12,2001,2001-12-15,13,24.234,NYG,,ARI,W 17-13,,1,11,11.00,0,7,246,35.14,0
13,2001,2001-12-23,14,24.242,NYG,,SEA,W 27-24,,0,0,,0,7,310,44.29,0
14,2001,2001-12-30,15,24.249,NYG,@,PHI,L 21-24,,0,0,,0,8,286,35.75,0
15,2001,2002-01-06,16,24.256,NYG,,GNB,L 25-34,,0,0,,0,4,187,46.75,0
