ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1995,1995-09-03,1,23.104,JAX,,HOU,L 3-10,,,,,1,2,50.0,0,3
2,1995,1995-09-10,2,23.111,JAX,@,CIN,L 17-24,,2,2,100.0,1,1,100.0,0,5
3,1995,1995-09-17,3,23.118,JAX,@,NYJ,L 10-27,,1,1,100.0,1,1,100.0,0,4
4,1995,1995-09-24,4,23.125,JAX,,GNB,L 14-24,,2,2,100.0,,,,0,2
5,1995,1995-10-01,5,23.132,JAX,@,HOU,W 17-16,,2,2,100.0,1,1,100.0,0,5
6,1995,1995-10-08,6,23.139,JAX,,PIT,W 20-16,,2,2,100.0,2,2,100.0,0,8
7,1995,1995-10-15,7,23.146,JAX,,CHI,L 27-30,,3,3,100.0,2,4,50.0,0,9
8,1995,1995-10-22,8,23.153,JAX,@,CLE,W 23-15,,2,3,66.7,1,1,100.0,0,5
9,1995,1995-10-29,9,23.160,JAX,@,PIT,L 7-24,,1,1,100.0,,,,0,1
10,1995,1995-11-12,10,23.174,JAX,,SEA,L 30-47,,3,3,100.0,3,3,100.0,0,12
11,1995,1995-11-19,11,23.181,JAX,@,TAM,L 16-17,,1,1,100.0,1,1,100.0,0,4
12,1995,1995-11-26,12,23.188,JAX,,CIN,L 13-17,,1,1,100.0,2,4,50.0,0,7
13,1995,1995-12-03,13,23.195,JAX,@,DEN,L 23-31,,2,2,100.0,1,1,100.0,0,5
14,1995,1995-12-10,14,23.202,JAX,,IND,L 31-41,,4,4,100.0,1,2,50.0,0,7
15,1995,1995-12-17,15,23.209,JAX,@,DET,L 0-44,,,,,,1,0.0,0,0
16,1995,1995-12-24,16,23.216,JAX,,CLE,W 24-21,,1,1,100.0,3,3,100.0,0,10
17,1996,1996-09-01,1,24.102,JAX,,PIT,W 24-9,,3,3,100.0,1,1,100.0,0,6
18,1996,1996-09-08,2,24.109,JAX,,HOU,L 27-34,,3,3,100.0,2,3,66.7,0,9
19,1996,1996-09-15,3,24.116,JAX,@,OAK,L 3-17,,,,,1,1,100.0,0,3
20,1996,1996-09-22,4,24.123,JAX,@,NWE,L 25-28,,2,2,100.0,1,2,50.0,0,5
21,1996,1996-09-29,5,24.130,JAX,,CAR,W 24-14,,3,3,100.0,1,1,100.0,0,6
22,1996,1996-10-06,6,24.137,JAX,@,NOR,L 13-17,,1,1,100.0,2,3,66.7,0,7
23,1996,1996-10-13,7,24.144,JAX,,NYJ,W 21-17,,1,1,100.0,2,2,100.0,0,7
24,1996,1996-10-20,8,24.151,JAX,@,STL,L 14-17,,2,2,100.0,,,,0,2
25,1996,1996-10-27,9,24.158,JAX,@,CIN,L 21-28,,3,3,100.0,,,,0,3
26,1996,1996-11-10,10,24.172,JAX,,BAL,W 30-27,,1,1,100.0,3,3,100.0,0,10
27,1996,1996-11-17,11,24.179,JAX,@,PIT,L 3-28,,,,,1,1,100.0,0,3
28,1996,1996-11-24,12,24.186,JAX,@,BAL,W 28-25,,2,2,100.0,2,3,66.7,0,8
29,1996,1996-12-01,13,24.193,JAX,,CIN,W 30-27,,1,1,100.0,5,5,100.0,0,16
30,1996,1996-12-08,14,24.200,JAX,@,HOU,W 23-17,,2,2,100.0,3,4,75.0,0,11
31,1996,1996-12-15,15,24.207,JAX,,SEA,W 20-13,,2,2,100.0,2,3,66.7,0,8
