ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2009,2009-09-13,1,22.284,STL,@,SEA,L 0-28,*,,0,0,0.0,10,4,0,0,0
2,2009,2009-09-20,2,22.291,STL,@,WAS,L 7-9,*,,0,0,0.0,6,2,0,0,0
3,2009,2009-09-27,3,22.298,STL,,GNB,L 17-36,*,,0,0,0.0,3,0,0,0,0
4,2009,2009-10-04,4,22.305,STL,@,SFO,L 0-35,*,,0,0,0.0,6,3,0,0,0
5,2009,2009-10-11,5,22.312,STL,,MIN,L 10-38,*,,0,0,0.0,6,0,1,7,0
6,2009,2009-10-18,6,22.319,STL,@,JAX,L 20-23,*,,0,0,0.0,5,0,1,21,0
7,2009,2009-10-25,7,22.326,STL,,IND,L 6-42,*,,0,0,0.0,4,0,0,0,0
8,2009,2009-11-01,8,22.333,STL,@,DET,W 17-10,*,,0,0,0.0,6,1,0,0,0
9,2009,2009-11-15,9,22.347,STL,,NOR,L 23-28,*,,0,0,0.0,4,0,0,0,0
10,2009,2009-11-22,10,22.354,STL,,ARI,L 13-21,*,,0,0,0.0,16,0,0,0,0
11,2009,2009-11-29,11,22.361,STL,,SEA,L 17-27,*,,0,0,1.0,9,0,0,0,0
12,2009,2009-12-06,12,23.003,STL,@,CHI,L 9-17,*,,0,0,0.0,9,3,0,0,0
13,2009,2009-12-13,13,23.010,STL,@,TEN,L 7-47,*,,0,0,0.0,7,0,0,0,0
14,2009,2009-12-20,14,23.017,STL,,HOU,L 13-16,*,,0,0,0.0,5,0,0,0,0
15,2009,2009-12-27,15,23.024,STL,@,ARI,L 10-31,*,,0,0,0.0,6,0,0,0,0
16,2009,2010-01-03,16,23.031,STL,,SFO,L 6-28,*,,0,0,1.0,5,0,0,0,0
17,2010,2010-09-12,1,23.283,STL,,ARI,L 13-17,*,,0,0,0.0,5,0,0,0,0
18,2010,2010-09-19,2,23.290,STL,@,OAK,L 14-16,*,,0,0,1.0,9,0,0,0,0
19,2010,2010-09-26,3,23.297,STL,,WAS,W 30-16,*,,0,0,0.0,6,1,0,0,0
20,2010,2010-10-03,4,23.304,STL,,SEA,W 20-3,*,,0,0,0.0,4,1,0,0,0
21,2010,2010-10-10,5,23.311,STL,@,DET,L 6-44,*,,0,0,0.0,4,3,0,0,0
22,2010,2010-10-17,6,23.318,STL,,SDG,W 20-17,*,,0,0,0.0,5,0,0,0,0
23,2010,2010-10-24,7,23.325,STL,@,TAM,L 17-18,*,,0,0,0.0,7,1,0,0,0
24,2010,2010-10-31,8,23.332,STL,,CAR,W 20-10,*,,0,0,1.0,7,1,1,4,0
25,2010,2010-11-14,9,23.346,STL,@,SFO,L 20-23,*,,0,0,1.0,3,2,0,0,0
26,2010,2010-11-21,10,23.353,STL,,ATL,L 17-34,*,,0,0,0.0,8,3,0,0,0
27,2010,2010-11-28,11,23.360,STL,@,DEN,W 36-33,*,,0,0,0.0,3,0,0,0,0
28,2010,2010-12-05,12,24.002,STL,@,ARI,W 19-6,*,,0,0,0.0,6,0,0,0,0
29,2010,2010-12-12,13,24.009,STL,@,NOR,L 13-31,*,,0,0,0.0,8,0,0,0,0
30,2010,2010-12-19,14,24.016,STL,,KAN,L 13-27,*,,0,0,0.0,10,1,0,0,0
31,2010,2010-12-26,15,24.023,STL,,SFO,W 25-17,*,,0,0,0.0,7,0,0,0,0
32,2010,2011-01-02,16,24.030,STL,@,SEA,L 6-16,*,,0,0,0.0,6,3,0,0,0
33,2011,2011-09-11,1,24.282,STL,,PHI,L 13-31,*,,0,0,0.0,5,1,0,0,0
34,2011,2011-09-19,2,24.290,STL,@,NYG,L 16-28,*,,0,0,0.0,9,5,0,0,0
35,2011,2011-09-25,3,24.296,STL,,BAL,L 7-37,*,,0,0,0.0,4,0,0,0,0
36,2011,2011-10-02,4,24.303,STL,,WAS,L 10-17,*,,0,0,0.0,5,2,1,15,0
37,2011,2011-10-16,5,24.317,STL,@,GNB,L 3-24,*,,0,0,0.0,5,3,0,0,0
38,2011,2011-10-23,6,24.324,STL,@,DAL,L 7-34,*,,0,0,0.0,4,4,0,0,0
39,2011,2011-10-30,7,24.331,STL,,NOR,W 31-21,*,,0,0,1.0,10,0,0,0,0
40,2011,2011-11-06,8,24.338,STL,@,ARI,L 13-19,*,,0,0,0.0,3,1,0,0,0
41,2011,2011-11-13,9,24.345,STL,@,CLE,W 13-12,*,,0,0,1.0,6,4,0,0,0
42,2011,2011-11-20,10,24.352,STL,,SEA,L 7-24,*,,0,0,0.0,13,0,0,0,0
43,2011,2011-11-27,11,24.359,STL,,ARI,L 20-23,*,,0,0,0.0,4,2,1,0,0
44,2011,2011-12-04,12,25.001,STL,@,SFO,L 0-26,*,,0,0,1.0,10,2,0,0,0
45,2011,2011-12-12,13,25.009,STL,@,SEA,L 13-30,*,,0,0,0.0,7,5,0,0,0
46,2011,2011-12-18,14,25.015,STL,,CIN,L 13-20,*,,0,0,0.0,5,1,0,0,0
47,2011,2011-12-24,15,25.021,STL,@,PIT,L 0-27,*,,0,0,0.0,7,6,0,0,0
48,2011,2012-01-01,16,25.029,STL,,SFO,L 27-34,*,,0,0,0.0,8,1,0,0,0
49,2012,2012-09-09,1,25.281,STL,@,DET,L 23-27,*,,0,0,0.0,5,4,0,0,0
50,2012,2012-09-16,2,25.288,STL,,WAS,W 31-28,*,,0,0,0.0,8,2,0,0,0
51,2012,2012-09-23,3,25.295,STL,@,CHI,L 6-23,*,,0,0,0.0,11,0,0,0,0
52,2012,2012-09-30,4,25.302,STL,,SEA,W 19-13,*,,0,0,0.0,8,1,0,0,0
53,2012,2012-10-04,5,25.306,STL,,ARI,W 17-3,*,,0,0,0.5,6,4,0,0,0
54,2012,2012-10-14,6,25.316,STL,@,MIA,L 14-17,*,,0,0,0.0,6,0,0,0,0
55,2012,2012-10-21,7,25.323,STL,,GNB,L 20-30,*,,0,0,0.0,13,1,0,0,0
56,2012,2012-10-28,8,25.330,STL,,NWE,L 7-45,*,,0,0,0.0,5,0,0,0,0
57,2012,2012-11-11,9,25.344,STL,@,SFO,T 24-24,*,,0,0,0.0,6,1,0,0,0
58,2012,2012-11-18,10,25.351,STL,,NYJ,L 13-27,*,,0,0,0.0,10,1,0,0,0
59,2012,2012-11-25,11,25.358,STL,@,ARI,W 31-17,*,,0,0,0.0,7,7,1,18,0
60,2012,2012-12-02,12,25.365,STL,,SFO,W 16-13,*,,0,0,0.0,10,0,0,0,0
61,2012,2012-12-09,13,26.006,STL,@,BUF,W 15-12,*,,0,0,0.0,3,0,0,0,0
62,2012,2012-12-16,14,26.013,STL,,MIN,L 22-36,*,,0,0,0.0,6,0,0,0,0
63,2012,2012-12-23,15,26.020,STL,@,TAM,W 28-13,*,,0,0,0.0,11,1,1,0,0
64,2012,2012-12-30,16,26.027,STL,@,SEA,L 13-20,*,,0,0,0.0,2,3,0,0,0
65,2013,2013-09-08,1,26.279,STL,,ARI,W 27-24,*,,0,0,0.0,6,0,0,0,0
66,2013,2013-09-15,2,26.286,STL,@,ATL,L 24-31,*,,0,0,0.0,5,0,0,0,0
67,2013,2013-09-22,3,26.293,STL,@,DAL,L 7-31,*,,0,0,0.0,4,1,0,0,0
68,2013,2013-09-26,4,26.297,STL,,SFO,L 11-35,*,,0,0,0.0,9,3,0,0,0
69,2013,2013-10-06,5,26.307,STL,,JAX,W 34-20,*,,0,0,0.0,6,2,1,0,0
70,2013,2013-10-13,6,26.314,STL,@,HOU,W 38-13,*,,0,0,0.0,4,4,0,0,0
71,2013,2013-10-20,7,26.321,STL,@,CAR,L 15-30,*,,0,0,1.0,7,4,0,0,0
72,2013,2013-10-28,8,26.329,STL,,SEA,L 9-14,*,,0,0,0.0,2,1,0,0,0
73,2013,2013-11-03,9,26.335,STL,,TEN,L 21-28,*,,0,0,1.0,9,0,0,0,0
74,2013,2013-11-10,10,26.342,STL,@,IND,W 38-8,*,,0,0,0.0,4,4,1,9,0
75,2013,2013-11-24,11,26.356,STL,,CHI,W 42-21,*,,0,0,0.0,6,1,0,0,0
76,2013,2013-12-01,12,26.363,STL,@,SFO,L 13-23,*,,0,0,0.0,6,3,0,0,0
77,2013,2013-12-08,13,27.005,STL,@,ARI,L 10-30,*,,0,0,0.0,2,3,0,0,0
78,2013,2013-12-15,14,27.012,STL,,NOR,W 27-16,*,,0,0,0.0,4,1,0,0,0
79,2013,2013-12-22,15,27.019,STL,,TAM,W 23-13,*,,0,0,1.5,5,1,0,0,0
80,2013,2013-12-29,16,27.026,STL,@,SEA,L 9-27,*,,0,0,0.0,6,4,0,0,0
81,2014,2014-09-07,1,27.278,STL,,MIN,L 6-34,*,,0,0,0.0,5,0,0,0,0
82,2014,2014-09-14,2,27.285,STL,@,TAM,W 19-17,*,,0,0,0.0,4,2,0,0,0
83,2014,2014-09-21,3,27.292,STL,,DAL,L 31-34,*,,0,0,0.0,8,1,0,0,0
84,2014,2014-10-05,4,27.306,STL,@,PHI,L 28-34,*,,0,0,0.0,6,0,0,0,0
85,2014,2014-10-13,5,27.314,STL,,SFO,L 17-31,*,,0,0,0.0,6,2,0,0,0
86,2014,2014-10-19,6,27.320,STL,,SEA,W 28-26,*,,0,0,0.0,3,0,0,0,0
87,2014,2014-10-26,7,27.327,STL,@,KAN,L 7-34,*,,0,0,0.0,6,1,0,0,0
88,2014,2014-11-02,8,27.334,STL,@,SFO,W 13-10,*,,0,0,1.0,5,1,0,0,0
89,2014,2014-11-09,9,27.341,STL,@,ARI,L 14-31,*,,0,0,0.0,3,1,0,0,0
90,2014,2014-11-16,10,27.348,STL,,DEN,W 22-7,*,,0,0,1.0,7,4,0,0,0
91,2014,2014-11-23,11,27.355,STL,@,SDG,L 24-27,*,,0,0,0.0,6,2,0,0,0
92,2014,2014-11-30,12,27.362,STL,,OAK,W 52-0,*,,0,0,0.0,4,2,0,0,0
93,2014,2014-12-07,13,28.004,STL,@,WAS,W 24-0,*,,0,0,1.5,4,2,0,0,0
94,2014,2014-12-11,14,28.008,STL,,ARI,L 6-12,*,,0,0,0.0,5,1,0,0,0
95,2014,2014-12-21,15,28.018,STL,,NYG,L 27-37,*,,0,0,0.0,5,4,0,0,0
96,2014,2014-12-28,16,28.025,STL,@,SEA,L 6-20,*,,0,0,0.0,4,5,0,0,0
97,2015,2015-09-13,1,28.284,STL,,SEA,W 34-31,*,,0,0,0.0,4,3,0,0,0
98,2015,2015-09-20,2,28.291,STL,@,WAS,L 10-24,*,,0,0,0.0,4,5,0,0,0
99,2015,2015-09-27,3,28.298,STL,,PIT,L 6-12,*,,0,0,0.0,4,4,0,0,0
100,2015,2015-10-04,4,28.305,STL,@,ARI,W 24-22,*,,0,0,1.0,4,1,0,0,0
101,2015,2015-10-11,5,28.312,STL,@,GNB,L 10-24,*,,0,0,0.0,3,5,1,0,0
102,2015,2015-10-25,6,28.326,STL,,CLE,W 24-6,*,,0,0,0.0,4,4,0,0,0
103,2015,2015-11-01,7,28.333,STL,,SFO,W 27-6,*,1,0,2,0.0,4,3,0,0,0
104,2015,2015-11-08,8,28.340,STL,@,MIN,L 18-21,*,,0,0,0.0,6,2,0,0,0
105,2015,2015-11-15,9,28.347,STL,,CHI,L 13-37,*,,0,0,0.0,5,1,0,0,0
106,2015,2015-11-22,10,28.354,STL,@,BAL,L 13-16,*,,0,0,0.0,2,6,0,0,0
107,2015,2015-11-29,11,28.361,STL,@,CIN,L 7-31,*,,0,0,0.0,6,3,0,0,0
108,2015,2015-12-06,12,29.003,STL,,ARI,L 3-27,*,,0,0,0.0,1,3,0,0,0
109,2015,2015-12-13,13,29.010,STL,,DET,W 21-14,*,,0,0,0.0,5,3,0,0,0
110,2015,2015-12-17,14,29.014,STL,,TAM,W 31-23,*,,0,0,0.0,5,1,0,0,0
111,2015,2015-12-27,15,29.024,STL,@,SEA,W 23-17,*,,0,0,0.0,2,5,0,0,0
112,2015,2016-01-03,16,29.031,STL,@,SFO,L 16-19,*,,0,0,0.0,1,0,0,0,0
113,2016,2016-09-11,1,29.283,NOR,,OAK,L 34-35,*,,0,0,0.0,3,4,0,0,0
114,2016,2016-09-18,2,29.290,NOR,@,NYG,L 13-16,*,,0,0,0.0,1,2,0,0,0
115,2016,2016-09-26,3,29.298,NOR,,ATL,L 32-45,*,,0,0,0.0,5,2,0,0,0
116,2016,2016-10-23,6,29.325,NOR,@,KAN,L 21-27,,,0,0,0.0,0,0,0,0,0
117,2016,2016-10-30,7,29.332,NOR,,SEA,W 25-20,,,0,0,0.0,0,0,0,0,0
