ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks,def_int,def_int_yds,def_int_td
1,1982,1982-09-13,1,23.046,PIT,@,DAL,W 36-28,,,,
2,1982,1982-09-19,2,23.052,PIT,,CIN,W 26-20,,,,
3,1982,1982-11-21,3,23.115,PIT,@,HOU,W 24-10,,,,
4,1982,1982-11-28,4,23.122,PIT,@,SEA,L 0-16,,,,
5,1982,1982-12-05,5,23.129,PIT,,KAN,W 35-14,1.0,0,0,0
6,1982,1982-12-12,6,23.136,PIT,@,BUF,L 0-13,,,,
7,1982,1982-12-19,7,23.143,PIT,@,CLE,L 9-10,,,,
8,1982,1982-12-26,8,23.150,PIT,,NWE,W 37-14,,,,
9,1982,1983-01-02,9,23.157,PIT,,CLE,W 37-21,,,,
10,1983,1983-09-04,1,24.037,PIT,,DEN,L 10-14,1.0,0,0,0
11,1983,1983-09-11,2,24.044,PIT,@,GNB,W 25-21,0.5,0,0,0
12,1983,1983-09-18,3,24.051,PIT,@,HOU,W 40-28,2.0,0,0,0
13,1983,1983-09-25,4,24.058,PIT,,NWE,L 23-28,,,,
14,1983,1983-10-02,5,24.065,PIT,,HOU,W 17-10,,,,
15,1983,1983-10-10,6,24.073,PIT,@,CIN,W 24-14,2.0,0,0,0
16,1983,1983-10-16,7,24.079,PIT,,CLE,W 44-17,1.0,0,0,0
17,1983,1983-10-23,8,24.086,PIT,@,SEA,W 27-21,3.5,0,0,0
18,1983,1983-10-30,9,24.093,PIT,,TAM,W 17-12,2.0,0,0,0
19,1983,1983-11-06,10,24.100,PIT,,SDG,W 26-3,1.0,0,0,0
20,1983,1983-11-13,11,24.107,PIT,@,BAL,W 24-13,,,,
21,1983,1983-11-20,12,24.114,PIT,,MIN,L 14-17,,,,
22,1983,1983-11-24,13,24.118,PIT,@,DET,L 3-45,1.0,0,0,0
23,1983,1983-12-18,16,24.142,PIT,@,CLE,L 17-30,,,,
24,1984,1984-09-02,1,25.035,PIT,,KAN,L 27-37,,,,
25,1984,1984-09-06,2,25.039,PIT,@,NYJ,W 23-17,1.0,0,0,0
26,1984,1984-09-16,3,25.049,PIT,,RAM,W 24-14,1.0,0,0,0
27,1984,1984-09-23,4,25.056,PIT,@,CLE,L 10-20,,,,
28,1984,1984-10-01,5,25.064,PIT,,CIN,W 38-17,,,,
29,1984,1984-10-07,6,25.070,PIT,,MIA,L 7-31,,,,
30,1984,1984-10-14,7,25.077,PIT,@,SFO,W 20-17,,,,
31,1984,1984-10-21,8,25.084,PIT,@,IND,L 16-17,,,,
32,1984,1984-11-04,10,25.098,PIT,,HOU,W 35-7,1.0,0,0,0
33,1984,1984-11-19,12,25.113,PIT,@,NOR,L 24-27,1.0,0,0,0
34,1984,1984-12-09,15,25.133,PIT,,CLE,W 23-20,1.0,0,0,0
35,1984,1984-12-16,16,25.140,PIT,@,RAI,W 13-7,,,,
