ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1987,1987-10-04,3,26.279,MIN,,GNB,L 16-23,,,,,,,,
2,1987,1987-10-11,4,26.286,MIN,@,CHI,L 7-27,4,13,3.25,0,0,0,,0
3,1987,1987-10-18,5,26.293,MIN,@,TAM,L 10-20,1,3,3.00,0,2,14,7.00,0
