ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1981,1981-09-06,1,22.286,BUF,,NYJ,W 31-0,0,0,,0,,
2,1981,1981-09-13,2,22.293,BUF,@,BAL,W 35-3,1,3,3.00,1,1,6
3,1981,1981-09-17,3,22.297,BUF,,PHI,L 14-20,0,0,,0,,
4,1981,1981-09-27,4,22.307,BUF,@,CIN,L 24-27,0,0,,0,,
5,1981,1981-10-04,5,22.314,BUF,,BAL,W 23-17,0,0,,0,,
6,1981,1981-10-12,6,22.322,BUF,,MIA,W 31-21,1,7,7.00,0,0,0
7,1981,1981-10-18,7,22.328,BUF,@,NYJ,L 14-33,0,0,,0,,
8,1981,1981-10-25,8,22.335,BUF,,DEN,W 9-7,0,0,,0,,
9,1981,1981-11-01,9,22.342,BUF,,CLE,W 22-13,0,0,,0,,
10,1981,1981-11-09,10,22.350,BUF,@,DAL,L 14-27,0,0,,0,,
11,1981,1981-11-15,11,22.356,BUF,@,STL,L 0-24,1,10,10.00,0,0,0
12,1981,1981-11-22,12,22.363,BUF,,NWE,W 20-17,0,0,,0,,
13,1981,1981-11-29,13,23.005,BUF,,WAS,W 21-14,0,0,,0,,
14,1981,1981-12-06,14,23.012,BUF,@,SDG,W 28-27,1,16,16.00,0,0,0
15,1981,1981-12-13,15,23.019,BUF,@,NWE,W 19-10,0,0,,0,,
16,1981,1981-12-19,16,23.025,BUF,@,MIA,L 6-16,0,0,,0,,
17,1982,1982-09-12,1,23.292,BUF,,KAN,W 14-9,0,0,,0,,
18,1982,1982-09-16,2,23.296,BUF,,MIN,W 23-22,0,0,,0,,
19,1982,1982-11-21,3,23.362,BUF,,MIA,L 7-9,0,0,,0,,
20,1982,1982-11-28,4,24.004,BUF,,BAL,W 20-0,0,0,,0,,
21,1982,1982-12-05,5,24.011,BUF,@,GNB,L 21-33,0,0,,0,,
22,1982,1982-12-12,6,24.018,BUF,,PIT,W 13-0,1,6,6.00,0,0,0
23,1982,1982-12-19,7,24.025,BUF,@,TAM,L 23-24,1,22,22.00,0,0,0
24,1982,1982-12-27,8,24.033,BUF,@,MIA,L 10-27,2,11,5.50,0,0,0
25,1982,1983-01-02,9,24.039,BUF,@,NWE,L 19-30,0,0,,0,,
26,1983,1983-09-11,2,24.291,BUF,@,CIN,W 10-6,0,0,,0,,
27,1983,1983-09-18,3,24.298,BUF,,BAL,W 28-23,0,0,,0,,
28,1983,1983-09-25,4,24.305,BUF,,HOU,W 30-13,0,0,,0,,
29,1983,1983-10-03,5,24.313,BUF,,NYJ,L 10-34,0,0,,0,,
30,1983,1983-10-09,6,24.319,BUF,@,MIA,W 38-35,2,12,6.00,0,0,0
31,1983,1983-10-16,7,24.326,BUF,@,BAL,W 30-7,0,0,,0,,
32,1983,1983-10-23,8,24.333,BUF,,NWE,L 0-31,0,0,,0,,
33,1983,1983-10-30,9,24.340,BUF,,NOR,W 27-21,0,0,,0,,
34,1983,1983-11-06,10,24.347,BUF,@,NWE,L 7-21,0,0,,0,,
35,1983,1983-11-13,11,24.354,BUF,@,NYJ,W 24-17,0,0,,0,,
36,1983,1983-11-20,12,24.361,BUF,,RAI,L 24-27,0,0,,0,,
37,1983,1983-11-27,13,25.003,BUF,@,RAM,L 17-41,1,5,5.00,0,0,0
38,1983,1983-12-04,14,25.010,BUF,@,KAN,W 14-9,0,0,,0,,
39,1983,1983-12-11,15,25.017,BUF,,SFO,L 10-23,5,58,11.60,0,0,0
40,1983,1983-12-18,16,25.024,BUF,@,ATL,L 14-31,2,19,9.50,0,0,0
41,1984,1984-09-02,1,25.283,BUF,,NWE,L 17-21,0,0,,0,,
42,1984,1984-09-09,2,25.290,BUF,@,STL,L 7-37,0,0,,0,,
43,1984,1984-09-17,3,25.298,BUF,,MIA,L 17-21,2,26,13.00,0,0,0
44,1984,1984-09-23,4,25.304,BUF,,NYJ,L 26-28,4,32,8.00,0,0,0
45,1984,1984-09-30,5,25.311,BUF,@,IND,L 17-31,0,0,,0,,
46,1984,1984-10-07,6,25.318,BUF,,PHI,L 17-27,0,0,,0,,
47,1984,1984-10-14,7,25.325,BUF,@,SEA,L 28-31,0,0,,0,,
48,1984,1984-10-21,8,25.332,BUF,,DEN,L 7-37,2,9,4.50,0,0,0
49,1984,1984-10-28,9,25.339,BUF,@,MIA,L 7-38,0,0,,0,,
50,1984,1984-11-04,10,25.346,BUF,,CLE,L 10-13,0,0,,0,,
51,1984,1984-11-11,11,25.353,BUF,@,NWE,L 10-38,0,0,,0,,
52,1984,1984-11-18,12,25.360,BUF,,DAL,W 14-3,0,0,,0,,
53,1984,1984-11-25,13,26.001,BUF,@,WAS,L 14-41,0,0,,0,,
54,1984,1984-12-02,14,26.008,BUF,,IND,W 21-15,0,0,,0,,
55,1984,1984-12-08,15,26.014,BUF,@,NYJ,L 17-21,0,0,,0,,
56,1984,1984-12-16,16,26.022,BUF,@,CIN,L 21-52,0,0,,0,,
