ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1991,1991-09-01,1,23.135,KAN,,ATL,W 14-3,,1,13,13.00,0,,,0,0,,0,0,0
2,1991,1991-09-08,2,23.142,KAN,,NOR,L 10-17,,0,0,,0,,,,,,,,
3,1991,1991-09-16,3,23.150,KAN,@,HOU,L 7-17,,2,31,15.50,0,,,0,0,,0,0,0
4,1991,1991-09-22,4,23.156,KAN,,SEA,W 20-13,,5,39,7.80,1,,,0,0,,0,1,6
5,1991,1991-09-29,5,23.163,KAN,@,SDG,W 14-13,,0,0,,0,,,,,,,,
6,1991,1991-10-07,6,23.171,KAN,,BUF,W 33-6,,2,16,8.00,0,,,0,0,,0,0,0
7,1991,1991-10-13,7,23.177,KAN,,MIA,W 42-7,,3,65,21.67,2,,,0,0,,0,2,12
8,1991,1991-10-20,8,23.184,KAN,@,DEN,L 16-19,,6,78,13.00,0,,,0,0,,0,0,0
9,1991,1991-10-28,9,23.192,KAN,,RAI,W 24-21,,5,45,9.00,1,,,0,0,,0,1,6
10,1991,1991-11-10,10,23.205,KAN,@,RAM,W 27-20,,3,34,11.33,0,,,0,0,,0,0,0
11,1991,1991-11-17,11,23.212,KAN,,DEN,L 20-24,,2,71,35.50,1,,,0,0,,0,1,6
12,1991,1991-11-24,12,23.219,KAN,@,CLE,L 15-20,,3,28,9.33,0,,,0,0,,0,0,0
13,1991,1991-12-01,13,23.226,KAN,@,SEA,W 19-6,,4,49,12.25,0,,,0,0,,0,0,0
14,1991,1991-12-08,14,23.233,KAN,,SDG,W 20-17,,4,44,11.00,0,,,0,0,,0,0,0
15,1991,1991-12-14,15,23.239,KAN,@,SFO,L 14-28,,1,51,51.00,0,,,0,0,,0,0,0
16,1991,1991-12-22,16,23.247,KAN,@,RAI,W 27-21,,0,0,,0,,,,,,,,
17,1992,1992-09-06,1,24.140,KAN,@,SDG,W 24-10,4,2,29,14.50,0,50.0%,7.25,0,0,,0,0,0
18,1992,1992-09-13,2,24.147,KAN,,SEA,W 26-7,2,1,12,12.00,0,50.0%,6.00,0,0,,0,0,0
19,1992,1992-09-20,3,24.154,KAN,@,HOU,L 20-23,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0
