ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2016,2016-12-18,14,23.351,JAX,@,HOU,L 20-21,,0,0,,0
2,2016,2016-12-24,15,23.357,JAX,,TEN,W 38-17,,0,0,,0
3,2016,2017-01-01,16,23.365,JAX,@,IND,L 20-24,,2,11,5.50,0
4,2017,2017-12-24,15,24.356,ARI,,NYG,W 23-0,,1,-2,-2.00,0
5,2017,2017-12-31,16,24.363,ARI,@,SEA,W 26-24,,0,0,,0
