ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-11-07,9,22.335,SDG,,NOR,W 43-17,,0,0,,0,0,0,,0,,,,3,-4,-1.33,0,0,0,0,,0,0.0%,,,0,0,0.0,,
2,2004,2005-01-02,16,23.025,SDG,,KAN,W 24-17,,5,8,62.50,33,1,0,110.9,1,10,4.13,6.63,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
3,2005,2005-10-23,7,23.319,SDG,@,PHI,L 17-20,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0.0,,
4,2005,2005-11-20,10,23.347,SDG,,BUF,W 48-10,,0,0,,0,0,0,,0,,,,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
5,2005,2005-12-31,16,24.023,SDG,,DEN,L 7-23,,12,22,54.55,115,0,1,50.4,3,16,5.23,3.18,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,
6,2006,2006-09-11,1,24.277,SDG,@,OAK,W 27-0,*,8,11,72.73,108,1,0,133.9,0,0,9.82,11.64,3,2,0.67,0,0,0,0,,0,0.0%,,,0,0,0.0,,
7,2006,2006-09-17,2,24.283,SDG,,TEN,W 40-7,*,25,35,71.43,235,1,0,99.1,0,0,6.71,7.29,3,10,3.33,0,0,0,0,,0,0.0%,,,0,0,0.0,,
8,2006,2006-10-01,3,24.297,SDG,@,BAL,L 13-16,*,13,22,59.09,145,1,1,75.0,1,11,6.59,5.45,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
9,2006,2006-10-08,4,24.304,SDG,,PIT,W 23-13,*,24,37,64.86,242,2,1,90.1,4,20,6.54,6.41,6,24,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
10,2006,2006-10-15,5,24.311,SDG,@,SFO,W 48-19,*,29,39,74.36,334,2,0,116.8,0,0,8.56,9.59,2,2,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
11,2006,2006-10-22,6,24.318,SDG,@,KAN,L 27-30,*,25,43,58.14,266,2,1,82.1,4,15,6.19,6.07,2,2,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
12,2006,2006-10-29,7,24.325,SDG,,STL,W 38-24,*,15,23,65.22,206,1,0,108.2,1,3,8.96,9.83,4,4,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
13,2006,2006-11-05,8,24.332,SDG,,CLE,W 32-25,*,19,28,67.86,211,0,0,90.0,3,20,7.54,7.54,3,-3,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
14,2006,2006-11-12,9,24.339,SDG,@,CIN,W 49-41,*,24,36,66.67,338,3,0,124.5,3,14,9.39,11.06,3,2,0.67,0,0,0,0,,0,0.0%,,,0,0,0.0,,
15,2006,2006-11-19,10,24.346,SDG,@,DEN,W 35-27,*,19,26,73.08,222,2,2,92.1,1,5,8.54,6.62,2,1,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,
16,2006,2006-11-26,11,24.353,SDG,,OAK,W 21-14,*,14,31,45.16,133,0,1,44.2,1,2,4.29,2.84,5,-1,-0.20,0,0,0,0,,0,0.0%,,,0,0,0.0,,
17,2006,2006-12-03,12,24.360,SDG,@,BUF,W 24-21,*,17,29,58.62,160,1,0,85.4,3,22,5.52,6.21,2,-1,-0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,
18,2006,2006-12-10,13,25.002,SDG,,DEN,W 48-20,*,15,23,65.22,279,2,0,136.0,1,3,12.13,13.87,3,1,0.33,0,0,0,0,,0,0.0%,,,0,0,0.0,,
19,2006,2006-12-17,14,25.009,SDG,,KAN,W 20-9,*,8,23,34.78,97,0,2,12.4,2,9,4.22,0.30,4,-2,-0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,
20,2006,2006-12-24,15,25.016,SDG,@,SEA,W 20-17,*,10,30,33.33,181,2,0,77.2,1,9,6.03,7.37,4,6,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,
21,2006,2006-12-31,16,25.023,SDG,,ARI,W 27-20,*,19,24,79.17,231,2,1,117.2,2,11,9.63,9.42,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
22,2007,2007-09-09,1,25.275,SDG,,CHI,W 14-3,*,22,31,70.97,190,0,1,73.3,3,21,6.13,4.68,5,-1,-0.20,0,0,0,0,,0,0.0%,,,0,0,0.0,,
23,2007,2007-09-16,2,25.282,SDG,@,NWE,L 14-38,*,19,30,63.33,179,2,2,74.2,3,30,5.97,4.30,1,6,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
24,2007,2007-09-23,3,25.289,SDG,@,GNB,L 24-31,*,27,36,75.00,306,3,1,116.2,2,15,8.50,8.92,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
25,2007,2007-09-30,4,25.296,SDG,,KAN,L 16-30,*,21,42,50.00,211,0,2,44.8,1,11,5.02,2.88,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,
26,2007,2007-10-07,5,25.303,SDG,@,DEN,W 41-3,*,13,18,72.22,270,2,0,151.4,0,0,15.00,17.22,2,-3,-1.50,1,0,0,0,,0,0.0%,,,1,6,0.0,,
27,2007,2007-10-14,6,25.310,SDG,,OAK,W 28-14,*,14,21,66.67,156,0,1,68.8,0,0,7.43,5.29,2,1,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,
28,2007,2007-10-28,7,25.324,SDG,,HOU,W 35-10,*,7,11,63.64,130,3,0,143.9,1,2,11.82,17.27,4,5,1.25,0,0,0,0,,0,0.0%,,,0,0,0.0,,
29,2007,2007-11-04,8,25.331,SDG,@,MIN,L 17-35,*,19,42,45.24,197,0,1,49.4,1,10,4.69,3.62,3,5,1.67,0,0,0,0,,0,0.0%,,,0,0,0.0,,
30,2007,2007-11-11,9,25.338,SDG,,IND,W 23-21,*,13,24,54.17,104,0,2,30.6,2,18,4.33,0.58,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
31,2007,2007-11-18,10,25.345,SDG,@,JAX,L 17-24,*,22,40,55.00,309,1,2,67.6,0,0,7.73,5.98,2,16,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
