ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2008,2008-10-05,4,22.133,NYG,,SEA,W 44-6,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0
2,2008,2008-10-19,6,22.147,NYG,,SFO,W 29-17,,,,,,,0.0%,,,,,,,,,,
3,2008,2008-10-26,7,22.154,NYG,@,PIT,W 21-14,,1,,,,,0.0%,,,,,,,,,,
4,2008,2008-12-07,13,22.196,NYG,,PHI,L 14-20,,0,0,0,,0,0.0%,,1,-12,-12.00,0,0,0,0.0,0,0
5,2008,2008-12-14,14,22.203,NYG,@,DAL,L 8-20,,1,1,-1,-1.00,0,100.0%,-1.00,0,0,,0,0,0,0.0,0,0
6,2008,2008-12-21,15,22.210,NYG,,CAR,W 34-28,,1,,,,,0.0%,,,,,,,,,,
7,2008,2008-12-28,16,22.217,NYG,@,MIN,L 19-20,,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,0.0,0,0
8,2009,2009-09-13,1,23.111,NYG,,WAS,W 23-17,*,4,3,58,19.33,1,75.0%,14.50,0,0,,0,1,6,0.0,0,0
9,2009,2009-09-20,2,23.118,NYG,@,DAL,W 33-31,,13,10,150,15.00,1,76.9%,11.54,0,0,,0,1,6,0.0,0,0
10,2009,2009-09-27,3,23.125,NYG,@,TAM,W 24-0,*,7,4,55,13.75,0,57.1%,7.86,0,0,,0,0,0,0.0,0,0
11,2009,2009-10-04,4,23.132,NYG,@,KAN,W 27-16,*,8,1,43,43.00,0,12.5%,5.38,0,0,,0,0,0,0.0,1,0
12,2009,2009-10-11,5,23.139,NYG,,OAK,W 44-7,*,3,2,36,18.00,1,66.7%,12.00,0,0,,0,1,6,0.0,0,0
13,2009,2009-10-18,6,23.146,NYG,@,NOR,L 27-48,*,9,4,50,12.50,1,44.4%,5.56,0,0,,0,1,6,0.0,0,0
14,2009,2009-10-25,7,23.153,NYG,,ARI,L 17-24,*,8,4,47,11.75,0,50.0%,5.88,0,0,,0,0,0,0.0,0,0
15,2009,2009-11-08,9,23.167,NYG,,SDG,L 20-21,*,6,6,52,8.67,0,100.0%,8.67,0,0,,0,0,0,0.0,0,0
16,2009,2009-11-22,10,23.181,NYG,,ATL,W 34-31,*,10,6,126,21.00,0,60.0%,12.60,0,0,,0,0,0,0.0,0,0
17,2009,2009-11-26,11,23.185,NYG,@,DEN,L 6-26,*,11,5,48,9.60,0,45.5%,4.36,0,0,,0,0,0,0.0,0,0
18,2009,2009-12-06,12,23.195,NYG,,DAL,W 31-24,*,4,1,10,10.00,0,25.0%,2.50,0,0,,0,0,0,0.0,0,0
19,2009,2009-12-13,13,23.202,NYG,,PHI,L 38-45,,4,2,16,8.00,0,50.0%,4.00,0,0,,0,0,0,0.0,0,0
20,2009,2009-12-21,14,23.210,NYG,@,WAS,W 45-12,,4,3,44,14.67,1,75.0%,11.00,0,0,,0,1,6,0.0,0,0
21,2009,2009-12-27,15,23.216,NYG,,CAR,L 9-41,,8,6,87,14.50,0,75.0%,10.88,0,0,,0,0,0,0.0,1,0
22,2010,2010-09-12,1,24.110,NYG,,CAR,W 31-18,,4,4,85,21.25,0,100.0%,21.25,0,0,,0,0,0,0.0,1,0
23,2010,2010-09-19,2,24.117,NYG,@,IND,L 14-38,*,6,4,75,18.75,1,66.7%,12.50,1,2,2.00,0,1,6,0.0,0,0
24,2010,2010-09-26,3,24.124,NYG,,TEN,L 10-29,,10,6,78,13.00,0,60.0%,7.80,0,0,,0,0,0,0.0,0,0
25,2010,2010-10-03,4,24.131,NYG,,CHI,W 17-3,,1,,,,,0.0%,,,,,,,,,,
26,2010,2010-10-10,5,24.138,NYG,@,HOU,W 34-10,,2,,,,,0.0%,,,,,,,,,,
27,2010,2010-10-17,6,24.145,NYG,,DET,W 28-20,,6,4,51,12.75,1,66.7%,8.50,0,0,,0,1,6,0.0,0,0
28,2010,2010-10-25,7,24.153,NYG,@,DAL,W 41-35,,4,3,40,13.33,1,75.0%,10.00,0,0,,0,1,6,0.0,0,0
29,2010,2010-11-07,8,24.166,NYG,@,SEA,W 41-7,,4,4,56,14.00,0,100.0%,14.00,0,0,,0,0,0,0.0,0,0
30,2010,2010-11-14,9,24.173,NYG,,DAL,L 20-33,*,16,10,91,9.10,1,62.5%,5.69,0,0,,0,1,6,0.0,0,0
31,2010,2010-11-21,10,24.180,NYG,@,PHI,L 17-27,*,3,3,24,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0
32,2010,2010-11-28,11,24.187,NYG,,JAX,W 24-20,*,4,3,61,20.33,1,75.0%,15.25,0,0,,0,1,6,0.0,0,0
33,2010,2010-12-05,12,24.194,NYG,,WAS,W 31-7,*,5,2,36,18.00,0,40.0%,7.20,0,0,,0,0,0,0.0,0,0
34,2010,2010-12-13,13,24.202,NYG,@,MIN,W 21-3,*,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0,0.0,1,0
35,2010,2010-12-19,14,24.208,NYG,,PHI,L 31-38,,12,8,113,14.13,2,66.7%,9.42,0,0,,0,2,12,0.0,0,0
36,2010,2010-12-26,15,24.215,NYG,@,GNB,L 17-45,*,6,4,132,33.00,1,66.7%,22.00,0,0,,0,1,6,0.0,2,0
37,2010,2011-01-02,16,24.222,NYG,@,WAS,W 17-14,*,7,4,101,25.25,1,57.1%,14.43,0,0,,0,1,6,0.0,0,0
38,2011,2011-09-11,1,25.109,NYG,@,WAS,L 14-28,*,7,4,49,12.25,0,57.1%,7.00,0,0,,0,0,0,0.0,0,0
39,2011,2011-09-19,2,25.117,NYG,,STL,W 28-16,*,7,3,56,18.67,0,42.9%,8.00,0,0,,0,0,0,0.0,0,0
40,2011,2011-10-02,4,25.130,NYG,@,ARI,W 31-27,*,5,1,10,10.00,0,20.0%,2.00,0,0,,0,0,0,0.0,0,0
41,2011,2011-10-09,5,25.137,NYG,,SEA,L 25-36,*,9,5,56,11.20,0,55.6%,6.22,0,0,,0,0,0,0.0,0,0
42,2011,2011-10-16,6,25.144,NYG,,BUF,W 27-24,*,8,5,56,11.20,0,62.5%,7.00,0,0,,0,0,0,0.0,0,0
43,2011,2011-10-30,7,25.158,NYG,,MIA,W 20-17,*,9,6,63,10.50,1,66.7%,7.00,0,0,,0,1,6,0.0,0,0
44,2011,2011-11-06,8,25.165,NYG,@,NWE,W 24-20,*,7,3,33,11.00,1,42.9%,4.71,0,0,,0,1,6,0.0,0,0
45,2011,2011-11-13,9,25.172,NYG,@,SFO,L 20-27,*,10,6,77,12.83,1,60.0%,7.70,0,0,,0,1,6,0.0,0,0
46,2011,2011-11-20,10,25.179,NYG,,PHI,L 10-17,*,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,0.0,0,0
47,2011,2011-12-11,13,25.200,NYG,@,DAL,W 37-34,*,8,2,62,31.00,1,25.0%,7.75,0,0,,0,1,6,0.0,0,0
48,2011,2011-12-18,14,25.207,NYG,,WAS,L 10-23,,5,3,57,19.00,0,60.0%,11.40,0,0,,0,0,0,0.0,0,0
49,2011,2012-01-01,16,25.221,NYG,,DAL,W 31-14,,,,,,,0.0%,,,,,,,,,,
50,2012,2012-09-09,1,26.107,SFO,@,GNB,W 30-22,,4,4,29,7.25,0,100.0%,7.25,0,0,,0,0,0,0.0,0,0
51,2012,2012-09-16,2,26.114,SFO,,DET,W 27-19,*,4,3,28,9.33,0,75.0%,7.00,1,29,29.00,0,0,0,0.0,0,0
52,2012,2012-09-23,3,26.121,SFO,@,MIN,L 13-24,,5,5,56,11.20,0,100.0%,11.20,0,0,,0,0,0,0.0,0,0
53,2012,2012-09-30,4,26.128,SFO,@,NYJ,W 34-0,*,5,3,47,15.67,0,60.0%,9.40,1,28,28.00,0,0,0,0.0,0,0
54,2012,2012-10-07,5,26.135,SFO,,BUF,W 45-3,*,5,4,26,6.50,1,80.0%,5.20,0,0,,0,1,6,0.0,0,0
55,2012,2012-10-14,6,26.142,SFO,,NYG,L 3-26,*,10,5,72,14.40,0,50.0%,7.20,1,7,7.00,0,0,0,0.0,0,0
56,2012,2012-10-29,8,26.157,SFO,@,ARI,W 24-3,*,4,4,20,5.00,0,100.0%,5.00,0,0,,0,0,0,0.0,0,0
57,2012,2012-11-11,9,26.170,SFO,,STL,T 24-24,*,3,1,20,20.00,0,33.3%,6.67,0,0,,0,0,0,0.0,0,0
58,2012,2012-11-19,10,26.178,SFO,,CHI,W 32-7,*,2,2,45,22.50,0,100.0%,22.50,0,0,,0,0,0,0.0,0,0
59,2012,2012-11-25,11,26.184,SFO,@,NOR,W 31-21,*,5,5,69,13.80,0,100.0%,13.80,0,0,,0,0,0,0.0,0,0
60,2012,2012-12-02,12,26.191,SFO,@,STL,L 13-16,*,6,5,37,7.40,0,83.3%,6.17,0,0,,0,0,0,0.0,0,0
61,2012,2012-12-23,15,26.212,SFO,@,SEA,L 13-42,*,4,1,0,0.00,0,25.0%,0.00,0,0,,0,0,0,0.0,0,0
62,2013,2013-11-10,9,27.169,SFO,,CAR,L 9-10,*,6,3,30,10.00,0,50.0%,5.00,0,0,,0,0,0,0.0,0,0
63,2013,2013-11-17,10,27.176,SFO,@,NOR,L 20-23,*,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,0.0,0,0
64,2013,2013-11-25,11,27.184,SFO,@,WAS,W 27-6,*,7,4,45,11.25,0,57.1%,6.43,0,0,,0,0,0,0.0,0,0
65,2013,2013-12-01,12,27.190,SFO,,STL,W 23-13,,,,,,,0.0%,,,,,,,,,,
66,2013,2013-12-08,13,27.197,SFO,,SEA,W 19-17,,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
67,2013,2013-12-15,14,27.204,SFO,@,TAM,W 33-14,,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0,0.0,0,0
