ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1991,1991-09-01,1,23.071,BUF,,MIA,W 35-31,0,0,,0,,0,0,,0,,,3,54,18.00,0
2,1991,1991-09-08,2,23.078,BUF,,PIT,W 52-34,0,0,,0,,0,0,,0,,,1,15,15.00,0
3,1991,1991-09-15,3,23.085,BUF,@,NYJ,W 23-20,0,0,,0,,0,0,,0,,,3,47,15.67,0
4,1991,1991-09-22,4,23.092,BUF,@,TAM,W 17-10,,,,,,,,,,,,0,0,,0
5,1991,1991-09-29,5,23.099,BUF,,CHI,W 35-20,0,0,,0,,0,0,,0,,,1,9,9.00,0
6,1992,1992-09-06,1,24.076,BUF,,RAM,W 40-7,0,0,,0,,0,0,,0,0.0%,,0,0,,0
7,1992,1992-09-13,2,24.083,BUF,@,SFO,W 34-31,1,3,3.00,0,,0,0,,0,0.0%,,3,39,13.00,0
8,1992,1992-09-20,3,24.090,BUF,,IND,W 38-0,3,27,9.00,0,,0,0,,0,0.0%,,0,0,,0
9,1992,1992-09-27,4,24.097,BUF,@,NWE,W 41-7,2,9,4.50,0,,0,0,,0,0.0%,,0,0,,0
10,1992,1992-10-04,5,24.104,BUF,,MIA,L 10-37,0,0,,0,1,0,0,,0,0.0%,0.00,1,28,28.00,0
11,1992,1992-10-11,6,24.111,BUF,@,RAI,L 3-20,0,0,,0,4,2,17,8.50,0,50.0%,4.25,1,16,16.00,0
12,1992,1992-11-01,8,24.132,BUF,,NWE,W 16-7,0,0,,0,,0,0,,0,0.0%,,0,0,,0
13,1992,1992-11-08,9,24.139,BUF,,PIT,W 28-20,0,0,,0,,0,0,,0,0.0%,,3,51,17.00,0
14,1993,1993-11-21,10,25.152,BUF,,IND,W 23-9,,,,,,,,,,0.0%,,,,,
15,1993,1993-11-28,11,25.159,BUF,@,KAN,L 7-23,,,,,,,,,,0.0%,,,,,
16,1993,1993-12-05,12,25.166,BUF,,RAI,L 24-25,,,,,,,,,,0.0%,,,,,
17,1993,1993-12-12,13,25.173,BUF,@,PHI,W 10-7,,,,,,,,,,0.0%,,,,,
18,1993,1993-12-19,14,25.180,BUF,@,MIA,W 47-34,,,,,,,,,,0.0%,,,,,
19,1993,1993-12-26,15,25.187,BUF,,NYJ,W 16-14,,,,,,,,,,0.0%,,,,,
20,1993,1994-01-02,16,25.194,BUF,@,IND,W 30-10,,,,,,,,,,0.0%,,,,,
