ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1999,1999-09-12,1,23.101,CHI,,KAN,W 20-17,,2,2,100.0,2,2,100.0,0,8
2,1999,1999-09-19,2,23.108,CHI,,SEA,L 13-14,,1,1,100.0,2,4,50.0,0,7
