ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1995,1995-11-05,9,23.073,NOR,,STL,W 19-10,,0,0,,0,0.0%,,,,,,,
2,1995,1995-11-12,10,23.080,NOR,,IND,W 17-14,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0
3,1995,1995-11-19,11,23.087,NOR,@,MIN,L 24-43,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0
4,1995,1995-11-26,12,23.094,NOR,,CAR,W 34-26,,0,0,,0,0.0%,,,,,,,
5,1995,1995-12-03,13,23.101,NOR,@,NWE,W 31-17,,0,0,,0,0.0%,,,,,,,
6,1995,1995-12-10,14,23.108,NOR,@,ATL,L 14-19,1,0,0,,0,0.0%,0.00,,,,,,
7,1995,1995-12-16,15,23.114,NOR,,GNB,L 23-34,4,4,56,14.00,0,100.0%,14.00,0,0,,0,0,0
8,1995,1995-12-24,16,23.122,NOR,@,NYJ,W 12-0,1,0,0,,0,0.0%,0.00,,,,,,
9,1996,1996-09-01,1,24.008,NOR,@,SFO,L 11-27,,0,0,,0,0.0%,,0,0,,0,0,
10,1996,1996-09-08,2,24.015,NOR,,CAR,L 20-22,1,0,0,,0,0.0%,0.00,0,0,,0,0,
11,1996,1996-09-15,3,24.022,NOR,@,CIN,L 15-30,4,2,25,12.50,0,50.0%,6.25,0,0,,0,0,0
12,1996,1996-09-22,4,24.029,NOR,,ARI,L 14-28,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0
13,1996,1996-09-29,5,24.036,NOR,@,BAL,L 10-17,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0
14,1996,1996-10-06,6,24.043,NOR,,JAX,W 17-13,3,1,9,9.00,0,33.3%,3.00,0,0,,0,0,0
15,1996,1996-10-13,7,24.050,NOR,,CHI,W 27-24,1,1,28,28.00,1,100.0%,28.00,0,0,,0,1,6
16,1996,1996-10-20,8,24.057,NOR,@,CAR,L 7-19,2,1,16,16.00,0,50.0%,8.00,0,0,,0,0,0
17,1996,1996-11-03,9,24.071,NOR,,SFO,L 17-24,8,2,18,9.00,0,25.0%,2.25,0,0,,0,0,0
18,1996,1996-11-10,10,24.078,NOR,,HOU,L 14-31,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0
19,1996,1996-11-17,11,24.085,NOR,@,ATL,L 15-17,3,0,0,,0,0.0%,0.00,0,0,,0,0,
20,1996,1996-11-24,12,24.092,NOR,@,TAM,L 7-13,,0,0,,0,0.0%,,0,0,,0,0,
21,1996,1996-12-08,14,24.106,NOR,,ATL,L 15-31,8,3,29,9.67,0,37.5%,3.63,0,0,,0,0,0
22,1996,1996-12-15,15,24.113,NOR,@,NYG,W 17-3,2,0,0,,0,0.0%,0.00,0,0,,0,0,
23,1996,1996-12-21,16,24.119,NOR,@,STL,L 13-14,4,1,6,6.00,0,25.0%,1.50,1,2,2.00,0,0,0
