ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1998,1998-09-06,1,24.201,JAX,@,CHI,W 24-23,,0,0,,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0
2,1998,1998-09-13,2,24.208,JAX,,KAN,W 21-16,,1,1,1.00,0,1,1,5,5.00,0,100.0%,5.00,1,65,65.00,0,0,0
3,1998,1998-09-20,3,24.215,JAX,,BAL,W 24-10,,4,26,6.50,0,1,1,-1,-1.00,0,100.0%,-1.00,2,33,16.50,0,0,0
4,1998,1998-09-27,4,24.222,JAX,@,TEN,W 27-22,,4,8,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
5,1998,1998-10-12,5,24.237,JAX,,MIA,W 28-21,,9,75,8.33,0,1,1,6,6.00,0,100.0%,6.00,2,35,17.50,0,0,0
6,1998,1998-10-18,6,24.243,JAX,@,BUF,L 16-17,,8,30,3.75,1,0,0,0,,0,0.0%,,0,0,,0,1,6
7,1999,1999-09-12,1,25.207,JAX,,SFO,W 41-3,,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
8,1999,1999-09-19,2,25.214,JAX,@,CAR,W 22-20,,8,43,5.38,0,1,1,6,6.00,0,100.0%,6.00,1,18,18.00,0,0,0
9,1999,1999-09-26,3,25.221,JAX,,TEN,L 19-20,,1,0,0.00,0,1,1,7,7.00,0,100.0%,7.00,2,36,18.00,0,0,0
10,1999,1999-10-03,4,25.228,JAX,@,PIT,W 17-3,,1,2,2.00,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0
11,1999,1999-10-11,5,25.236,JAX,@,NYJ,W 16-6,,3,14,4.67,0,0,3,26,8.67,0,,,0,0,,0,0,0
12,1999,1999-10-17,6,25.242,JAX,,CLE,W 24-7,,1,1,1.00,0,6,5,40,8.00,0,83.3%,6.67,1,12,12.00,0,0,0
13,1999,1999-10-31,7,25.256,JAX,@,CIN,W 41-10,*,6,12,2.00,0,4,2,50,25.00,0,50.0%,12.50,0,0,,0,0,0
14,1999,1999-11-07,8,25.263,JAX,@,ATL,W 30-7,,1,12,12.00,0,1,1,5,5.00,0,100.0%,5.00,1,12,12.00,0,0,0
