ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2008,2008-11-30,12,23.210,CLE,,IND,L 6-10,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0.0,0,0
2,2008,2008-12-07,13,23.217,CLE,@,TEN,L 9-28,,,,,,,0.0%,,,,,,,,
3,2008,2008-12-15,14,23.225,CLE,@,PHI,L 10-30,,2,,,,,0.0%,,,,,,,,
4,2008,2008-12-21,15,23.231,CLE,,CIN,L 0-14,,1,,,,,0.0%,,,,,,,,
5,2008,2008-12-28,16,23.238,CLE,@,PIT,L 0-31,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0.0,0,0
6,2010,2010-12-05,12,25.215,DAL,@,IND,W 38-35,,,,,,,0.0%,,,,,,,,
7,2010,2010-12-12,13,25.222,DAL,,PHI,L 27-30,*,,,,,,0.0%,,,,,,,,
8,2010,2010-12-19,14,25.229,DAL,,WAS,W 33-30,,,,,,,0.0%,,,,,,,,
9,2010,2010-12-25,15,25.235,DAL,@,ARI,L 26-27,,,,,,,0.0%,,,,,,,,
10,2010,2011-01-02,16,25.243,DAL,@,PHI,W 14-13,,0,0,0,,0,0.0%,,1,16,16.00,0,0.0,0,1
11,2011,2011-09-11,1,26.130,DAL,@,NYJ,L 24-27,,,,,,,0.0%,,,,,,,,
12,2011,2011-10-30,8,26.179,JAX,@,HOU,L 14-24,,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
