ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,2017,2017-09-10,1,23.077,LAR,,IND,W 46-9,*,1,1,39,39.00,0,100.0%,39.00,0,0,,0,0,0
2,2017,2017-09-17,2,23.084,LAR,,WAS,L 20-27,,3,3,95,31.67,0,100.0%,31.67,0,0,,0,0,0
3,2017,2017-09-21,3,23.088,LAR,@,SFO,W 41-39,,0,0,0,,0,0.0%,,0,0,,0,0,0
4,2017,2017-10-01,4,23.098,LAR,@,DAL,W 35-30,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0
5,2017,2017-10-08,5,23.105,LAR,,SEA,L 10-16,,3,1,8,8.00,0,33.3%,2.67,0,0,,0,0,0
6,2017,2017-10-15,6,23.112,LAR,@,JAX,W 27-17,,3,1,4,4.00,1,33.3%,1.33,0,0,,0,1,6
7,2017,2017-10-22,7,23.119,LAR,,ARI,W 33-0,,0,0,0,,0,0.0%,,0,0,,0,0,0
8,2017,2017-11-05,8,23.133,LAR,@,NYG,W 51-17,,2,1,44,44.00,0,50.0%,22.00,1,13,13.00,0,0,0
9,2017,2017-11-12,9,23.140,LAR,,HOU,W 33-7,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
10,2017,2017-11-19,10,23.147,LAR,@,MIN,L 7-24,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0
11,2017,2017-11-26,11,23.154,LAR,,NOR,W 26-20,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0
12,2017,2017-12-03,12,23.161,LAR,@,ARI,W 32-16,,4,2,7,3.50,1,50.0%,1.75,0,0,,0,1,6
13,2017,2017-12-10,13,23.168,LAR,,PHI,L 35-43,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
14,2017,2017-12-17,14,23.175,LAR,@,SEA,W 42-7,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
15,2017,2017-12-24,15,23.182,LAR,@,TEN,W 27-23,,0,0,0,,0,0.0%,,0,0,,0,0,0
16,2017,2017-12-31,16,23.189,LAR,,SFO,L 13-34,,6,3,16,5.33,0,50.0%,2.67,0,0,,0,0,0
17,2018,2018-09-10,1,24.077,LAR,@,OAK,W 33-13,,0,0,0,,0,0.0%,,0,0,,0,0,0
18,2018,2018-09-16,2,24.083,LAR,,ARI,W 34-0,,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0
19,2018,2018-09-23,3,24.090,LAR,,LAC,W 35-23,,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0
20,2018,2018-09-27,4,24.094,LAR,,MIN,W 38-31,,1,1,13,13.00,0,100.0%,13.00,0,0,,0,0,0
