ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2004,2004-10-24,7,20.340,ATL,@,KAN,L 10-56,,0,,,,,0.0%,,,,,,,,,,,,,,,,,
2,2004,2004-10-31,8,20.347,ATL,@,DEN,W 41-28,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
3,2004,2004-11-14,9,20.361,ATL,,TAM,W 24-14,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
4,2004,2004-11-21,10,21.002,ATL,@,NYG,W 14-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
5,2004,2004-11-28,11,21.009,ATL,,NOR,W 24-21,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,2,0
6,2004,2004-12-05,12,21.016,ATL,@,TAM,L 0-27,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
7,2004,2004-12-12,13,21.023,ATL,,OAK,W 35-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.5,,,0,0,0
8,2004,2004-12-18,14,21.029,ATL,,CAR,W 34-31,*,0,0,0,,0,0.0%,,1,48,48.00,0,0,0,,0,0,0,0.0,,,0,0,0
9,2004,2004-12-26,15,21.037,ATL,@,NOR,L 13-26,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
10,2004,2005-01-02,16,21.044,ATL,@,SEA,L 26-28,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6,0.0,,,1,48,1
11,2005,2005-09-12,1,21.297,ATL,,PHI,W 14-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,38,0
12,2005,2005-09-18,2,21.303,ATL,@,SEA,L 18-21,*,0,0,0,,0,0.0%,,0,0,,0,1,27,27.00,0,0,0,0.0,,,0,0,0
13,2005,2005-09-25,3,21.310,ATL,@,BUF,W 24-16,*,0,0,0,,0,0.0%,,0,0,,0,1,10,10.00,0,0,0,0.0,,,1,3,0
14,2005,2005-10-02,4,21.317,ATL,,MIN,W 30-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,37,0
15,2005,2005-10-09,5,21.324,ATL,,NWE,L 28-31,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
16,2005,2005-10-16,6,21.331,ATL,@,NOR,W 34-31,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
17,2005,2005-10-24,7,21.339,ATL,,NYJ,W 27-14,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
18,2005,2005-11-06,8,21.352,ATL,@,MIA,W 17-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
19,2005,2005-11-13,9,21.359,ATL,,GNB,L 25-33,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
20,2005,2005-11-20,10,22.001,ATL,,TAM,L 27-30,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
21,2005,2005-11-24,11,22.005,ATL,@,DET,W 27-7,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,34,0
22,2005,2005-12-04,12,22.015,ATL,@,CAR,L 6-24,*,0,0,0,,0,0.0%,,1,23,23.00,0,1,17,17.00,0,0,0,0.0,,,0,0,0
23,2005,2005-12-12,13,22.023,ATL,,NOR,W 36-17,*,0,0,0,,0,0.0%,,1,22,22.00,0,4,28,7.00,0,0,0,0.0,,,0,0,0
24,2005,2005-12-18,14,22.029,ATL,@,CHI,L 3-16,*,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,0,0,0.0,,,0,0,0
25,2005,2005-12-24,15,22.035,ATL,@,TAM,L 24-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,65,0
26,2006,2006-09-10,1,22.295,ATL,@,CAR,W 20-6,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
27,2006,2006-09-17,2,22.302,ATL,,TAM,W 14-3,*,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,,2,78,0
28,2006,2006-09-25,3,22.310,ATL,@,NOR,L 3-23,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
29,2006,2006-10-01,4,22.316,ATL,,ARI,W 32-10,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,6,0.0,,,1,37,1
30,2006,2006-10-15,5,22.330,ATL,,NYG,L 14-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,16,0
31,2006,2006-10-22,6,22.337,ATL,,PIT,W 41-38,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
32,2006,2006-10-29,7,22.344,ATL,@,CIN,W 29-27,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
33,2006,2006-11-05,8,22.351,ATL,@,DET,L 14-30,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
34,2006,2006-11-12,9,22.358,ATL,,CLE,L 13-17,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
35,2006,2006-11-19,10,23.000,ATL,@,BAL,L 10-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
36,2006,2006-11-26,11,23.007,ATL,,NOR,L 13-31,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
37,2006,2006-12-03,12,23.014,ATL,@,WAS,W 24-14,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
38,2006,2006-12-10,13,23.021,ATL,@,TAM,W 17-6,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
39,2006,2006-12-16,14,23.027,ATL,,DAL,L 28-38,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
40,2006,2006-12-24,15,23.035,ATL,,CAR,L 3-10,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
41,2006,2006-12-31,16,23.042,ATL,@,PHI,L 17-24,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
42,2007,2007-09-09,1,23.294,ATL,@,MIN,L 3-24,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,,1,19,0
43,2007,2007-09-16,2,23.301,ATL,@,JAX,L 7-13,*,0,,,,,0.0%,,,,,,,,,,,,,,,,,
