ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1967,1967-09-09,1,22.301,HOU,,KAN,L 20-25,0,0,,0,0,0,,0,0,0,1,78,0
2,1967,1967-10-15,5,22.337,HOU,@,NYJ,T 28-28,0,0,,0,0,0,,0,1,6,1,43,1
3,1967,1967-12-03,11,23.021,HOU,,MIA,W 17-14,1,16,16.00,0,0,0,,0,0,0,0,0,0
4,1967,1967-12-16,13,23.034,HOU,,SDG,W 24-17,1,24,24.00,0,0,0,,0,0,0,0,0,0
5,1967,1967-12-23,14,23.041,HOU,@,MIA,W 41-10,0,0,,0,0,0,,0,1,6,2,30,1
6,1968,1968-09-14,2,23.307,HOU,@,MIA,W 24-10,1,13,13.00,0,0,0,,0,1,6,1,66,1
7,1968,1968-09-21,3,23.314,HOU,@,SDG,L 14-30,0,0,,0,0,0,,0,0,0,1,16,0
8,1968,1968-10-13,6,23.336,HOU,@,BOS,W 16-0,0,0,,0,0,0,,0,0,0,1,19,0
9,1968,1968-10-27,8,23.350,HOU,@,BUF,W 30-7,0,0,,0,0,0,,0,0,0,1,37,0
10,1968,1968-12-15,14,24.033,HOU,,BOS,W 45-17,0,0,,0,0,0,,0,1,6,1,22,1
11,1969,1969-09-21,2,24.313,HOU,@,BUF,W 17-3,0,0,,0,0,0,,0,0,0,2,36,0
12,1969,1969-10-05,4,24.327,HOU,,BUF,W 28-14,0,0,,0,0,0,,0,1,6,1,51,1
13,1969,1969-10-20,6,24.342,HOU,@,NYJ,L 17-26,0,0,,0,0,0,,0,0,0,1,0,0
14,1969,1969-11-27,12,25.015,HOU,,SDG,L 17-21,0,20,,0,,,,,,,,,
15,1969,1969-12-14,14,25.032,HOU,,BOS,W 27-23,0,7,,0,,,,,,,,,
16,1970,1970-09-20,1,25.312,HOU,@,PIT,W 19-7,,,,,,,,,,,0,8,0
17,1970,1970-09-27,2,25.319,HOU,,MIA,L 10-20,,,,,,,,,,,,,
18,1970,1970-10-04,3,25.326,HOU,@,CIN,W 20-13,,,,,,,,,,,,,
19,1970,1970-10-11,4,25.333,HOU,,BAL,L 20-24,0,0,,0,1,0,0.00,0,0,0,0,0,0
20,1970,1970-10-18,5,25.340,HOU,,PIT,L 3-7,0,0,,0,0,0,,0,0,0,1,7,0
21,1970,1970-10-25,6,25.347,HOU,@,SDG,T 31-31,0,0,,0,0,0,,0,0,0,1,8,0
22,1970,1970-11-01,7,25.354,HOU,@,STL,L 0-44,,,,,,,,,,,,,
23,1970,1970-11-08,8,25.361,HOU,@,KAN,L 9-24,,,,,,,,,,,,,
24,1970,1970-11-15,9,26.003,HOU,,SFO,L 20-30,,,,,,,,,,,,,
25,1970,1970-11-22,10,26.010,HOU,@,CLE,L 14-28,,,,,,,,,,,,,
26,1970,1970-11-29,11,26.017,HOU,,DEN,W 31-21,,,,,,,,,,,,,
27,1970,1970-12-07,12,26.025,HOU,,CLE,L 10-21,0,0,,0,1,3,3.00,0,0,0,1,9,0
28,1970,1970-12-13,13,26.031,HOU,,CIN,L 20-30,0,0,,0,2,10,5.00,0,0,0,0,0,0
29,1970,1970-12-20,14,26.038,HOU,@,DAL,L 10-52,,,,,,,,,,,,,
30,1971,1971-09-19,1,26.311,HOU,@,CLE,L 0-31,,,,,,,,,,,,,
31,1971,1971-09-26,2,26.318,HOU,,KAN,L 16-20,0,0,,0,2,22,11.00,0,0,0,0,0,0
32,1971,1971-10-03,3,26.325,HOU,,NOR,T 13-13,0,0,,0,2,8,4.00,0,0,0,0,0,0
33,1971,1971-10-10,4,26.332,HOU,@,WAS,L 13-22,0,0,,0,1,1,1.00,0,0,0,0,0,0
34,1971,1971-10-17,5,26.339,HOU,,DET,L 7-31,0,0,,0,1,6,6.00,0,0,0,1,32,0
35,1971,1971-10-24,6,26.346,HOU,@,PIT,L 16-23,0,0,,0,0,0,,0,0,0,3,28,0
36,1971,1971-10-31,7,26.353,HOU,,CIN,W 10-6,0,0,,0,3,14,4.67,0,1,6,1,48,1
37,1971,1971-11-07,8,26.360,HOU,@,NWE,L 20-28,,,,,,,,,,,,,
38,1971,1971-11-14,9,27.002,HOU,@,OAK,L 21-41,,,,,,,,,,,,,
39,1971,1971-11-21,10,27.009,HOU,@,CIN,L 13-28,,,,,,,,,,,,,
40,1971,1971-11-28,11,27.016,HOU,,CLE,L 24-37,0,0,,0,1,8,8.00,0,0,0,1,31,0
41,1971,1971-12-05,12,27.023,HOU,,PIT,W 29-3,0,0,,0,5,26,5.20,0,0,0,0,0,0
42,1971,1971-12-12,13,27.030,HOU,@,BUF,W 20-14,0,0,,0,1,6,6.00,0,1,6,1,17,1
43,1971,1971-12-19,14,27.037,HOU,,SDG,W 49-33,0,0,,0,0,0,,0,2,12,2,64,2
44,1972,1972-09-17,1,27.310,HOU,@,DEN,L 17-30,0,0,,0,4,41,10.25,0,0,0,0,0,0
45,1972,1972-09-24,2,27.317,HOU,@,MIA,L 13-34,0,0,,0,1,3,3.00,0,0,0,0,0,0
46,1972,1972-10-01,3,27.324,HOU,,NYJ,W 26-20,0,0,,0,2,12,6.00,0,0,0,0,0,0
47,1972,1972-10-09,4,27.332,HOU,,OAK,L 0-34,0,0,,0,2,-10,-5.00,0,0,0,0,0,0
48,1972,1972-10-15,5,27.338,HOU,@,PIT,L 7-24,,,,,,,,,,,,,
49,1972,1972-10-22,6,27.345,HOU,,CLE,L 17-23,,,,,,,,,,,,,
50,1972,1972-10-29,7,27.352,HOU,@,CIN,L 7-30,,,,,,,,,,,,,
51,1972,1972-11-05,8,27.359,HOU,@,CLE,L 0-20,0,0,,0,4,19,4.75,0,0,0,0,0,0
52,1972,1972-11-12,9,28.000,HOU,,PHI,L 17-18,0,0,,0,4,10,2.50,0,0,0,0,0,0
53,1972,1972-11-19,10,28.007,HOU,,GNB,L 10-23,0,0,,0,2,42,21.00,0,0,0,0,0,0
54,1972,1972-11-26,11,28.014,HOU,@,SDG,L 20-34,0,0,,0,1,2,2.00,0,0,0,0,0,0
55,1972,1972-12-03,12,28.021,HOU,@,ATL,L 10-20,0,0,,0,1,-3,-3.00,0,0,0,0,0,0
56,1972,1972-12-10,13,28.028,HOU,,PIT,L 3-9,0,0,,0,3,12,4.00,0,0,0,0,0,0
57,1972,1972-12-17,14,28.035,HOU,,CIN,L 17-61,0,0,,0,1,20,20.00,0,0,0,0,0,0
58,1973,1973-09-16,1,28.308,WAS,,SDG,W 38-0,0,0,,0,0,0,,0,0,0,2,22,0
59,1973,1973-09-23,2,28.315,WAS,@,STL,L 27-34,,,,,,,,,,,,,
60,1973,1973-09-30,3,28.322,WAS,@,PHI,W 28-7,,,,,,,,,,,,,
61,1973,1973-10-08,4,28.330,WAS,,DAL,W 14-7,,,,,,,,,,,,,
62,1973,1973-10-14,5,28.336,WAS,@,NYG,W 21-3,0,0,,0,0,0,,0,0,0,2,0,0
63,1973,1973-10-21,6,28.343,WAS,,STL,W 31-13,,,,,,,,,,,,,
64,1973,1973-10-28,7,28.350,WAS,@,NOR,L 3-19,,,,,,,,,,,,,
65,1973,1973-11-05,8,28.358,WAS,@,PIT,L 16-21,,,,,,,,,,,,,
66,1973,1973-11-11,9,28.364,WAS,,SFO,W 33-9,,,,,,,,,,,,,
67,1973,1973-11-18,10,29.006,WAS,,BAL,W 22-14,0,0,,0,0,0,,0,0,0,1,0,0
68,1973,1973-11-22,11,29.010,WAS,@,DET,W 20-0,,,,,,,,,,,,,
69,1973,1973-12-02,12,29.020,WAS,,NYG,W 27-24,,,,,,,,,,,,,
70,1973,1973-12-09,13,29.027,WAS,@,DAL,L 7-27,0,0,,0,0,0,,0,0,0,1,10,0
71,1973,1973-12-16,14,29.034,WAS,,PHI,W 38-20,,,,,,,,,,,,,
72,1974,1974-09-15,1,29.307,WAS,@,NYG,W 13-10,,,,,,,,,,,,,
73,1974,1974-09-22,2,29.314,WAS,,STL,L 10-17,,,,,,,,,,,,,
74,1974,1974-09-30,3,29.322,WAS,,DEN,W 30-3,,,,,,,,,,,,,
75,1974,1974-10-06,4,29.328,WAS,@,CIN,L 17-28,,,,,,,,,,,,,
76,1974,1974-10-13,5,29.335,WAS,,MIA,W 20-17,,,,,,,,,,,,,
77,1974,1974-10-20,6,29.342,WAS,,NYG,W 24-3,,,,,,,,,,,,,
78,1974,1974-10-27,7,29.349,WAS,@,STL,L 20-23,,,,,,,,,,,,,
79,1974,1974-11-03,8,29.356,WAS,@,GNB,W 17-6,0,0,,0,1,8,8.00,0,0,0,0,0,0
80,1974,1974-11-10,9,29.363,WAS,@,PHI,W 27-20,0,0,,0,2,1,0.50,0,0,0,0,0,0
81,1974,1974-11-17,10,30.005,WAS,,DAL,W 28-21,0,0,,0,3,72,24.00,1,1,6,0,0,0
82,1974,1974-11-24,11,30.012,WAS,,PHI,W 26-7,0,0,,0,0,0,,0,0,0,1,37,0
83,1974,1974-11-28,12,30.016,WAS,@,DAL,L 23-24,,,,,,,,,,,,,
