ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1987,1987-11-08,8,23.118,ATL,@,CLE,L 3-38,1,10,10.00,0,1,5,5.00,0,6,120,20.00,0
2,1987,1987-11-15,9,23.125,ATL,,CIN,L 10-16,0,0,,0,0,0,,0,5,80,16.00,0
3,1987,1987-11-22,10,23.132,ATL,@,MIN,L 13-24,1,-3,-3.00,0,0,0,,0,3,69,23.00,0
4,1987,1987-11-29,11,23.139,ATL,,STL,L 21-34,1,6,6.00,0,0,0,,0,4,116,29.00,0
5,1987,1987-12-06,12,23.146,ATL,@,DAL,W 21-10,2,18,9.00,0,0,0,,0,3,55,18.33,0
