ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,1993,1993-09-05,1,22.274,BUF,,NWE,W 38-14,,,,
2,1993,1993-09-12,2,22.281,BUF,@,DAL,W 13-10,,,,
3,1993,1993-09-26,3,22.295,BUF,,MIA,L 13-22,,,,
4,1993,1993-10-03,4,22.302,BUF,,NYG,W 17-14,,,,
5,1993,1993-10-11,5,22.310,BUF,,HOU,W 35-7,,,,
6,1993,1993-10-24,6,22.323,BUF,@,NYJ,W 19-10,,,,
7,1993,1993-11-01,7,22.331,BUF,,WAS,W 24-10,,,,
8,1993,1993-11-07,8,22.337,BUF,@,NWE,W 13-10,,,,
9,1993,1993-11-15,9,22.345,BUF,@,PIT,L 0-23,,,,
10,1993,1993-11-21,10,22.351,BUF,,IND,W 23-9,,,,
11,1993,1993-11-28,11,22.358,BUF,@,KAN,L 7-23,,,,
12,1993,1993-12-05,12,23.000,BUF,,RAI,L 24-25,,,,
13,1993,1993-12-12,13,23.007,BUF,@,PHI,W 10-7,,,,
14,1993,1993-12-19,14,23.014,BUF,@,MIA,W 47-34,,,,
15,1993,1993-12-26,15,23.021,BUF,,NYJ,W 16-14,,,,
16,1993,1994-01-02,16,23.028,BUF,@,IND,W 30-10,,,,
17,1994,1994-09-04,1,23.273,BUF,,NYJ,L 3-23,,,,
18,1994,1994-09-11,2,23.280,BUF,@,NWE,W 38-35,,,,
19,1994,1994-09-18,3,23.287,BUF,@,HOU,W 15-7,,,,
20,1994,1994-09-26,4,23.295,BUF,,DEN,W 27-20,,,,
21,1994,1994-10-02,5,23.301,BUF,@,CHI,L 13-20,,,,
22,1994,1994-10-09,6,23.308,BUF,,MIA,W 21-11,,,,
23,1994,1994-10-16,7,23.315,BUF,,IND,L 17-27,,,,
24,1994,1994-10-30,8,23.329,BUF,,KAN,W 44-10,,,,
25,1994,1994-11-06,9,23.336,BUF,@,NYJ,L 17-22,,,,
26,1994,1994-11-14,10,23.344,BUF,@,PIT,L 10-23,,,,
27,1994,1994-11-20,11,23.350,BUF,,GNB,W 29-20,,,,
28,1994,1994-11-24,12,23.354,BUF,@,DET,L 21-35,,,,
29,1994,1994-12-04,13,23.364,BUF,@,MIA,W 42-31,,,,
30,1994,1994-12-11,14,24.006,BUF,,MIN,L 17-21,,,,
31,1994,1994-12-18,15,24.013,BUF,,NWE,L 17-41,,,,
32,1994,1994-12-24,16,24.019,BUF,@,IND,L 9-10,,1,4,0
33,1995,1995-09-03,1,24.272,BUF,@,DEN,L 7-22,,,,
34,1995,1995-09-10,2,24.279,BUF,,CAR,W 31-9,,,,
35,1995,1995-09-17,3,24.286,BUF,,IND,W 20-14,,,,
36,1995,1995-10-02,4,24.301,BUF,@,CLE,W 22-19,,,,
37,1995,1995-10-08,5,24.307,BUF,,NYJ,W 29-10,,1,13,0
38,1995,1995-10-15,6,24.314,BUF,,SEA,W 27-21,,1,10,0
39,1995,1995-10-23,7,24.322,BUF,@,NWE,L 14-27,,,,
40,1995,1995-10-29,8,24.328,BUF,@,MIA,L 6-23,,,,
41,1995,1995-11-05,9,24.335,BUF,@,IND,W 16-10,,,,
42,1995,1995-11-12,10,24.342,BUF,,ATL,W 23-17,,,,
43,1995,1995-11-19,11,24.349,BUF,@,NYJ,W 28-26,,,,
44,1995,1995-11-26,12,24.356,BUF,,NWE,L 25-35,,,,
45,1995,1995-12-03,13,24.363,BUF,@,SFO,L 17-27,,,,
46,1995,1995-12-10,14,25.005,BUF,@,STL,W 45-27,,,,
47,1995,1995-12-17,15,25.012,BUF,,MIA,W 23-20,,,,
48,1995,1995-12-24,16,25.019,BUF,,HOU,L 17-28,,,,
49,1996,1996-09-01,1,25.271,BUF,@,NYG,W 23-20,,,,
50,1996,1996-09-08,2,25.278,BUF,,NWE,W 17-10,,,,
51,1996,1996-09-16,3,25.286,BUF,@,PIT,L 6-24,,,,
52,1996,1996-09-22,4,25.292,BUF,,DAL,W 10-7,,1,0,0
53,1996,1996-10-06,5,25.306,BUF,,IND,W 16-13,,,,
54,1996,1996-10-13,6,25.313,BUF,,MIA,L 7-21,,,,
55,1996,1996-10-20,7,25.320,BUF,@,NYJ,W 25-22,,,,
56,1996,1996-10-27,8,25.327,BUF,@,NWE,L 25-28,,,,
57,1996,1996-11-03,9,25.334,BUF,,WAS,W 38-13,,,,
58,1996,1996-11-10,10,25.341,BUF,@,PHI,W 24-17,,,,
59,1996,1996-11-17,11,25.348,BUF,,CIN,W 31-17,,,,
60,1996,1996-11-24,12,25.355,BUF,,NYJ,W 35-10,,,,
61,1996,1996-12-01,13,25.362,BUF,@,IND,L 10-13,,,,
62,1996,1996-12-08,14,26.003,BUF,@,SEA,L 18-26,,,,
63,1996,1996-12-16,15,26.011,BUF,@,MIA,L 14-16,,,,
64,1996,1996-12-22,16,26.017,BUF,,KAN,W 20-9,,,,
65,1997,1997-08-31,1,26.269,BUF,,MIN,L 13-34,,,,
66,1997,1997-09-07,2,26.276,BUF,@,NYJ,W 28-22,,,,
67,1997,1997-09-14,3,26.283,BUF,@,KAN,L 16-22,,,,
68,1997,1997-09-21,4,26.290,BUF,,IND,W 37-35,,,,
69,1997,1997-10-05,5,26.304,BUF,,DET,W 22-13,,,,
70,1997,1997-10-12,6,26.311,BUF,@,NWE,L 6-33,,,,
71,1997,1997-10-20,7,26.319,BUF,@,IND,W 9-6,,,,
72,1997,1997-10-26,8,26.325,BUF,,DEN,L 20-23,,,,
73,1997,1997-11-02,9,26.332,BUF,,MIA,W 9-6,,,,
74,1997,1997-11-09,10,26.339,BUF,,NWE,L 10-31,,,,
75,1997,1997-11-17,11,26.347,BUF,@,MIA,L 13-30,,,,
76,1997,1997-11-23,12,26.353,BUF,@,TEN,L 14-31,,,,
77,1997,1997-11-30,13,26.360,BUF,,NYJ,W 20-10,,,,
78,1997,1997-12-07,14,27.002,BUF,@,CHI,L 3-20,,,,
79,1997,1997-12-14,15,27.009,BUF,,JAX,L 14-20,,,,
80,1997,1997-12-20,16,27.015,BUF,@,GNB,L 21-31,,,,
81,1998,1998-09-06,1,27.275,BUF,@,SDG,L 14-16,,,,
82,1998,1998-09-13,2,27.282,BUF,@,MIA,L 7-13,,,,
83,1998,1998-09-20,3,27.289,BUF,,STL,L 33-34,,,,
84,1998,1998-10-04,4,27.303,BUF,,SFO,W 26-21,,,,
85,1998,1998-10-11,5,27.310,BUF,@,IND,W 31-24,,,,
86,1998,1998-10-18,6,27.317,BUF,,JAX,W 17-16,,,,
87,1998,1998-10-25,7,27.324,BUF,@,CAR,W 30-14,,,,
88,1998,1998-11-01,8,27.331,BUF,,MIA,W 30-24,,,,
89,1998,1998-11-08,9,27.338,BUF,@,NYJ,L 12-34,,,,
90,1998,1998-11-15,10,27.345,BUF,,NWE,W 13-10,,,,
91,1998,1998-11-22,11,27.352,BUF,,IND,W 34-11,,,,
92,1998,1998-11-29,12,27.359,BUF,@,NWE,L 21-25,,1,0,0
93,1998,1998-12-06,13,28.001,BUF,@,CIN,W 33-20,,,,
94,1998,1998-12-13,14,28.008,BUF,,OAK,W 44-21,,,,
95,1999,1999-09-12,1,28.281,BUF,@,IND,L 14-31,*,,,
96,1999,1999-09-19,2,28.288,BUF,,NYJ,W 17-3,*,,,
97,1999,1999-09-26,3,28.295,BUF,,PHI,W 26-0,*,,,
98,1999,1999-10-04,4,28.303,BUF,@,MIA,W 23-18,*,,,
99,1999,1999-10-10,5,28.309,BUF,,PIT,W 24-21,*,,,
100,1999,1999-10-17,6,28.316,BUF,,OAK,L 14-20,*,,,
101,1999,1999-10-24,7,28.323,BUF,@,SEA,L 16-26,*,,,
102,1999,1999-10-31,8,28.330,BUF,@,BAL,W 13-10,*,,,
103,1999,1999-11-07,9,28.337,BUF,@,WAS,W 34-17,*,,,
