ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1999,1999-09-12,1,25.328,IND,,BUF,W 31-14,,,,,,,,,,,,,,
2,1999,1999-09-19,2,25.335,IND,@,NWE,L 28-31,*,,,,,,,,,,,,,
3,1999,1999-09-26,3,25.342,IND,@,SDG,W 27-19,,,,,,,,,,,,,,
4,1999,1999-10-10,4,25.356,IND,,MIA,L 31-34,,,,,,,,,,,,,,
5,1999,1999-10-17,5,25.363,IND,@,NYJ,W 16-13,,,,,,,,,,,,,,
6,1999,1999-10-24,6,26.005,IND,,CIN,W 31-10,,2,41,20.50,0,0,0,,0,0,0,0,0,0
7,1999,1999-10-31,7,26.012,IND,,DAL,W 34-24,,,,,,,,,,,,,,
8,1999,1999-11-28,11,26.040,IND,,NYJ,W 13-6,,,,,,,,,,,,,,
9,1999,1999-12-05,12,26.047,IND,@,MIA,W 37-34,,,,,,,,,,,,,,
10,1999,1999-12-12,13,26.054,IND,,NWE,W 20-15,,,,,,,,,,,,,,
11,1999,1999-12-19,14,26.061,IND,,WAS,W 24-21,,,,,,,,,,,,,,
12,2000,2000-09-03,1,26.320,IND,@,KAN,W 27-14,,,,,,,,,,,,,,
13,2000,2000-09-10,2,26.327,IND,,OAK,L 31-38,,2,45,22.50,0,0,0,,0,0,0,0,0,0
14,2000,2000-10-01,4,26.348,IND,@,BUF,W 18-16,,0,,,,0,,,,,,,,
15,2000,2000-10-15,6,26.362,IND,@,SEA,W 37-24,,,,,,,,,,,,,,
16,2000,2000-10-22,7,27.003,IND,,NWE,W 30-23,,,,,,,,,,,,,,
17,2000,2000-10-29,8,27.010,IND,,DET,W 30-18,,,,,,,,,,,,,,
18,2000,2000-11-05,9,27.017,IND,@,CHI,L 24-27,,,,,,,,,,,,,,
19,2000,2000-11-12,10,27.024,IND,,NYJ,W 23-15,,,,,,,,,,,,,,
20,2000,2000-11-19,11,27.031,IND,@,GNB,L 24-26,,0,0,,0,1,0,0.00,0,0,0,0,0,0
21,2000,2000-11-26,12,27.038,IND,,MIA,L 14-17,,0,0,,0,1,4,4.00,0,0,0,0,0,0
22,2000,2000-12-03,13,27.045,IND,@,NYJ,L 17-27,,,,,,,,,,,,,,
23,2000,2000-12-11,14,27.053,IND,,BUF,W 44-20,*,0,0,,0,0,0,,0,1,6,1,40,1
24,2000,2000-12-17,15,27.059,IND,@,MIA,W 20-13,*,,,,,,,,,,,,,
25,2000,2000-12-24,16,27.066,IND,,MIN,W 31-10,*,,,,,,,,,,,,,
