ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1953,1953-09-27,1,21.287,NYG,@,RAM,L 7-21,1,21,21.00,0,0,0,,0
2,1953,1953-10-03,2,21.293,NYG,@,PIT,L 14-24,0,0,,0,4,78,19.50,1
3,1953,1953-11-08,7,21.329,NYG,@,PHI,L 7-30,0,0,,0,2,3,1.50,0
4,1953,1953-11-29,10,21.350,NYG,,PHI,W 37-28,2,6,3.00,0,0,0,,0
5,1953,1953-12-06,11,21.357,NYG,@,CLE,L 14-62,8,16,2.00,0,5,118,23.60,1
6,1953,1953-12-13,12,21.364,NYG,,DET,L 16-27,9,15,1.67,0,3,21,7.00,0
7,1954,1954-09-26,1,22.286,NYG,@,CRD,W 41-10,7,22,3.14,1,3,51,17.00,0
8,1954,1954-10-02,2,22.292,NYG,@,BAL,L 14-20,5,30,6.00,0,1,7,7.00,0
9,1954,1954-10-10,3,22.300,NYG,@,WAS,W 51-21,4,13,3.25,0,2,27,13.50,0
10,1954,1954-10-17,4,22.307,NYG,,CRD,W 31-17,1,2,2.00,0,0,0,,0
11,1954,1954-10-24,5,22.314,NYG,,WAS,W 24-7,0,0,,0,2,41,20.50,1
12,1954,1954-10-31,6,22.321,NYG,@,CLE,L 14-24,8,29,3.63,0,1,3,3.00,0
13,1954,1954-11-07,7,22.328,NYG,@,PIT,W 30-6,1,2,2.00,0,0,0,,0
14,1954,1954-11-21,9,22.342,NYG,,RAM,L 16-17,3,9,3.00,0,2,17,8.50,0
15,1954,1954-12-05,11,22.356,NYG,,PIT,W 24-3,3,-1,-0.33,0,2,32,16.00,0
16,1955,1955-09-24,1,23.284,NYG,@,PHI,L 17-27,0,0,,0,1,10,10.00,0
17,1955,1955-10-02,2,23.292,NYG,@,CRD,L 17-28,0,0,,0,2,31,15.50,0
18,1955,1955-10-09,3,23.299,NYG,@,PIT,L 23-30,0,0,,0,1,34,34.00,1
19,1955,1955-10-16,4,23.306,NYG,,CRD,W 10-0,0,0,,0,2,-11,-5.50,0
