ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1994,1994-11-06,9,23.177,DEN,@,RAM,L 21-27,,,,,,,0.0%,
2,1994,1994-11-13,10,23.184,DEN,,SEA,W 17-10,,,,,,,0.0%,
3,1994,1994-11-20,11,23.191,DEN,,ATL,W 32-28,,,,,,,0.0%,
4,1994,1994-12-04,13,23.205,DEN,@,KAN,W 20-17,,,,,,,0.0%,
5,1994,1994-12-11,14,23.212,DEN,@,RAI,L 13-23,,,,,,,0.0%,
6,1994,1994-12-17,15,23.218,DEN,@,SFO,L 19-42,,,,,,,0.0%,
7,1994,1994-12-24,16,23.225,DEN,,NOR,L 28-30,,,,,,,0.0%,
8,1995,1995-09-03,1,24.113,DEN,,BUF,W 22-7,,,,,,,0.0%,
9,1995,1995-09-10,2,24.120,DEN,@,DAL,L 21-31,,,,,,,0.0%,
10,1995,1995-09-17,3,24.127,DEN,,WAS,W 38-31,,,,,,,0.0%,
11,1995,1995-10-01,5,24.141,DEN,@,SEA,L 10-27,,,,,,,0.0%,
12,1995,1995-10-08,6,24.148,DEN,@,NWE,W 37-3,,,,,,,0.0%,
13,1995,1995-10-16,7,24.156,DEN,,OAK,W 27-0,,,,,,,0.0%,
14,1995,1995-10-22,8,24.162,DEN,,KAN,L 7-21,,,,,,,0.0%,
15,1995,1995-11-05,9,24.176,DEN,,ARI,W 38-6,,,,,,,0.0%,
16,1995,1995-11-12,10,24.183,DEN,@,PHI,L 13-31,,,,,,,0.0%,
17,1995,1995-11-19,11,24.190,DEN,,SDG,W 30-27,,,,,,,0.0%,
18,1995,1995-11-26,12,24.197,DEN,@,HOU,L 33-42,,,,,,,0.0%,
19,1995,1995-12-03,13,24.204,DEN,,JAX,W 31-23,,,,,,,0.0%,
20,1995,1995-12-10,14,24.211,DEN,,SEA,L 27-31,,,,,,,0.0%,
21,1995,1995-12-17,15,24.218,DEN,@,KAN,L 17-20,,,,,,,0.0%,
22,1995,1995-12-24,16,24.225,DEN,@,OAK,W 31-28,,,,,,,0.0%,
23,1996,1996-09-01,1,25.111,DEN,,NYJ,W 31-6,,,,,,,0.0%,
24,1996,1996-09-08,2,25.118,DEN,@,SEA,W 30-20,,,,,,,0.0%,
25,1996,1996-09-15,3,25.125,DEN,,TAM,W 27-23,,,,,,,0.0%,
26,1996,1996-09-22,4,25.132,DEN,@,KAN,L 14-17,,,,,,,0.0%,
27,1996,1996-09-29,5,25.139,DEN,@,CIN,W 14-10,,,,,,,0.0%,
28,1996,1996-10-06,6,25.146,DEN,,SDG,W 28-17,,,,,,,0.0%,
29,1996,1996-10-20,7,25.160,NWE,@,IND,W 27-9,,,,,,,0.0%,
30,1996,1996-10-27,8,25.167,DEN,,KAN,W 34-7,,,,,,,0.0%,
31,1996,1996-11-04,9,25.175,DEN,@,OAK,W 22-21,,,,,,,0.0%,
32,1996,1996-11-10,10,25.181,DEN,,CHI,W 17-12,,,,,,,0.0%,
33,1996,1996-11-17,11,25.188,DEN,@,NWE,W 34-8,,,,,,,0.0%,
34,1996,1996-11-24,12,25.195,DEN,@,MIN,W 21-17,,,,,,,0.0%,
35,1996,1996-12-01,13,25.202,DEN,,SEA,W 34-7,,,,,,,0.0%,
36,1996,1996-12-08,14,25.209,DEN,@,GNB,L 6-41,,,,,,,0.0%,
37,1996,1996-12-15,15,25.216,DEN,,OAK,W 24-19,,,,,,,0.0%,
38,1996,1996-12-22,16,25.223,DEN,@,SDG,L 10-16,,,,,,,0.0%,
