ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2012,2012-09-09,1,23.200,PIT,@,DEN,L 19-31,,,,,,,0.0%,,,,,
2,2012,2012-09-16,2,23.207,PIT,,NYJ,W 27-10,,0,0,0,,0,0.0%,,0,0,,0
3,2012,2012-09-23,3,23.214,PIT,@,OAK,L 31-34,*,,,,,,0.0%,,,,,
4,2012,2012-10-07,4,23.228,PIT,,PHI,W 16-14,*,1,1,8,8.00,0,100.0%,8.00,0,0,,0
5,2012,2012-10-11,5,23.232,PIT,@,TEN,L 23-26,,1,1,8,8.00,0,100.0%,8.00,0,0,,0
6,2012,2012-10-21,6,23.242,PIT,@,CIN,W 24-17,,1,1,7,7.00,0,100.0%,7.00,0,0,,0
7,2012,2012-10-28,7,23.249,PIT,,WAS,W 27-12,,,,,,,0.0%,,,,,
8,2012,2012-11-04,8,23.256,PIT,@,NYG,W 24-20,*,2,1,7,7.00,0,50.0%,3.50,0,0,,0
9,2012,2012-11-12,9,23.264,PIT,,KAN,W 16-13,,2,2,15,7.50,0,100.0%,7.50,0,0,,0
10,2012,2012-11-18,10,23.270,PIT,,BAL,L 10-13,,2,1,6,6.00,0,50.0%,3.00,0,0,,0
11,2012,2012-11-25,11,23.277,PIT,@,CLE,L 14-20,,,,,,,0.0%,,,,,
12,2012,2012-12-02,12,23.284,PIT,@,BAL,W 23-20,,,,,,,0.0%,,,,,
13,2012,2012-12-09,13,23.291,PIT,,SDG,L 24-34,,,,,,,0.0%,,,,,
14,2012,2012-12-16,14,23.298,PIT,@,DAL,L 24-27,*,0,0,0,,0,0.0%,,1,16,16.00,0
15,2012,2012-12-23,15,23.305,PIT,,CIN,L 10-13,,1,0,0,,0,0.0%,0.00,0,0,,0
16,2012,2012-12-30,16,23.312,PIT,,CLE,W 24-10,*,1,0,0,,0,0.0%,0.00,0,0,,0
17,2013,2013-09-08,1,24.198,PIT,,TEN,L 9-16,*,,,,,,0.0%,,,,,
18,2013,2013-09-16,2,24.206,PIT,@,CIN,L 10-20,*,4,3,49,16.33,0,75.0%,12.25,0,0,,0
19,2013,2013-09-22,3,24.212,PIT,,CHI,L 23-40,,2,1,6,6.00,0,50.0%,3.00,0,0,,0
20,2013,2013-09-29,4,24.219,PIT,@,MIN,L 27-34,,,,,,,0.0%,,,,,
21,2013,2013-10-13,5,24.233,PIT,@,NYJ,W 19-6,*,,,,,,0.0%,,,,,
22,2013,2013-10-20,6,24.240,PIT,,BAL,W 19-16,,1,1,17,17.00,0,100.0%,17.00,0,0,,0
23,2013,2013-10-27,7,24.247,PIT,@,OAK,L 18-21,*,,,,,,0.0%,,,,,
24,2013,2013-11-03,8,24.254,PIT,@,NWE,L 31-55,,,,,,,0.0%,,,,,
25,2013,2013-11-10,9,24.261,PIT,,BUF,W 23-10,,,,,,,0.0%,,,,,
26,2013,2013-11-17,10,24.268,PIT,,DET,W 37-27,,2,0,0,,0,0.0%,0.00,0,0,,0
27,2013,2013-11-24,11,24.275,PIT,@,CLE,W 27-11,,,,,,,0.0%,,,,,
28,2013,2013-11-28,12,24.279,PIT,@,BAL,L 20-22,,,,,,,0.0%,,,,,
29,2013,2013-12-08,13,24.289,PIT,,MIA,L 28-34,,,,,,,0.0%,,,,,
30,2013,2013-12-15,14,24.296,PIT,,CIN,W 30-20,,,,,,,0.0%,,,,,
31,2013,2013-12-22,15,24.303,PIT,@,GNB,W 38-31,,1,1,30,30.00,0,100.0%,30.00,0,0,,0
32,2013,2013-12-29,16,24.310,PIT,,CLE,W 20-7,,,,,,,0.0%,,,,,
