ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2006-01-01,16,25.357,MIN,,CHI,W 34-10,,0,0,,0,0,0,,,,,,2,-2,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
2,2007,2007-12-09,13,27.334,SFO,,MIN,L 7-27,,22,27,81.48,181,1,0,106.9,2,8,6.70,7.44,1,3,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,
3,2007,2007-12-15,14,27.340,SFO,,CIN,W 20-13,*,21,28,75.00,197,1,0,105.8,2,16,7.04,7.75,5,12,2.40,1,0,0,0,,0,0.0%,,,1,6,0.0,,
4,2007,2007-12-23,15,27.348,SFO,,TAM,W 21-19,*,11,24,45.83,123,3,1,83.9,2,7,5.13,5.75,6,-1,-0.17,0,0,0,0,,0,0.0%,,,0,0,0.0,,
5,2008,2008-10-26,8,28.291,SFO,,SEA,L 13-34,,15,23,65.22,173,1,0,102.3,2,11,7.52,8.39,2,20,10.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
6,2008,2008-11-10,9,28.306,SFO,@,ARI,L 24-29,*,19,40,47.50,217,2,2,60.1,0,0,5.43,4.18,2,12,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
7,2008,2008-11-16,10,28.312,SFO,,STL,W 35-16,*,15,20,75.00,213,2,0,142.3,2,14,10.65,12.65,3,5,1.67,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0
8,2008,2008-11-23,11,28.319,SFO,@,DAL,L 22-35,*,21,33,63.64,303,2,1,100.9,4,25,9.18,9.03,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
9,2008,2008-11-30,12,28.326,SFO,@,BUF,W 10-3,*,14,23,60.87,161,1,0,96.5,3,28,7.00,7.87,4,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
10,2008,2008-12-07,13,28.333,SFO,,NYJ,W 24-14,*,28,39,71.79,285,2,1,98.8,2,10,7.31,7.18,1,8,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
11,2008,2008-12-14,14,28.340,SFO,@,MIA,L 9-14,*,30,46,65.22,233,0,0,77.5,5,27,5.07,5.07,3,17,5.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
12,2008,2008-12-21,15,28.347,SFO,@,STL,W 17-16,*,18,34,52.94,216,2,3,55.5,4,26,6.35,3.56,4,45,11.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
13,2008,2008-12-28,16,28.354,SFO,,WAS,W 27-24,*,21,30,70.00,245,1,1,91.7,1,7,8.17,7.33,4,8,2.00,1,0,0,0,,0,0.0%,,,1,6,0.0,1,0
14,2009,2009-09-13,1,29.247,SFO,@,ARI,W 20-16,*,18,31,58.06,209,1,0,89.3,4,27,6.74,7.39,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
15,2009,2009-09-20,2,29.254,SFO,,SEA,W 23-10,*,19,26,73.08,144,0,0,86.1,4,21,5.54,5.54,1,17,17.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
16,2009,2009-09-27,3,29.261,SFO,@,MIN,L 24-27,*,15,25,60.00,195,2,1,94.6,1,7,7.80,7.60,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
17,2009,2009-10-04,4,29.268,SFO,,STL,W 35-0,*,14,24,58.33,152,2,0,104.9,4,20,6.33,8.00,2,-2,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
18,2009,2009-10-11,5,29.275,SFO,,ATL,L 10-45,*,15,38,39.47,198,0,1,45.7,3,19,5.21,4.03,4,53,13.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
19,2009,2009-10-25,6,29.289,SFO,@,HOU,L 21-24,*,6,11,54.55,45,0,0,64.6,2,13,4.09,4.09,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
20,2010,2010-09-12,1,30.246,DET,@,CHI,L 14-19,,9,19,47.37,88,0,1,38.9,1,9,4.63,2.26,3,-4,-1.33,0,0,0,0,,0,0.0%,,,0,0,0.0,1,0
21,2010,2010-09-19,2,30.253,DET,,PHI,L 32-35,*,25,45,55.56,335,2,2,75.7,2,6,7.44,6.33,3,16,5.33,0,0,0,0,,0,0.0%,,1,0,2,0.0,0,0
22,2010,2010-09-26,3,30.260,DET,@,MIN,L 10-24,*,29,43,67.44,237,1,2,69.6,1,5,5.51,3.88,2,4,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
23,2010,2010-10-03,4,30.267,DET,@,GNB,L 26-28,*,34,54,62.96,331,2,2,77.0,3,23,6.13,5.20,4,53,13.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
24,2010,2010-10-10,5,30.274,DET,,STL,W 44-6,*,21,32,65.63,227,3,0,117.6,1,5,7.09,8.97,2,9,4.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
25,2010,2010-10-17,6,30.281,DET,@,NYG,L 20-28,*,9,15,60.00,91,1,0,99.6,0,0,6.07,7.40,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,2,1
26,2010,2010-10-31,7,30.295,DET,,WAS,W 37-25,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0.0,1,0
27,2010,2010-11-14,9,30.309,DET,@,BUF,L 12-14,*,29,50,58.00,323,1,1,75.7,1,9,6.46,5.96,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
28,2010,2010-11-21,10,30.316,DET,@,DAL,L 19-35,*,32,47,68.09,289,2,1,89.8,3,26,6.15,6.04,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
29,2010,2010-11-25,11,30.320,DET,,NWE,L 24-45,*,27,46,58.70,285,1,2,65.9,2,8,6.20,4.67,4,23,5.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
30,2010,2010-12-12,13,30.337,DET,,GNB,W 7-3,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0.0,2,2
31,2010,2010-12-26,15,30.351,DET,@,MIA,W 34-27,*,14,26,53.85,222,2,0,108.2,2,14,8.54,10.08,1,10,10.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
32,2010,2011-01-02,16,30.358,DET,,MIN,W 20-13,*,28,39,71.79,258,1,1,87.3,1,8,6.62,5.97,2,11,5.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
33,2011,2011-09-18,2,31.252,DET,,KAN,W 48-3,,1,1,100.00,28,0,0,118.7,0,0,28.00,28.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
34,2011,2011-10-30,8,31.294,DET,@,DEN,W 45-10,,1,2,50.00,5,0,0,56.2,0,0,2.50,2.50,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
35,2012,2012-09-23,3,32.258,DET,@,TEN,L 41-44,,10,13,76.92,172,2,0,157.9,0,0,13.23,16.31,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
36,2013,2013-10-06,5,33.270,DET,@,GNB,L 9-22,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,
37,2013,2013-11-28,12,33.323,DET,,GNB,W 40-10,,0,0,,0,0,0,,0,0,,,2,-2,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
38,2014,2014-09-07,1,34.241,STL,,MIN,L 6-34,*,8,13,61.54,81,0,1,47.3,1,6,6.23,2.77,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
39,2014,2014-11-02,8,34.297,STL,@,SFO,W 13-10,,,,,,,,,,,,,,,,,,,,,,0.0%,,,,,,,
40,2014,2014-11-16,10,34.311,STL,,DEN,W 22-7,*,20,29,68.97,220,1,0,102.7,3,14,7.59,8.28,0,0,,0,1,1,0,0.00,0,100.0%,0.00,,0,0,0.0,0,0
41,2014,2014-11-23,11,34.318,STL,@,SDG,L 24-27,*,18,35,51.43,198,1,2,54.2,1,7,5.66,3.66,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
42,2014,2014-11-30,12,34.325,STL,,OAK,W 52-0,*,13,22,59.09,183,2,0,116.3,1,7,8.32,10.14,2,1,0.50,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0
43,2014,2014-12-07,13,34.332,STL,@,WAS,W 24-0,*,16,22,72.73,213,2,0,133.3,4,15,9.68,11.50,2,-1,-0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
44,2014,2014-12-11,14,34.336,STL,,ARI,L 6-12,*,20,39,51.28,229,0,1,58.6,2,18,5.87,4.72,3,11,3.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
