ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1986,1986-09-07,1,23.343,PIT,@,SEA,L 0-30,2,0,0.00,0,0,0,,0
2,1986,1986-09-15,2,23.351,PIT,,DEN,L 10-21,0,0,,0,1,14,14.00,0
3,1986,1986-09-21,3,23.357,PIT,@,MIN,L 7-31,0,0,,0,0,0,,0
4,1986,1986-09-28,4,23.364,PIT,@,HOU,W 22-16,1,2,2.00,0,1,11,11.00,0
5,1986,1986-10-05,5,24.006,PIT,,CLE,L 24-27,0,0,,0,0,0,,0
6,1986,1986-10-13,6,24.014,PIT,@,CIN,L 22-24,0,0,,0,0,0,,0
7,1986,1986-10-19,7,24.020,PIT,,NWE,L 0-34,0,0,,0,0,0,,0
8,1986,1986-10-26,8,24.027,PIT,,CIN,W 30-9,0,0,,0,0,0,,0
9,1986,1986-11-02,9,24.034,PIT,,GNB,W 27-3,0,0,,0,0,0,,0
10,1986,1986-11-09,10,24.041,PIT,@,BUF,L 12-16,0,0,,0,0,0,,0
11,1986,1986-11-16,11,24.048,PIT,,HOU,W 21-10,0,0,,0,0,0,,0
12,1986,1986-11-23,12,24.055,PIT,@,CLE,L 31-37,0,0,,0,0,0,,0
13,1986,1986-11-30,13,24.062,PIT,@,CHI,L 10-13,0,0,,0,0,0,,0
14,1986,1986-12-07,14,24.069,PIT,,DET,W 27-17,0,0,,0,0,0,,0
15,1986,1986-12-13,15,24.075,PIT,@,NYJ,W 45-24,0,0,,0,0,0,,0
16,1986,1986-12-21,16,24.083,PIT,,KAN,L 19-24,0,0,,0,0,0,,0
17,1987,1987-10-11,4,25.012,NYG,,WAS,L 12-38,,,,,,,,
18,1987,1987-10-18,5,25.019,NYG,@,BUF,L 3-6,,,,,,,,
