ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2002,2002-09-08,1,22.204,DEN,,STL,W 23-16,,,,,,,0.0%,,,,,,,,,,
2,2002,2002-09-15,2,22.211,DEN,@,SFO,W 24-14,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,0.0,,
3,2002,2002-09-22,3,22.218,DEN,,BUF,W 28-23,*,3,2,36,18.00,0,66.7%,12.00,0,0,,0,0,0,0.0,,
4,2002,2002-09-30,4,22.226,DEN,@,BAL,L 23-34,,5,2,24,12.00,0,40.0%,4.80,0,0,,0,0,0,0.0,,
5,2002,2002-10-06,5,22.232,DEN,,SDG,W 26-9,,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,0.0,,
6,2002,2002-10-13,6,22.239,DEN,,MIA,L 22-24,,2,2,41,20.50,0,100.0%,20.50,0,0,,0,0,0,0.0,,
7,2002,2002-10-20,7,22.246,DEN,@,KAN,W 37-34,,6,3,33,11.00,0,50.0%,5.50,1,24,24.00,0,0,0,0.0,,
8,2002,2002-10-27,8,22.253,DEN,@,NWE,W 24-16,,1,1,40,40.00,0,100.0%,40.00,1,4,4.00,0,0,0,0.0,,
9,2002,2002-11-11,9,22.268,DEN,,OAK,L 10-34,,11,8,65,8.13,0,72.7%,5.91,2,12,6.00,0,0,0,0.0,,
10,2002,2002-11-17,10,22.274,DEN,@,SEA,W 31-9,,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0,0.0,,
11,2002,2002-11-24,11,22.281,DEN,,IND,L 20-23,,1,1,23,23.00,0,100.0%,23.00,0,0,,0,0,0,0.0,,
12,2002,2002-12-01,12,22.288,DEN,@,SDG,L 27-30,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,0.0,,
13,2002,2002-12-08,13,22.295,DEN,@,NYJ,L 13-19,,3,3,38,12.67,1,100.0%,12.67,0,0,,0,1,6,0.0,,
14,2002,2002-12-15,14,22.302,DEN,,KAN,W 31-24,,2,2,68,34.00,0,100.0%,34.00,0,0,,0,0,0,0.0,,
15,2002,2002-12-22,15,22.309,DEN,@,OAK,L 16-28,,8,4,106,26.50,0,50.0%,13.25,0,0,,0,0,0,0.0,,
16,2002,2002-12-29,16,22.316,DEN,,ARI,W 37-7,,2,1,5,5.00,1,50.0%,2.50,0,0,,0,1,6,0.0,,
17,2003,2003-09-07,1,23.203,DEN,@,CIN,W 30-10,*,3,0,0,,0,0.0%,0.00,2,12,6.00,0,0,0,0.0,,
18,2003,2003-09-14,2,23.210,DEN,@,SDG,W 37-13,,2,2,45,22.50,0,100.0%,22.50,0,0,,0,0,0,0.0,,
19,2003,2003-09-22,3,23.218,DEN,,OAK,W 31-10,*,3,3,108,36.00,1,100.0%,36.00,2,9,4.50,0,1,6,0.0,,
20,2003,2003-09-28,4,23.224,DEN,,DET,W 20-16,,6,4,76,19.00,1,66.7%,12.67,1,6,6.00,0,1,6,0.0,,
21,2003,2003-10-05,5,23.231,DEN,@,KAN,L 23-24,*,9,3,36,12.00,0,33.3%,4.00,0,0,,0,0,0,0.0,,
22,2003,2003-10-12,6,23.238,DEN,,PIT,W 17-14,,2,1,5,5.00,0,50.0%,2.50,0,0,,0,0,0,0.0,,
23,2003,2003-10-19,7,23.245,DEN,@,MIN,L 20-28,*,9,3,43,14.33,0,33.3%,4.78,0,0,,0,0,0,0.0,,
24,2003,2003-10-26,8,23.252,DEN,@,BAL,L 6-26,*,10,3,28,9.33,0,30.0%,2.80,0,0,,0,0,0,0.0,,
25,2003,2003-11-03,9,23.260,DEN,,NWE,L 26-30,*,8,3,22,7.33,0,37.5%,2.75,0,0,,0,0,0,0.0,,
26,2003,2003-11-16,10,23.273,DEN,,SDG,W 37-8,*,4,2,57,28.50,0,50.0%,14.25,2,20,10.00,0,0,0,0.0,,
27,2003,2003-11-23,11,23.280,DEN,,CHI,L 10-19,*,5,1,2,2.00,0,20.0%,0.40,0,0,,0,0,0,0.0,,
28,2003,2003-11-30,12,23.287,DEN,@,OAK,W 22-8,*,1,0,0,,0,0.0%,0.00,1,-4,-4.00,0,0,0,0.0,,
29,2003,2003-12-07,13,23.294,DEN,,KAN,W 45-27,,4,1,7,7.00,0,25.0%,1.75,0,0,,0,0,0,0.0,,
30,2003,2003-12-14,14,23.301,DEN,,CLE,W 23-20,,6,4,71,17.75,0,66.7%,11.83,0,0,,0,0,0,0.0,,
31,2003,2003-12-21,15,23.308,DEN,@,IND,W 31-17,,5,5,115,23.00,0,100.0%,23.00,0,0,,0,0,0,0.0,,
