ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2009,2009-09-13,1,22.052,DEN,@,CIN,W 12-7,,0,0,,0,0.0,0,1,0,0,0
2,2009,2009-09-20,2,22.059,DEN,,CLE,W 27-6,,,,,,,,,,,
3,2009,2009-09-27,3,22.066,DEN,@,OAK,W 23-3,,,,,,,,,,,
4,2009,2009-10-04,4,22.073,DEN,,DAL,W 17-10,,,,,,,,,,,
5,2009,2009-10-11,5,22.080,DEN,,NWE,W 20-17,,,,,,,,,,,
6,2009,2009-10-19,6,22.088,DEN,@,SDG,W 34-23,,0,0,,0,0.0,0,0,0,0,0
7,2009,2009-11-01,7,22.101,DEN,@,BAL,L 7-30,,0,0,,0,0.0,0,0,0,0,0
8,2009,2009-11-15,9,22.115,DEN,@,WAS,L 17-27,,0,0,,0,0.0,0,0,0,0,0
9,2009,2009-11-22,10,22.122,DEN,,SDG,L 3-32,,,,,,,,,,,
10,2009,2009-11-26,11,22.126,DEN,,NYG,W 26-6,,0,0,,0,0.0,0,0,0,0,0
11,2009,2009-12-06,12,22.136,DEN,@,KAN,W 44-13,,,,,,,,,,,
12,2009,2009-12-20,14,22.150,DEN,,OAK,L 19-20,*,0,0,,0,0.0,4,1,0,0,0
13,2009,2009-12-27,15,22.157,DEN,@,PHI,L 27-30,,0,0,,0,0.0,0,0,0,0,0
14,2009,2010-01-03,16,22.164,DEN,,KAN,L 24-44,,,,,,,,,,,
15,2010,2010-09-12,1,23.051,DEN,@,JAX,L 17-24,,,,,,,,,,,
16,2010,2010-09-19,2,23.058,DEN,,SEA,W 31-14,,0,0,,0,0.0,0,0,0,0,0
17,2010,2010-09-26,3,23.065,DEN,,IND,L 13-27,,,,,,,,,,,
18,2010,2010-10-03,4,23.072,DEN,@,TEN,W 26-20,,0,0,,0,0.0,0,1,0,0,0
19,2010,2010-10-10,5,23.079,DEN,@,BAL,L 17-31,,0,0,,0,0.0,0,0,0,0,0
20,2010,2010-10-17,6,23.086,DEN,,NYJ,L 20-24,,0,0,,0,0.0,0,0,0,0,0
21,2010,2010-10-24,7,23.093,DEN,,OAK,L 14-59,,0,0,,0,0.0,0,0,0,0,0
22,2010,2010-10-31,8,23.100,DEN,@,SFO,L 16-24,,,,,,,,,,,
23,2010,2010-11-14,9,23.114,DEN,,KAN,W 49-29,,0,0,,0,0.0,0,0,0,0,0
