ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1989,1989-09-10,1,23.023,HOU,@,MIN,L 7-38,,,,,,,,,,,,,
2,1991,1991-12-21,16,25.125,GNB,@,MIN,W 27-7,,,,,,,,,,,,,
3,1994,1994-09-04,1,28.017,PIT,,DAL,L 9-26,,0,0,,0,0.0%,,0,0,,0,0,
4,1994,1994-09-11,2,28.024,PIT,@,CLE,W 17-10,,0,0,,0,0.0%,,0,0,,0,0,
5,1994,1994-09-18,3,28.031,PIT,,IND,W 31-21,,0,0,,0,0.0%,,0,0,,0,0,
6,1994,1994-09-25,4,28.038,PIT,@,SEA,L 13-30,,0,0,,0,0.0%,,0,0,,0,0,
7,1994,1994-10-03,5,28.046,PIT,,HOU,W 30-14,0,0,0,,0,0.0%,,1,5,5.00,0,0,0
8,1994,1994-10-16,6,28.059,PIT,,CIN,W 14-10,,0,0,,0,0.0%,,0,0,,0,0,
9,1994,1994-10-30,8,28.073,PIT,@,ARI,L 17-20,,0,0,,0,0.0%,,0,0,,0,0,
10,1994,1994-11-06,9,28.080,PIT,@,HOU,W 12-9,,0,0,,0,0.0%,,0,0,,0,0,
11,1994,1994-11-20,11,28.094,PIT,,MIA,W 16-13,,0,0,,0,0.0%,,0,0,,0,0,
12,1994,1994-11-27,12,28.101,PIT,@,RAI,W 21-3,,0,0,,0,0.0%,,0,0,,0,0,
13,1994,1994-12-04,13,28.108,PIT,@,CIN,W 38-15,,0,0,,0,0.0%,,0,0,,0,0,
14,1994,1994-12-11,14,28.115,PIT,,PHI,W 14-3,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0
15,1994,1994-12-18,15,28.122,PIT,,CLE,W 17-7,,0,0,,0,0.0%,,0,0,,0,0,
16,1994,1994-12-24,16,28.128,PIT,@,SDG,L 34-37,2,0,0,,0,0.0%,0.00,1,-1,-1.00,0,0,0
17,1995,1995-09-03,1,29.016,PIT,,DET,W 23-20,,0,0,,0,0.0%,,0,0,,0,0,
18,1995,1995-09-10,2,29.023,PIT,@,HOU,W 34-17,0,0,0,,0,0.0%,,0,0,,0,0,
19,1995,1995-09-18,3,29.031,PIT,@,MIA,L 10-23,,0,0,,0,0.0%,,0,0,,0,0,
20,1995,1995-09-24,4,29.037,PIT,,MIN,L 24-44,3,3,13,4.33,0,100.0%,4.33,0,0,,0,0,0
21,1995,1995-10-01,5,29.044,PIT,,SDG,W 31-16,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0
22,1995,1995-10-08,6,29.051,PIT,@,JAX,L 16-20,7,5,44,8.80,1,71.4%,6.29,0,0,,0,1,6
23,1995,1995-10-19,7,29.062,PIT,,CIN,L 9-27,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0
24,1995,1995-10-29,8,29.072,PIT,,JAX,W 24-7,,0,0,,0,0.0%,,0,0,,0,0,
25,1995,1995-11-05,9,29.079,PIT,@,CHI,W 37-34,0,0,0,,0,0.0%,,0,0,,0,0,
26,1995,1995-11-13,10,29.087,PIT,,CLE,W 20-3,,0,0,,0,0.0%,,0,0,,0,0,
27,1995,1995-12-24,16,29.128,PIT,@,GNB,L 19-24,1,1,9,9.00,0,100.0%,9.00,1,3,3.00,0,0,0
