ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1973,1973-09-16,1,22.325,MIN,,OAK,W 24-16,9,26,2.89,0,6,53,8.83,1,0,0,,0,1,6
2,1973,1973-09-23,2,22.332,MIN,@,CHI,W 22-13,16,116,7.25,0,4,46,11.50,0,0,0,,0,0,0
3,1973,1973-09-30,3,22.339,MIN,,GNB,W 11-3,16,89,5.56,0,5,62,12.40,0,0,0,,0,0,0
4,1973,1973-10-07,4,22.346,MIN,@,DET,W 23-9,16,114,7.13,0,2,24,12.00,0,0,0,,0,0,0
5,1973,1973-10-14,5,22.353,MIN,@,SFO,W 17-13,22,71,3.23,1,1,6,6.00,0,0,0,,0,1,6
6,1973,1973-10-21,6,22.360,MIN,,PHI,W 28-21,21,68,3.24,1,3,17,5.67,0,0,0,,0,1,6
7,1973,1973-10-28,7,23.002,MIN,,RAM,W 10-9,23,86,3.74,0,1,9,9.00,1,0,0,,0,1,6
8,1973,1973-11-19,10,23.024,MIN,@,ATL,L 14-20,9,38,4.22,0,3,46,15.33,0,0,0,,0,0,0
9,1973,1973-11-25,11,23.030,MIN,,CHI,W 31-13,11,39,3.55,1,3,22,7.33,0,0,0,,0,1,6
10,1973,1973-12-02,12,23.037,MIN,@,CIN,L 0-27,11,38,3.45,0,4,28,7.00,0,0,0,,0,0,0
11,1973,1973-12-08,13,23.043,MIN,@,GNB,W 31-7,19,100,5.26,1,3,21,7.00,0,0,0,,0,1,6
12,1973,1973-12-16,14,23.051,MIN,@,NYG,W 31-7,9,16,1.78,0,2,28,14.00,0,0,0,,0,0,0
13,1974,1974-09-15,1,23.324,MIN,@,GNB,W 32-17,22,67,3.05,3,5,32,6.40,0,0,0,,0,3,18
14,1974,1974-09-22,2,23.331,MIN,@,DET,W 7-6,13,83,6.38,1,2,-1,-0.50,0,0,0,,0,1,6
15,1974,1974-09-29,3,23.338,MIN,,CHI,W 11-7,16,74,4.63,0,5,43,8.60,0,0,0,,0,0,0
16,1974,1974-10-06,4,23.345,MIN,@,DAL,W 23-21,23,72,3.13,0,5,131,26.20,2,0,0,,0,2,12
17,1974,1974-10-13,5,23.352,MIN,,HOU,W 51-10,16,61,3.81,1,4,63,15.75,1,0,0,,0,2,12
18,1974,1974-10-20,6,23.359,MIN,,DET,L 16-20,13,55,4.23,1,3,36,12.00,1,0,0,,0,2,12
19,1974,1974-10-27,7,24.001,MIN,,NWE,L 14-17,17,68,4.00,1,7,73,10.43,0,0,6,,0,1,6
20,1974,1974-11-03,8,24.008,MIN,@,CHI,W 17-0,21,80,3.81,0,1,7,7.00,0,0,0,,0,0,0
21,1974,1974-11-11,9,24.016,MIN,@,STL,W 28-24,13,68,5.23,1,3,20,6.67,0,0,0,,0,1,6
22,1974,1974-11-17,10,24.022,MIN,,GNB,L 7-19,10,39,3.90,0,4,51,12.75,1,0,0,,0,1,6
23,1974,1974-11-24,11,24.029,MIN,@,RAM,L 17-20,12,49,4.08,1,9,88,9.78,1,1,24,24.00,0,2,12
24,1974,1974-12-01,12,24.036,MIN,,NOR,W 29-9,19,54,2.84,0,3,25,8.33,0,0,0,,0,0,0
25,1974,1974-12-07,13,24.042,MIN,,ATL,W 23-10,4,7,1.75,0,2,18,9.00,0,0,0,,0,0,0
26,1975,1975-09-21,1,24.330,MIN,,SFO,W 27-17,5,8,1.60,1,1,6,6.00,0,0,0,,0,1,6
27,1975,1975-09-28,2,24.337,MIN,@,CLE,W 42-10,11,33,3.00,1,7,61,8.71,1,0,0,,0,2,12
28,1975,1975-10-05,3,24.344,MIN,,CHI,W 28-3,17,56,3.29,1,4,48,12.00,0,0,0,,0,1,6
29,1975,1975-10-12,4,24.351,MIN,,NYJ,W 29-21,25,96,3.84,1,9,105,11.67,2,1,4,4.00,0,3,18
30,1975,1975-10-19,5,24.358,MIN,,DET,W 25-19,22,107,4.86,0,1,-2,-2.00,0,0,0,,0,0,0
31,1975,1975-10-27,6,25.001,MIN,@,CHI,W 13-9,26,102,3.92,0,3,34,11.33,0,0,0,,0,0,0
32,1975,1975-11-02,7,25.007,MIN,@,GNB,W 28-17,25,72,2.88,0,9,93,10.33,1,0,0,,0,1,6
33,1975,1975-11-09,8,25.014,MIN,,ATL,W 38-0,26,102,3.92,2,4,19,4.75,1,0,0,,0,3,18
34,1975,1975-11-16,9,25.021,MIN,@,NOR,W 20-7,24,117,4.88,0,8,63,7.88,0,0,0,,0,0,0
35,1975,1975-11-23,10,25.028,MIN,,SDG,W 28-13,33,127,3.85,3,4,17,4.25,0,0,0,,0,3,18
36,1975,1975-11-30,11,25.035,MIN,@,WAS,L 30-31,20,77,3.85,2,6,75,12.50,1,0,0,,0,3,18
37,1975,1975-12-07,12,25.042,MIN,,GNB,W 24-3,13,64,4.92,0,6,81,13.50,1,0,0,,0,1,6
38,1975,1975-12-14,13,25.049,MIN,@,DET,L 10-17,14,24,1.71,0,1,4,4.00,0,0,0,,0,0,0
39,1975,1975-12-20,14,25.055,MIN,@,BUF,W 35-13,19,85,4.47,2,10,87,8.70,2,0,0,,0,4,24
40,1976,1976-09-12,1,25.322,MIN,@,NOR,W 40-9,14,53,3.79,2,7,106,15.14,0,0,0,,0,2,12
41,1976,1976-09-19,2,25.329,MIN,,RAM,T 10-10,11,31,2.82,0,6,31,5.17,0,0,0,,0,0,0
42,1976,1976-09-26,3,25.336,MIN,@,DET,W 10-9,25,94,3.76,1,3,14,4.67,0,0,0,,0,1,6
43,1976,1976-10-04,4,25.344,MIN,,PIT,W 17-6,27,148,5.48,2,0,0,,0,0,0,,0,2,12
44,1976,1976-10-10,5,25.350,MIN,,CHI,W 20-19,23,63,2.74,2,0,0,,0,0,0,,0,2,12
45,1976,1976-10-17,6,25.357,MIN,,NYG,W 24-7,23,83,3.61,0,8,118,14.75,1,0,0,,0,1,6
46,1976,1976-10-24,7,25.364,MIN,@,PHI,W 31-12,28,200,7.14,2,6,65,10.83,0,0,0,,0,2,12
47,1976,1976-10-31,8,26.005,MIN,@,CHI,L 13-14,17,35,2.06,0,8,72,9.00,0,0,0,,0,0,0
48,1976,1976-11-07,9,26.012,MIN,,DET,W 31-23,19,51,2.68,2,2,22,11.00,0,0,0,,0,2,12
49,1976,1976-11-14,10,26.019,MIN,,SEA,W 27-21,17,100,5.88,0,5,61,12.20,0,0,0,,0,0,0
50,1976,1976-11-21,11,26.026,MIN,@,GNB,W 17-10,19,84,4.42,0,5,39,7.80,0,0,0,,0,0,0
51,1976,1976-11-29,12,26.034,MIN,@,SFO,L 16-20,23,93,4.04,0,3,23,7.67,0,0,0,,0,0,0
52,1976,1976-12-05,13,26.040,MIN,,GNB,W 20-9,18,42,2.33,2,1,8,8.00,0,0,0,,0,2,12
53,1976,1976-12-11,14,26.046,MIN,@,MIA,W 29-7,14,78,5.57,0,1,8,8.00,0,0,0,,0,0,0
54,1977,1977-09-18,1,26.327,MIN,,DAL,L 10-16,22,66,3.00,0,5,56,11.20,1,0,0,,0,1,6
55,1977,1977-09-24,2,26.333,MIN,@,TAM,W 9-3,14,58,4.14,0,4,52,13.00,1,0,0,,0,1,6
56,1977,1977-10-02,3,26.341,MIN,,GNB,W 19-7,19,53,2.79,1,5,40,8.00,0,0,0,,0,1,6
57,1977,1977-10-09,4,26.348,MIN,,DET,W 14-7,19,42,2.21,0,1,10,10.00,0,0,0,,0,0,0
58,1977,1977-10-16,5,26.355,MIN,,CHI,W 22-16,26,150,5.77,1,5,33,6.60,0,0,0,,0,1,6
