ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1987,1987-09-13,1,26.270,DAL,@,STL,L 13-24,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,2,2,100.0,0,7,0,0,,0
2,1987,1987-09-20,2,26.277,DAL,@,NYG,W 16-14,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,3,3,100.0,0,10,0,0,,0
3,1987,1987-10-25,6,26.312,DAL,@,PHI,L 20-37,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0,0,,0
4,1987,1987-11-02,7,26.320,DAL,,NYG,W 33-24,,0,0,,0,,,0,0,,0,0,0,,,,,,3,3,100.0,4,4,100.0,0,15,0,0,,0
5,1987,1987-11-08,8,26.326,DAL,@,DET,L 17-27,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,1,2,50.0,0,5,0,0,,0
6,1987,1987-11-15,9,26.333,DAL,@,NWE,W 23-17,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,1,1,100.0,0,5,0,0,,0
7,1987,1987-11-22,10,26.340,DAL,,MIA,L 14-20,,0,0,,0,,,0,0,,0,0,,,,,,,2,2,100.0,,,,0,2,,,,
8,1987,1987-11-26,11,26.344,DAL,,MIN,L 38-44,,0,0,,0,,,0,0,,0,0,0,,,,,,5,5,100.0,1,1,100.0,0,8,0,0,,0
9,1987,1987-12-06,12,26.354,DAL,,ATL,L 10-21,,0,0,,0,,,0,0,,0,0,0,,,,,,1,1,100.0,1,1,100.0,0,4,0,0,,0
10,1987,1987-12-13,13,26.361,DAL,@,WAS,L 20-24,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,2,3,66.7,0,8,0,0,,0
11,1987,1987-12-21,14,27.004,DAL,@,RAM,W 29-21,,0,0,,0,,,0,0,,0,0,0,,,,,,2,2,100.0,5,5,100.0,0,17,0,0,,0
12,1987,1987-12-27,15,27.010,DAL,,STL,W 21-16,,0,0,,0,,,0,0,,0,0,,,,,,,3,3,100.0,,,,0,3,,,,
