ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1983,1983-09-05,1,22.301,DAL,@,WAS,W 31-30,5,211,42.20,0
2,1983,1983-09-11,2,22.307,DAL,@,STL,W 34-17,5,230,46.00,0
3,1983,1983-09-18,3,22.314,DAL,,NYG,W 28-13,7,235,33.57,0
4,1983,1983-09-25,4,22.321,DAL,,NOR,W 21-20,6,236,39.33,0
5,1983,1983-10-02,5,22.328,DAL,@,MIN,W 37-24,4,172,43.00,0
6,1983,1983-10-09,6,22.335,DAL,,TAM,W 27-24,7,289,41.29,0
7,1983,1983-10-16,7,22.342,DAL,,PHI,W 37-7,2,81,40.50,0
8,1983,1983-10-23,8,22.349,DAL,,RAI,L 38-40,3,97,32.33,0
9,1983,1983-10-30,9,22.356,DAL,@,NYG,W 38-20,0,0,,
10,1984,1984-10-28,9,23.355,DAL,,IND,W 22-3,4,149,37.25,0
11,1984,1984-11-04,10,23.362,DAL,,NYG,L 7-19,10,401,40.10,0
12,1984,1984-11-11,11,24.003,DAL,@,STL,W 24-17,7,249,35.57,0
