ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1965,1965-12-12,13,22.189,MIN,@,DET,W 29-7,3,4,1.33,0,3,64,21.33,0,3,7,2.33,0
2,1965,1965-12-19,14,22.196,MIN,@,CHI,W 24-17,0,0,,0,1,14,14.00,0,1,0,0.00,0
3,1966,1966-09-18,2,23.104,MIN,,BAL,L 23-38,0,0,,0,2,48,24.00,0,2,7,3.50,0
4,1966,1966-09-25,3,23.111,MIN,@,DAL,L 17-28,0,0,,0,2,37,18.50,0,0,0,,0
5,1966,1966-10-02,4,23.118,MIN,,CHI,L 10-13,0,0,,0,1,20,20.00,0,0,0,,0
