ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1963,1963-09-08,1,22.039,BOS,,NYJ,W 38-14,2,48,24.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
2,1963,1963-09-14,2,22.045,BOS,@,SDG,L 13-17,4,36,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
3,1963,1963-10-05,5,22.066,BOS,@,NYJ,L 24-31,6,156,26.00,2,0,0,,0,0,0,,0,0,0,,0,2,12
4,1963,1963-10-26,8,22.087,BOS,@,BUF,L 21-28,1,77,77.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
5,1963,1963-11-01,9,22.093,BOS,,HOU,W 45-3,1,29,29.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
6,1963,1963-11-10,10,22.102,BOS,,SDG,L 6-7,3,64,21.33,0,0,0,,0,0,0,,0,0,0,,0,0,0
7,1963,1963-12-01,12,22.123,BOS,,BUF,W 17-7,1,63,63.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
8,1963,1963-12-08,13,22.130,BOS,@,HOU,W 46-28,1,40,40.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
9,1963,1963-12-14,14,22.136,BOS,@,KAN,L 3-35,2,37,18.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
10,1964,1964-09-13,1,23.044,BOS,@,OAK,W 17-14,2,87,43.50,1,0,0,,0,0,0,,0,0,0,,0,1,6
11,1964,1964-09-20,2,23.051,BOS,@,SDG,W 33-28,4,51,12.75,1,0,0,,0,0,0,,0,0,0,,0,1,6
12,1964,1964-09-27,3,23.058,BOS,,NYJ,W 26-10,4,39,9.75,0,0,0,,0,0,0,,0,0,0,,0,0,0
13,1964,1964-10-09,5,23.070,BOS,,SDG,L 17-26,6,62,10.33,0,0,0,,0,0,0,,0,0,0,,0,0,0
14,1964,1964-10-16,6,23.077,BOS,,OAK,T 43-43,5,60,12.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
15,1964,1964-11-06,9,23.098,BOS,,HOU,W 25-24,8,167,20.88,0,0,0,,0,0,0,,0,0,0,,0,0,0
16,1964,1964-11-15,10,23.107,BOS,@,BUF,W 36-28,2,26,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
17,1964,1964-11-20,11,23.112,BOS,,DEN,W 12-7,2,20,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
