ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,def_int,def_int_yds,def_int_td
1,1957,1957-10-27,5,27.213,CHI,@,SFO,L 17-21,1,1,1.00,1,,,
2,1957,1957-11-03,6,27.220,CHI,@,RAM,W 16-10,1,-10,-10.00,0,,,
3,1961,1961-10-01,3,31.187,CHI,@,GNB,L 0-24,0,0,,0,1,16,0
4,1961,1961-10-08,4,31.194,CHI,@,DET,W 31-17,0,0,,0,1,12,0
5,1961,1961-10-22,6,31.208,CHI,,SFO,W 31-0,0,0,,0,1,6,0
6,1962,1962-10-14,5,32.200,CHI,,SFO,L 27-34,0,0,,0,1,0,0
7,1962,1962-10-21,6,32.207,CHI,,BAL,W 35-15,0,0,,0,1,36,0
8,1962,1962-12-02,12,32.249,CHI,,NYG,L 24-26,0,0,,0,1,8,0
9,1963,1963-11-03,8,33.220,CHI,@,BAL,W 17-7,0,0,,0,1,11,0
10,1963,1963-12-01,12,33.248,CHI,,MIN,T 17-17,0,0,,0,1,19,0
11,1965,1965-11-07,8,35.224,CHI,,BAL,L 21-26,0,0,,0,1,0,0
12,1965,1965-12-19,14,35.266,CHI,,MIN,L 17-24,0,0,,0,1,0,0
13,1966,1966-11-13,9,36.230,CHI,,SFO,T 30-30,0,0,,0,1,3,0
