ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1950,1950-10-01,3,27.024,SFO,,RAM,L 14-35,1,1,1.00,0,0,0,,0
2,1950,1950-10-08,4,27.031,SFO,@,DET,L 7-24,2,11,5.50,0,2,15,7.50,0
3,1950,1950-10-12,5,27.035,SFO,@,NYY,L 24-29,2,17,8.50,0,0,0,,0
4,1950,1950-10-22,6,27.045,SFO,,DET,W 28-27,1,4,4.00,0,0,0,,0
5,1950,1950-10-29,7,27.052,SFO,,BAL,W 17-14,7,30,4.29,1,0,0,,0
6,1950,1950-11-12,9,27.066,SFO,@,CLE,L 14-34,3,17,5.67,0,0,0,,0
7,1950,1950-11-26,11,27.080,SFO,@,GNB,L 21-25,5,8,1.60,0,1,28,28.00,1
8,1950,1950-12-10,12,27.094,SFO,,GNB,W 30-14,2,17,8.50,0,0,0,,0
9,1951,1951-10-07,2,28.030,CRD,,CHI,W 28-14,7,20,2.86,0,0,0,,0
10,1951,1951-10-21,4,28.044,CRD,@,WAS,L 3-7,8,60,7.50,0,0,0,,0
11,1951,1951-10-28,5,28.051,CRD,,PIT,L 14-28,6,14,2.33,0,0,0,,0
12,1951,1951-11-04,6,28.058,CRD,,CLE,L 17-34,2,-16,-8.00,0,1,9,9.00,0
13,1951,1951-11-11,7,28.065,CRD,@,RAM,L 21-45,6,19,3.17,0,0,0,,0
14,1951,1951-11-18,8,28.072,CRD,@,SFO,W 27-21,6,87,14.50,0,0,0,,0
15,1951,1951-11-25,9,28.079,CRD,,NYG,L 0-10,8,23,2.88,0,0,0,,0
16,1951,1951-12-02,10,28.086,CRD,@,CLE,L 28-49,2,-18,-9.00,0,2,13,6.50,0
17,1952,1952-09-29,1,29.022,CRD,,WAS,L 7-23,8,30,3.75,1,0,0,,0
18,1952,1952-10-05,2,29.028,CRD,,CHI,W 21-10,1,3,3.00,0,0,0,,0
19,1952,1952-10-12,3,29.035,CRD,@,WAS,W 17-6,13,56,4.31,0,0,0,,0
20,1952,1952-10-26,5,29.049,CRD,,PIT,L 28-34,11,54,4.91,0,0,0,,0
21,1952,1952-11-02,6,29.056,CRD,,NYG,L 6-28,1,46,46.00,0,0,0,,0
22,1952,1952-11-09,7,29.063,CRD,@,CLE,L 13-28,6,22,3.67,0,0,0,,0
23,1952,1952-11-16,8,29.070,CRD,@,PHI,L 7-10,17,37,2.18,0,0,0,,0
24,1952,1952-11-23,9,29.077,CRD,@,PIT,L 14-17,9,15,1.67,0,0,0,,0
25,1952,1952-11-30,10,29.084,CRD,,PHI,W 28-22,2,19,9.50,0,0,0,,0
26,1952,1952-12-07,11,29.091,CRD,,CLE,L 0-10,3,14,4.67,0,0,0,,0
